location,iso_code,last_observation_date,source_name,source_website
Algeria,DZA,2022-12-23,Ministry of Health via github.com/yasserkaddour/covid19-icu-data-algeria/,https://github.com/yasserkaddour/covid19-icu-data-algeria/
Argentina,ARG,2022-04-24,"Government of Argentina, via Rodrigo Maidana",https://www.argentina.gob.ar/coronavirus/informes-diarios/reportes
Australia,AUS,2023-08-31,Official data from states via covidbaseau.com,https://covidbaseau.com
Austria,AUT,2023-06-30,Austrian Agency for Health and Food Safety,https://covid19-dashboard.ages.at/
Belgium,BEL,2023-06-27,Sciensano,https://epistat.sciensano.be/
Bolivia,BOL,2022-10-13,"Ministry of Health, via Sociedatos on GitHub",https://github.com/sociedatos/bo-hospitalizados_por_departamento
Bulgaria,BGR,2023-09-03,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Canada,CAN,2023-09-12,Government of Canada,https://health-infobase.canada.ca/covid-19/
Chile,CHL,2023-08-31,"Ministry of Health, via Ministry of Science GitHub repository",https://github.com/MinCiencia/Datos-COVID19
Croatia,HRV,2022-08-21,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Cyprus,CYP,2023-04-20,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Czechia,CZE,2023-09-14,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/api/v2/covid-19
Denmark,DNK,2023-06-13,"Statens Serum Institut, covid19-data-denmark on GitHub","https://covid19.ssi.dk/overvagningsdata/download-fil-med-overvaagningdata, https://github.com/mok0/covid19-data-denmark"
England,OWID_ENG,2023-09-08,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Estonia,EST,2023-09-03,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Finland,FIN,2022-12-01,Department of Health and Welfare,https://www.thl.fi/episeuranta/tautitapaukset/coronamap.html
France,FRA,2023-03-31,Santé publique France,https://www.data.gouv.fr/fr/datasets/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19/
Germany,DEU,2023-06-27,Robert Koch Institute,https://github.com/robert-koch-institut/COVID-19-Hospitalisierungen_in_Deutschland/
Greece,GRC,2023-09-03,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Hungary,HUN,2023-05-21,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Iceland,ISL,2023-04-23,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Ireland,IRL,2023-09-03,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Israel,ISR,2023-05-07,Ministry of Health,https://datadashboard.health.gov.il/COVID-19/
Italy,ITA,2023-09-06,Ministry of Health and Higher Institute of Health,"https://github.com/pcm-dpc/COVID-19, https://covid19.infn.it/iss/"
Japan,JPN,2023-09-06,"Ministry of Health, Labour and Welfare",https://www.mhlw.go.jp/stf/seisakunitsuite/newpage_00023.html
Latvia,LVA,2023-09-03,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Liechtenstein,LIE,2023-04-04,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Lithuania,LTU,2023-09-03,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Luxembourg,LUX,2023-03-30,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Malaysia,MYS,2023-09-09,Ministry of Health,https://github.com/MoH-Malaysia/covid19-public
Malta,MLT,2023-09-03,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Netherlands,NLD,2023-09-14,National Coordination Center Patient Distribution,https://lcps.nu/datafeed/
Northern Ireland,OWID_NIR,2023-09-11,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,2022-11-13,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Poland,POL,2022-09-21,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Portugal,PRT,2022-11-08,"General Directorate of Health, via Data Science for Social Good Portugal",https://github.com/dssg-pt/covid19pt-data
Romania,ROU,2023-09-03,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Russia,,,Government of Russia,https://стопкоронавирус.рф/information/
Scotland,OWID_SCT,2023-09-11,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Serbia,SRB,2023-06-14,Ministry of Health via github.com/aleksandar-jovicic/COVID19-Serbia,https://github.com/aleksandar-jovicic/COVID19-Serbia
Singapore,SGP,2023-02-05,Ministry of Health,https://covidsitrep.moh.gov.sg/; https://data.gov.sg/dataset/covid-19-hospital-admissions
Slovakia,SVK,2023-08-27,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Slovenia,SVN,2023-03-31,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
South Africa,ZAF,2022-07-26,National Policy Data Observatory (NPDO) at the Council for Scientific and Industrial Research (CSIR),https://docs.google.com/spreadsheets/d/1Ln3FO3E0hz2r_kCCWM6on9Wd18wRvrkiIV-bbE2EDQ0/edit#gid=1044172863
South Korea,KOR,2023-03-08,"Ministry of Health and Welfare, via WWolf on GitHub",http://ncov.mohw.go.kr/en/bdBoardList.do?brdId=16&brdGubun=161&dataGubun=&ncvContSeq=&contSeq=&board_id=
Spain,ESP,2023-06-11,"Ministry of Health, Consumption and Social Welfare",https://www.sanidad.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/capacidadAsistencial.htm
Sweden,SWE,2023-09-08,The Swedish National Board of Health and Welfare,https://www.socialstyrelsen.se/statistik-och-data/statistik/statistik-om-covid-19/
Switzerland,CHE,2023-05-01,Federal Office of Public Health,https://www.covid19.admin.ch/
United Kingdom,GBR,2023-07-12,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
