location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Burundi,2021-10-19,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-19.pdf,81,81,0,
Burundi,2021-10-20,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-20.pdf,175,175,0,
Burundi,2021-10-22,Sinopharm/Beijing,https://covid19.who.int/,287,287,0,
Burundi,2021-10-26,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-25.pdf,459,459,0,
Burundi,2021-10-28,Sinopharm/Beijing,https://covid19.who.int/,560,560,0,
Burundi,2021-10-29,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-10-29.pdf,615,615,0,
Burundi,2021-11-09,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-09.pdf,1179,1035,144,
Burundi,2021-11-10,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-10.pdf,1232,1085,147,
Burundi,2021-11-11,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-11.pdf,1341,1117,224,
Burundi,2021-11-12,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-12.pdf,1397,1159,224,
Burundi,2021-11-15,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-15.pdf,1555,1224,331,
Burundi,2021-11-18,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-18.pdf,1823,1329,494,
Burundi,2021-11-23,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-23.pdf,2119,1476,643,
Burundi,2021-11-25,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-25.pdf,2277,1545,732,
Burundi,2021-11-26,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-11-26.pdf,2370,1592,778,
Burundi,2021-12-01,Sinopharm/Beijing,https://reliefweb.int/sites/reliefweb.int/files/resources/burundi_covid-19_rapport_de_situation_2021-12-01.pdf,2625,1711,914,
Burundi,2021-12-05,Sinopharm/Beijing,https://covid19.who.int/,2834,1834,1000,
Burundi,2021-12-09,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,3396,2259,1472,
Burundi,2021-12-12,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,4010,2812,2076,
Burundi,2021-12-15,"Johnson&Johnson, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,6086,4010,2076,
Burundi,2021-12-23,"Johnson&Johnson, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,7543,4010,3533,
Burundi,2022-01-13,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,8400,6400,6016,
Burundi,2022-02-02,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,9648,7995,7531,
Burundi,2022-04-03,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,11083,11083,10522,
Burundi,2022-05-01,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,12464,12154,11582,
Burundi,2022-05-08,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,12651,12651,12078,
Burundi,2022-05-22,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,15311,13473,12895,
Burundi,2022-06-05,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,16232,14388,13811,
Burundi,2022-06-19,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,16780,14929,14350,3
Burundi,2022-06-26,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,17139,15287,14707,5
Burundi,2022-07-10,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,17926,16068,15489,8
Burundi,2022-07-17,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,18307,16444,15862,10
Burundi,2022-07-24,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,18568,16702,16112,11
Burundi,2022-08-07,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,19346,17474,16882,12
Burundi,2022-08-14,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,19612,17740,17154,12
Burundi,2022-08-21,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,,18127,17539,13
Burundi,2022-08-28,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,20356,18734,18142,17
Burundi,2022-09-04,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,20733,18845,18248,17
Burundi,2022-09-11,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,21264,19372,18770,40
Burundi,2022-09-18,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,21467,19568,18972,
Burundi,2022-10-02,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,23180,21265,20674,43
Burundi,2022-10-09,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,24236,22314,21729,47
Burundi,2022-10-16,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,25258,23330,22747,49
Burundi,2022-10-23,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,25398,23470,22887,49
Burundi,2022-10-30,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,25983,24053,23471,53
Burundi,2022-11-06,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,26314,24384,23797,54
Burundi,2022-11-20,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,28043,26110,25526,54
Burundi,2022-11-27,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,28800,26867,26282,54
Burundi,2022-12-04,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,29516,27578,26996,283
Burundi,2022-12-18,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,30480,28541,27957,283
Burundi,2023-01-01,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,32265,30324,29739,285
Burundi,2023-01-15,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,32265,31292,30699,287
Burundi,2023-02-05,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,33929,32416,31825,291
Burundi,2023-02-12,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,34493,32542,31951,291
Burundi,2023-02-26,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,35060,33104,32514,293
Burundi,2023-03-05,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,35317,33361,32771,293
Burundi,2023-03-19,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,35772,33814,33225,297
Burundi,2023-04-02,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,36281,34323,33734,301
Burundi,2023-04-16,"Johnson&Johnson, Sinopharm/Beijing",https://covid19.who.int/,36890,34626,34038,305
