location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Central African Republic,2021-05-12,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,667,667,0,
Central African Republic,2021-05-31,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,18408,18408,0,
Central African Republic,2021-06-08,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,26541,26541,0,
Central African Republic,2021-06-14,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,29757,29757,0,
Central African Republic,2021-06-15,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,42644,42644,0,
Central African Republic,2021-06-23,"Covaxin, Oxford/AstraZeneca",https://africacdc.org/covid-19-vaccination/,78137,,,
Central African Republic,2021-06-30,"Covaxin, Oxford/AstraZeneca",https://africacdc.org/covid-19-vaccination/,78685,,,
Central African Republic,2021-07-19,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,92041,,,
Central African Republic,2021-07-24,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,93790,,,
Central African Republic,2021-08-03,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,94811,,,
Central African Republic,2021-08-16,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,95862,,,
Central African Republic,2021-08-25,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,108895,,,
Central African Republic,2021-09-22,"Covaxin, Oxford/AstraZeneca",https://africacdc.org/covid-19-vaccination/,150393,140492,9901,
Central African Republic,2021-09-30,"Covaxin, Oxford/AstraZeneca",https://africacdc.org/covid-19-vaccination/,207004,197103,9901,
Central African Republic,2021-10-14,"Covaxin, Oxford/AstraZeneca",https://africacdc.org/covid-19-vaccination/,255345,245444,9901,
Central African Republic,2021-10-21,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,385557,329627,285529,
Central African Republic,2021-11-01,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,422182,361984,321668,
Central African Republic,2021-11-07,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,422372,362174,321858,
Central African Republic,2021-11-19,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,422496,362298,321982,
Central African Republic,2021-12-04,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,436772,375096,334906,
Central African Republic,2022-01-15,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,587785,514271,490787,
Central African Republic,2022-01-21,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,603963,530449,505201,
Central African Republic,2022-01-31,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,652134,572911,549473,
Central African Republic,2022-02-06,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,698869,619646,594847,
Central African Republic,2022-02-17,"Covaxin, Oxford/AstraZeneca",https://africacdc.org/covid-19-vaccination/,,,,0
Central African Republic,2022-02-18,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,823895,744672,712447,
Central African Republic,2022-02-25,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,855735,775176,738466,
Central African Republic,2022-03-04,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,900298,819313,780030,
Central African Republic,2022-03-11,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,968802,880271,824469,
Central African Republic,2022-03-25,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1012846,923553,897945,
Central African Republic,2022-04-26,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1037580,1015918,988591,
Central African Republic,2022-05-01,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1037580,1023144,988591,
Central African Republic,2022-05-22,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1185512,1092961,1036577,
Central African Republic,2022-06-05,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1193681,1101130,1044746,
Central African Republic,2022-06-19,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1217399,1124848,1068464,0
Central African Republic,2022-07-03,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1353144,1260593,1204209,
Central African Republic,2022-07-17,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1392969,1300418,1244034,
Central African Republic,2022-07-24,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1392969,1301882,1245498,12108
Central African Republic,2022-08-14,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1395131,1302580,1246196,40054
Central African Republic,2022-08-28,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1435565,1344611,1288227,63651
Central African Republic,2022-09-04,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1549713,1455323,1378300,87947
Central African Republic,2022-09-11,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1586764,1473460,1397259,156594
Central African Republic,2022-09-18,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1707255,1660574,1570081,
Central African Republic,2022-09-25,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1714941,1667260,1577767,214090
Central African Republic,2022-10-16,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1722083,1674402,1584909,214090
Central African Republic,2022-10-23,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1754834,1674402,1616195,214090
Central African Republic,2022-11-06,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1795660,1713735,1616845,214090
Central African Republic,2022-11-13,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1818587,1713735,1616845,214090
Central African Republic,2022-11-20,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1838144,1748700,1658308,214090
Central African Republic,2022-11-27,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1938075,1884410,1834194,214090
Central African Republic,2022-12-04,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,1997710,1962326,1934575,214090
Central African Republic,2022-12-18,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,2354281,1984791,1934575,214090
Central African Republic,2023-01-08,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,2457192,2064227,2014011,214090
Central African Republic,2023-01-15,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,2457192,2252721,2089053,214090
Central African Republic,2023-01-22,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,2535002,2292088,2176684,214090
Central African Republic,2023-03-05,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,2535002,2381935,2266531,226816
Central African Republic,2023-03-26,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,2689234,2381935,2266531,226816
Central African Republic,2023-04-30,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,2893159,2381935,2266531,226816
Central African Republic,2023-05-21,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,2914105,2381935,2266531,226816
Central African Republic,2023-06-18,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,3109186,2600389,2484985,366221
Central African Republic,2023-07-16,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,3182417,2600389,2484985,366221
Central African Republic,2023-09-03,"Covaxin, Oxford/AstraZeneca",https://covid19.who.int/,3342248,2600389,2484985,366221
