location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Poland,2020-12-28,Pfizer/BioNTech,"https://next.gazeta.pl/next/7,173953,26642987,wiemy-ile-osob-zaszczepiono-przeciw-covid-19-w-niedziele-rzecznik.html",2000,2000,,
Poland,2020-12-29,Pfizer/BioNTech,https://wiadomosci.radiozet.pl/Koronawirus/Koronawirus-w-Polsce.-Trzeci-dzien-szczepien-przeciw-Covid-19.-Zaszczepili-sie-Grodzki-i-Karczewski,6300,6300,,
Poland,2020-12-30,Pfizer/BioNTech,https://twitter.com/MZ_GOV_PL/status/1344557383499055104,36300,36300,,
Poland,2020-12-31,Pfizer/BioNTech,https://twitter.com/MZ_GOV_PL/status/1344923704799719424,47600,47600,,
Poland,2021-01-02,Pfizer/BioNTech,https://tvn24.pl/polska/szczepienia-ile-osob-zaszczepiono-w-polsce-przeciw-covid-19kiedy-szczepienia-osob-z-kolejnej-grupy-1-4919939,50391,50391,,
Poland,2021-01-03,Pfizer/BioNTech,https://twitter.com/MZ_GOV_PL/status/1346074068798332929,50833,50833,,
Poland,2021-01-04,Pfizer/BioNTech,https://twitter.com/MZ_GOV_PL/status/1346396023334133770,92220,92220,,
Poland,2021-01-05,Pfizer/BioNTech,https://twitter.com/MZ_GOV_PL/status/1346760607622684673,140226,140226,,
Poland,2021-01-06,Pfizer/BioNTech,https://twitter.com/MZ_GOV_PL/status/1347120797895294976,160359,160359,,
Poland,2021-01-07,Pfizer/BioNTech,https://twitter.com/szczepimysie/status/1347472053063081984,188956,188956,,
Poland,2021-01-08,Pfizer/BioNTech,https://twitter.com/szczepimysie/status/1347840116090408960,198787,198787,,
Poland,2021-01-09,Pfizer/BioNTech,https://twitter.com/szczepimysie/status/1348196682756993025,200022,200022,,
Poland,2021-01-10,Pfizer/BioNTech,https://twitter.com/szczepimysie/status/1348564252215402498,203053,203053,,
Poland,2021-01-11,Pfizer/BioNTech,https://twitter.com/szczepimysie/status/1348930712859242496,257834,257834,,
Poland,2021-01-12,Pfizer/BioNTech,https://twitter.com/szczepimysie/status/1349284555627388928,309620,309620,,
Poland,2021-01-13,Pfizer/BioNTech,https://twitter.com/szczepimysie/status/1349646581092519936,369212,369212,,
Poland,2021-01-14,Pfizer/BioNTech,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,410480,410480,,
Poland,2021-01-15,Pfizer/BioNTech,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,436963,436963,,
Poland,2021-01-16,Pfizer/BioNTech,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,457303,457303,,
Poland,2021-01-17,Pfizer/BioNTech,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,469466,468795,671,
Poland,2021-01-18,Pfizer/BioNTech,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,495164,491696,3468,
Poland,2021-01-19,Pfizer/BioNTech,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,541229,530055,11174,
Poland,2021-01-20,Pfizer/BioNTech,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,591785,566793,24992,
Poland,2021-01-21,Pfizer/BioNTech,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19,644999,605313,39686,
