location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Togo,2021-03-09,Oxford/AstraZeneca,https://www.rfi.fr/fr/afrique/20210310-le-togo-lance-sa-campagne-de-vaccination-contre-le-covid-19,0,0,0,
Togo,2021-03-24,Oxford/AstraZeneca,https://www.republicoftogo.com/Toutes-les-rubriques/Sante/Plus-de-42.000-personnes-vaccinees,42092,42092,0,
Togo,2021-04-08,Oxford/AstraZeneca,https://www.republicoftogo.com/Toutes-les-rubriques/Sante/Accelerer-la-vaccination-est-une-necessite,82753,82753,0,
Togo,2021-04-13,Oxford/AstraZeneca,https://www.republicoftogo.com/Toutes-les-rubriques/Sante/Plus-de-100.000-personnes-deja-vaccinees,100000,100000,0,
Togo,2021-04-17,Oxford/AstraZeneca,https://www.republicoftogo.com/Toutes-les-rubriques/Sante/La-vaccination-de-masse-va-commencer,160000,160000,0,
Togo,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,311938,270784,41154,
Togo,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,318666,270784,47882,
Togo,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,347246,270784,76462,
Togo,2021-07-19,Oxford/AstraZeneca,https://covid19.who.int/,454208,304278,149930,
Togo,2021-08-03,Oxford/AstraZeneca,https://covid19.who.int/,474776,321139,153637,
Togo,2021-08-20,Oxford/AstraZeneca,https://covid19.who.int/,535518,356897,178621,
Togo,2021-09-05,Oxford/AstraZeneca,https://covid19.who.int/,651941,414249,237692,
Togo,2021-09-17,Oxford/AstraZeneca,https://covid19.who.int/,832822,445041,387781,
Togo,2021-09-24,Oxford/AstraZeneca,https://covid19.who.int/,997632,595491,402141,
Togo,2021-10-01,Oxford/AstraZeneca,https://covid19.who.int/,1125671,720739,404932,
Togo,2021-10-08,Oxford/AstraZeneca,https://covid19.who.int/,1215025,805728,409297,
Togo,2021-10-15,Oxford/AstraZeneca,https://covid19.who.int/,1287154,867386,419768,
Togo,2021-10-29,Oxford/AstraZeneca,https://covid19.who.int/,1375481,929347,446134,
Togo,2021-11-05,Oxford/AstraZeneca,https://covid19.who.int/,1412904,950793,462111,
Togo,2021-11-12,Oxford/AstraZeneca,https://covid19.who.int/,1453570,971322,482248,
Togo,2021-11-19,Oxford/AstraZeneca,https://covid19.who.int/,1507722,998792,508930,
Togo,2021-11-26,Oxford/AstraZeneca,https://covid19.who.int/,1665087,1097253,567834,
Togo,2021-12-03,Oxford/AstraZeneca,https://covid19.who.int/,1930935,1281856,649079,
Togo,2021-12-10,Oxford/AstraZeneca,https://covid19.who.int/,2159257,1349188,810069,
Togo,2021-12-17,Oxford/AstraZeneca,https://covid19.who.int/,2294900,1366662,928238,
Togo,2021-12-24,Oxford/AstraZeneca,https://covid19.who.int/,2377399,1380216,997183,
Togo,2021-12-31,Oxford/AstraZeneca,https://covid19.who.int/,2413619,1391738,1020872,
Togo,2022-01-07,Oxford/AstraZeneca,https://covid19.who.int/,2446683,1399760,1040674,
Togo,2022-01-14,Oxford/AstraZeneca,https://covid19.who.int/,2480664,1406493,1056676,
Togo,2022-01-21,Oxford/AstraZeneca,https://covid19.who.int/,2515341,1415448,1075383,
Togo,2022-02-17,Oxford/AstraZeneca,https://africacdc.org/covid-19-vaccination/,,,,0
Togo,2022-03-04,Oxford/AstraZeneca,https://covid19.who.int/,2734547,1549440,1145453,
Togo,2022-03-11,Oxford/AstraZeneca,https://covid19.who.int/,2757575,1558542,,40962
Togo,2022-04-26,Oxford/AstraZeneca,https://covid19.who.int/,,2037429,,
Togo,2022-05-01,Oxford/AstraZeneca,https://covid19.who.int/,,2037429,,40962
Togo,2022-05-08,Oxford/AstraZeneca,https://covid19.who.int/,,2037429,,54353
Togo,2022-05-22,Oxford/AstraZeneca,https://covid19.who.int/,,2086764,,58601
Togo,2022-05-29,Oxford/AstraZeneca,https://covid19.who.int/,,,,58601
Togo,2022-06-05,Oxford/AstraZeneca,https://covid19.who.int/,,2092750,,
Togo,2022-07-10,Oxford/AstraZeneca,https://covid19.who.int/,,2115629,,
Togo,2022-07-17,Oxford/AstraZeneca,https://covid19.who.int/,3222792,2118136,,65935
