location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Yemen,2021-05-09,Oxford/AstraZeneca,https://covid19.who.int/,18555,18555,0,
Yemen,2021-05-29,Oxford/AstraZeneca,https://covid19.who.int/,104070,104070,0,
Yemen,2021-06-07,Oxford/AstraZeneca,https://covid19.who.int/,196234,196234,0,
Yemen,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,221380,221380,0,
Yemen,2021-06-16,Oxford/AstraZeneca,https://covid19.who.int/,235855,235855,0,
Yemen,2021-06-20,Oxford/AstraZeneca,https://covid19.who.int/,251385,251385,0,
Yemen,2021-06-27,Oxford/AstraZeneca,https://covid19.who.int/,268753,268753,0,
Yemen,2021-07-12,Oxford/AstraZeneca,https://covid19.who.int/,297405,288828,8577,
Yemen,2021-07-27,Oxford/AstraZeneca,https://covid19.who.int/,311483,298161,13322,
Yemen,2021-09-12,"Johnson&Johnson, Oxford/AstraZeneca",https://covid19.who.int/,322934,308025,14909,
Yemen,2021-10-11,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,460159,319710,143761,
Yemen,2021-10-28,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,534590,327016,192413,
Yemen,2021-11-01,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,547019,331778,215241,
Yemen,2022-01-17,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,695355,552590,297808,
Yemen,2022-01-20,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,713432,566474,315083,
Yemen,2022-01-26,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,732786,580587,334079,
Yemen,2022-01-31,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,744060,588626,344582,
Yemen,2022-02-07,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,758480,600559,358824,
Yemen,2022-02-13,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,768104,610183,368448,
Yemen,2022-02-17,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,772574,614653,372918,
Yemen,2022-03-06,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,784792,624837,384655,
Yemen,2022-03-16,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,807502,643501,404781,
Yemen,2022-04-06,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,814569,649673,411501,
Yemen,2022-04-19,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",https://covid19.who.int/,821853,656957,418785,
Yemen,2022-05-11,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",https://covid19.who.int/,828687,663004,425619,
Yemen,2022-05-21,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",https://covid19.who.int/,836455,670646,429048,
Yemen,2022-05-25,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",https://covid19.who.int/,838621,672794,429721,
Yemen,2022-06-07,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",https://covid19.who.int/,859241,692968,441404,31
Yemen,2022-06-19,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",https://covid19.who.int/,864544,697956,446120,80
Yemen,2022-07-04,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",https://covid19.who.int/,874886,708152,450163,80
Yemen,2022-08-02,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",https://covid19.who.int/,880609,712781,452843,80
Yemen,2022-08-31,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",https://covid19.who.int/,898257,730429,470491,80
Yemen,2022-09-28,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",https://covid19.who.int/,1065395,861625,604202,33507
