location,last_observation_date,source_name,source_url
Argentina,2023-10-11,Ministry of Health via https://covidstats.com.ar/ws/vacunadosargentina?portipovacuna=1,https://covidstats.com.ar/
Austria,2023-06-30,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Belgium,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Bulgaria,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Canada,2022-12-04,Public Health Agency of Canada,https://health-infobase.canada.ca/covid-19/vaccine-administration/
Chile,2022-08-30,"Ministry of Health, via Ministry of Science GitHub repository",https://github.com/MinCiencia/Datos-COVID19
Croatia,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Cyprus,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Czechia,2023-09-16,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/api/v2/covid-19/ockovani.csv
Denmark,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Ecuador,2022-01-28,Ministerio de Salud Pública del Ecuador (via https://github.com/andrab/ecuacovid),https://github.com/andrab/ecuacovid
Estonia,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Finland,2023-08-25,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
France,2023-07-10,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,2023-04-07,Robert Koch Institut,https://impfdashboard.de/
Hong Kong,2023-08-31,Food and Health Bureau,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age
Hungary,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Iceland,2022-03-28,Ministry of Health,https://e.infogram.com/c3bc3569-c86d-48a7-9d4c-377928f102bf
Ireland,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Italy,2023-10-11,Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Japan,2023-05-07,Prime Minister's Office,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Latvia,2022-07-11,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Liechtenstein,2023-06-09,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Lithuania,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Luxembourg,2023-08-04,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Malta,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Nepal,2022-07-04,Ministry of Health and Population,https://covid19.mohp.gov.np/situation-report
Netherlands,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Norway,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Peru,2023-10-11,Ministerio de Salud via https://github.com/jmcastagnetto/covid-19-peru-vacunas,https://www.datosabiertos.gob.pe/dataset/vacunacion
Poland,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Portugal,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Romania,2022-06-11,Government of Romania via datelazi.ro,https://d35p9e4fm9h3wo.cloudfront.net/latestData.json
Slovakia,2023-06-30,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Slovenia,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
South Africa,2022-12-26,National Department of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
South Korea,2023-05-26,Korea Centers for Disease Control and Prevention,https://ncv.kdca.go.kr/
Spain,2023-09-01,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
