entity,indicator,date,value
Bulgaria,Daily hospital occupancy,2020-04-26,262.0
Bulgaria,Daily hospital occupancy,2020-05-03,310.0
Bulgaria,Daily hospital occupancy,2020-05-10,353.0
Bulgaria,Daily hospital occupancy,2020-05-17,365.0
Bulgaria,Daily hospital occupancy,2020-05-24,285.0
Bulgaria,Daily hospital occupancy,2020-05-31,217.0
Bulgaria,Daily hospital occupancy,2020-06-07,132.0
Bulgaria,Daily hospital occupancy,2020-06-14,161.0
Bulgaria,Daily hospital occupancy,2020-06-21,267.0
Bulgaria,Daily hospital occupancy,2020-06-28,362.0
Bulgaria,Daily hospital occupancy,2020-07-05,435.0
Bulgaria,Daily hospital occupancy,2020-07-12,483.0
Bulgaria,Daily hospital occupancy,2020-07-19,551.0
Bulgaria,Daily hospital occupancy,2020-07-26,622.0
Bulgaria,Daily hospital occupancy,2020-08-02,699.0
Bulgaria,Daily hospital occupancy,2020-08-09,823.0
Bulgaria,Daily hospital occupancy,2020-08-16,861.0
Bulgaria,Daily hospital occupancy,2020-08-23,782.0
Bulgaria,Daily hospital occupancy,2020-08-30,715.0
Bulgaria,Daily hospital occupancy,2020-09-06,737.0
Bulgaria,Daily hospital occupancy,2020-09-13,762.0
Bulgaria,Daily hospital occupancy,2020-09-20,734.0
Bulgaria,Daily hospital occupancy,2020-09-27,716.0
Bulgaria,Daily hospital occupancy,2020-10-04,814.0
Bulgaria,Daily hospital occupancy,2020-10-11,971.0
Bulgaria,Daily hospital occupancy,2020-10-18,1307.0
Bulgaria,Daily hospital occupancy,2020-10-25,1633.0
Bulgaria,Daily hospital occupancy,2020-11-01,2217.0
Bulgaria,Daily hospital occupancy,2020-11-08,2922.0
Bulgaria,Daily hospital occupancy,2020-11-15,4176.0
Bulgaria,Daily hospital occupancy,2020-11-22,5463.0
Bulgaria,Daily hospital occupancy,2020-11-29,6365.0
Bulgaria,Daily hospital occupancy,2020-12-06,6635.0
Bulgaria,Daily hospital occupancy,2020-12-13,6839.0
Bulgaria,Daily hospital occupancy,2020-12-20,6997.0
Bulgaria,Daily hospital occupancy,2020-12-27,6123.0
Bulgaria,Daily hospital occupancy,2021-01-03,5023.0
Bulgaria,Daily hospital occupancy,2021-01-10,4286.0
Bulgaria,Daily hospital occupancy,2021-01-17,3945.0
Bulgaria,Daily hospital occupancy,2021-01-24,3223.0
Bulgaria,Daily hospital occupancy,2021-01-31,2818.0
Bulgaria,Daily hospital occupancy,2021-02-07,2901.0
Bulgaria,Daily hospital occupancy,2021-02-14,3129.0
Bulgaria,Daily hospital occupancy,2021-02-21,3513.0
Bulgaria,Daily hospital occupancy,2021-02-28,4037.0
Bulgaria,Daily hospital occupancy,2021-03-07,5009.0
Bulgaria,Daily hospital occupancy,2021-03-14,6017.0
Bulgaria,Daily hospital occupancy,2021-03-21,7600.0
Bulgaria,Daily hospital occupancy,2021-03-28,8927.0
Bulgaria,Daily hospital occupancy,2021-04-04,9811.0
Bulgaria,Daily hospital occupancy,2021-04-11,10355.0
Bulgaria,Daily hospital occupancy,2021-04-18,9799.0
