date,indicator,value,entity
2020-04-01,Daily ICU occupancy,173.0,Chile
2020-04-02,Daily ICU occupancy,200.0,Chile
2020-04-03,Daily ICU occupancy,237.0,Chile
2020-04-04,Daily ICU occupancy,280.0,Chile
2020-04-05,Daily ICU occupancy,307.0,Chile
2020-04-06,Daily ICU occupancy,327.0,Chile
2020-04-07,Daily ICU occupancy,337.0,Chile
2020-04-08,Daily ICU occupancy,362.0,Chile
2020-04-09,Daily ICU occupancy,360.0,Chile
2020-04-10,Daily ICU occupancy,383.0,Chile
2020-04-11,Daily ICU occupancy,383.0,Chile
2020-04-12,Daily ICU occupancy,387.0,Chile
2020-04-13,Daily ICU occupancy,387.0,Chile
2020-04-14,Daily ICU occupancy,379.0,Chile
2020-04-15,Daily ICU occupancy,389.0,Chile
2020-04-16,Daily ICU occupancy,384.0,Chile
2020-04-17,Daily ICU occupancy,385.0,Chile
2020-04-18,Daily ICU occupancy,360.0,Chile
2020-04-19,Daily ICU occupancy,373.0,Chile
2020-04-20,Daily ICU occupancy,377.0,Chile
2020-04-21,Daily ICU occupancy,392.0,Chile
2020-04-22,Daily ICU occupancy,399.0,Chile
2020-04-23,Daily ICU occupancy,411.0,Chile
2020-04-24,Daily ICU occupancy,415.0,Chile
2020-04-25,Daily ICU occupancy,418.0,Chile
2020-04-26,Daily ICU occupancy,415.0,Chile
2020-04-27,Daily ICU occupancy,426.0,Chile
2020-04-28,Daily ICU occupancy,428.0,Chile
2020-04-29,Daily ICU occupancy,418.0,Chile
2020-04-30,Daily ICU occupancy,419.0,Chile
2020-05-01,Daily ICU occupancy,428.0,Chile
2020-05-02,Daily ICU occupancy,425.0,Chile
2020-05-03,Daily ICU occupancy,449.0,Chile
2020-05-04,Daily ICU occupancy,464.0,Chile
2020-05-05,Daily ICU occupancy,470.0,Chile
2020-05-06,Daily ICU occupancy,486.0,Chile
2020-05-07,Daily ICU occupancy,493.0,Chile
2020-05-08,Daily ICU occupancy,508.0,Chile
2020-05-09,Daily ICU occupancy,544.0,Chile
2020-05-10,Daily ICU occupancy,565.0,Chile
2020-05-11,Daily ICU occupancy,574.0,Chile
2020-05-12,Daily ICU occupancy,604.0,Chile
2020-05-13,Daily ICU occupancy,642.0,Chile
2020-05-14,Daily ICU occupancy,663.0,Chile
2020-05-15,Daily ICU occupancy,711.0,Chile
2020-05-16,Daily ICU occupancy,751.0,Chile
2020-05-17,Daily ICU occupancy,769.0,Chile
2020-05-18,Daily ICU occupancy,807.0,Chile
2020-05-19,Daily ICU occupancy,876.0,Chile
2020-05-20,Daily ICU occupancy,904.0,Chile
2020-05-21,Daily ICU occupancy,943.0,Chile
2020-05-22,Daily ICU occupancy,986.0,Chile
2020-05-23,Daily ICU occupancy,1062.0,Chile
2020-05-24,Daily ICU occupancy,1090.0,Chile
2020-05-25,Daily ICU occupancy,1135.0,Chile
2020-05-26,Daily ICU occupancy,1202.0,Chile
2020-05-27,Daily ICU occupancy,1251.0,Chile
2020-05-28,Daily ICU occupancy,1289.0,Chile
2020-05-29,Daily ICU occupancy,1350.0,Chile
2020-05-30,Daily ICU occupancy,1371.0,Chile
2020-05-31,Daily ICU occupancy,1383.0,Chile
2020-06-01,Daily ICU occupancy,1446.0,Chile
2020-06-02,Daily ICU occupancy,1451.0,Chile
2020-06-03,Daily ICU occupancy,1475.0,Chile
2020-06-04,Daily ICU occupancy,1496.0,Chile
2020-06-05,Daily ICU occupancy,1521.0,Chile
2020-06-06,Daily ICU occupancy,1524.0,Chile
2020-06-07,Daily ICU occupancy,1558.0,Chile
2020-06-08,Daily ICU occupancy,1581.0,Chile
2020-06-09,Daily ICU occupancy,1577.0,Chile
2020-06-10,Daily ICU occupancy,1590.0,Chile
2020-06-11,Daily ICU occupancy,1618.0,Chile
2020-06-12,Daily ICU occupancy,1647.0,Chile
2020-06-13,Daily ICU occupancy,1656.0,Chile
2020-06-14,Daily ICU occupancy,1715.0,Chile
2020-06-15,Daily ICU occupancy,1723.0,Chile
2020-06-16,Daily ICU occupancy,1727.0,Chile
2020-06-17,Daily ICU occupancy,1794.0,Chile
2020-06-18,Daily ICU occupancy,1845.0,Chile
2020-06-19,Daily ICU occupancy,1911.0,Chile
2020-06-20,Daily ICU occupancy,1951.0,Chile
2020-06-21,Daily ICU occupancy,1996.0,Chile
2020-06-22,Daily ICU occupancy,2014.0,Chile
2020-06-23,Daily ICU occupancy,2009.0,Chile
2020-06-24,Daily ICU occupancy,2046.0,Chile
2020-06-25,Daily ICU occupancy,2078.0,Chile
2020-06-26,Daily ICU occupancy,2086.0,Chile
2020-06-27,Daily ICU occupancy,2090.0,Chile
2020-06-28,Daily ICU occupancy,2129.0,Chile
2020-06-29,Daily ICU occupancy,2090.0,Chile
2020-06-30,Daily ICU occupancy,2106.0,Chile
2020-07-01,Daily ICU occupancy,2075.0,Chile
2020-07-02,Daily ICU occupancy,2099.0,Chile
2020-07-03,Daily ICU occupancy,2107.0,Chile
2020-07-04,Daily ICU occupancy,2077.0,Chile
2020-07-05,Daily ICU occupancy,2078.0,Chile
2020-07-06,Daily ICU occupancy,2069.0,Chile
2020-07-07,Daily ICU occupancy,2060.0,Chile
2020-07-08,Daily ICU occupancy,2053.0,Chile
2020-07-09,Daily ICU occupancy,1999.0,Chile
2020-07-10,Daily ICU occupancy,1990.0,Chile
2020-07-11,Daily ICU occupancy,1999.0,Chile
2020-07-12,Daily ICU occupancy,1995.0,Chile
2020-07-13,Daily ICU occupancy,1931.0,Chile
2020-07-14,Daily ICU occupancy,1915.0,Chile
2020-07-15,Daily ICU occupancy,1878.0,Chile
2020-07-16,Daily ICU occupancy,1821.0,Chile
2020-07-17,Daily ICU occupancy,1796.0,Chile
2020-07-18,Daily ICU occupancy,1792.0,Chile
2020-07-19,Daily ICU occupancy,1764.0,Chile
2020-07-20,Daily ICU occupancy,1753.0,Chile
2020-07-21,Daily ICU occupancy,1728.0,Chile
