date,indicator,value,entity
2020-03-20,Daily hospital occupancy,1580.0,England
2020-03-21,Daily hospital occupancy,2152.0,England
2020-03-22,Daily hospital occupancy,2670.0,England
2020-03-23,Daily hospital occupancy,3183.0,England
2020-03-24,Daily hospital occupancy,3598.0,England
2020-03-25,Daily hospital occupancy,4402.0,England
2020-03-26,Daily hospital occupancy,5226.0,England
2020-03-27,Daily hospital occupancy,6462.0,England
2020-03-28,Daily hospital occupancy,7269.0,England
2020-03-29,Daily hospital occupancy,8424.0,England
2020-03-30,Daily hospital occupancy,9852.0,England
2020-03-31,Daily hospital occupancy,11154.0,England
2020-04-01,Daily hospital occupancy,12059.0,England
2020-04-02,Daily hospital occupancy,12135.0,England
2020-04-03,Daily hospital occupancy,13635.0,England
2020-04-04,Daily hospital occupancy,15469.0,England
2020-04-05,Daily hospital occupancy,16657.0,England
2020-04-06,Daily hospital occupancy,17154.0,England
2020-04-07,Daily hospital occupancy,17814.0,England
2020-04-08,Daily hospital occupancy,18152.0,England
2020-04-09,Daily hospital occupancy,18423.0,England
2020-04-10,Daily hospital occupancy,18669.0,England
2020-04-11,Daily hospital occupancy,18604.0,England
2020-04-12,Daily hospital occupancy,18974.0,England
2020-04-13,Daily hospital occupancy,18621.0,England
2020-04-14,Daily hospital occupancy,18552.0,England
2020-04-15,Daily hospital occupancy,17934.0,England
2020-04-16,Daily hospital occupancy,17783.0,England
2020-04-17,Daily hospital occupancy,16728.0,England
2020-04-18,Daily hospital occupancy,16850.0,England
2020-04-19,Daily hospital occupancy,16928.0,England
2020-04-20,Daily hospital occupancy,16654.0,England
2020-04-21,Daily hospital occupancy,16517.0,England
2020-04-22,Daily hospital occupancy,16018.0,England
2020-04-23,Daily hospital occupancy,15402.0,England
2020-04-24,Daily hospital occupancy,14642.0,England
2020-04-25,Daily hospital occupancy,14202.0,England
2020-04-26,Daily hospital occupancy,14174.0,England
2020-04-27,Daily hospital occupancy,14255.0,England
2020-04-28,Daily hospital occupancy,13565.0,England
2020-04-29,Daily hospital occupancy,13224.0,England
2020-04-30,Daily hospital occupancy,12922.0,England
2020-05-01,Daily hospital occupancy,12623.0,England
2020-05-02,Daily hospital occupancy,12314.0,England
2020-05-03,Daily hospital occupancy,12119.0,England
2020-05-04,Daily hospital occupancy,12020.0,England
2020-05-05,Daily hospital occupancy,11754.0,England
2020-05-06,Daily hospital occupancy,11227.0,England
2020-05-07,Daily hospital occupancy,10726.0,England
2020-05-08,Daily hospital occupancy,10249.0,England
2020-05-09,Daily hospital occupancy,10176.0,England
2020-05-10,Daily hospital occupancy,9893.0,England
2020-05-11,Daily hospital occupancy,10109.0,England
2020-05-12,Daily hospital occupancy,9791.0,England
2020-05-13,Daily hospital occupancy,9602.0,England
2020-05-14,Daily hospital occupancy,9231.0,England
2020-05-15,Daily hospital occupancy,9079.0,England
2020-05-16,Daily hospital occupancy,8643.0,England
2020-05-17,Daily hospital occupancy,8611.0,England
2020-05-18,Daily hospital occupancy,8668.0,England
2020-05-19,Daily hospital occupancy,8518.0,England
2020-05-20,Daily hospital occupancy,8115.0,England
2020-05-21,Daily hospital occupancy,7903.0,England
2020-05-22,Daily hospital occupancy,7761.0,England
2020-05-23,Daily hospital occupancy,7428.0,England
2020-05-24,Daily hospital occupancy,7415.0,England
2020-05-25,Daily hospital occupancy,7448.0,England
2020-05-26,Daily hospital occupancy,7305.0,England
2020-05-27,Daily hospital occupancy,6836.0,England
2020-05-28,Daily hospital occupancy,6528.0,England
2020-05-29,Daily hospital occupancy,6250.0,England
2020-05-30,Daily hospital occupancy,5972.0,England
2020-05-31,Daily hospital occupancy,5933.0,England
2020-06-01,Daily hospital occupancy,5954.0,England
2020-06-02,Daily hospital occupancy,5827.0,England
2020-06-03,Daily hospital occupancy,5600.0,England
2020-06-04,Daily hospital occupancy,5398.0,England
2020-06-05,Daily hospital occupancy,5213.0,England
2020-06-06,Daily hospital occupancy,5004.0,England
2020-06-07,Daily hospital occupancy,4820.0,England
2020-06-08,Daily hospital occupancy,4830.0,England
2020-06-09,Daily hospital occupancy,4665.0,England
2020-06-10,Daily hospital occupancy,4447.0,England
2020-06-11,Daily hospital occupancy,4179.0,England
2020-06-12,Daily hospital occupancy,4136.0,England
2020-06-13,Daily hospital occupancy,4000.0,England
2020-06-14,Daily hospital occupancy,3973.0,England
2020-06-15,Daily hospital occupancy,3920.0,England
2020-06-16,Daily hospital occupancy,3934.0,England
2020-06-17,Daily hospital occupancy,3826.0,England
2020-06-18,Daily hospital occupancy,3681.0,England
2020-06-19,Daily hospital occupancy,3575.0,England
2020-06-20,Daily hospital occupancy,3423.0,England
2020-06-21,Daily hospital occupancy,3373.0,England
2020-06-22,Daily hospital occupancy,3417.0,England
2020-06-23,Daily hospital occupancy,3288.0,England
2020-06-24,Daily hospital occupancy,3223.0,England
2020-06-25,Daily hospital occupancy,3066.0,England
2020-06-26,Daily hospital occupancy,2859.0,England
2020-06-27,Daily hospital occupancy,2819.0,England
2020-06-28,Daily hospital occupancy,2818.0,England
2020-06-29,Daily hospital occupancy,3024.0,England
2020-06-30,Daily hospital occupancy,2665.0,England
2020-07-01,Daily hospital occupancy,2509.0,England
2020-07-02,Daily hospital occupancy,2410.0,England
2020-07-03,Daily hospital occupancy,2294.0,England
2020-07-04,Daily hospital occupancy,2152.0,England
2020-07-05,Daily hospital occupancy,2100.0,England
2020-07-06,Daily hospital occupancy,2099.0,England
2020-07-07,Daily hospital occupancy,2010.0,England
2020-07-08,Daily hospital occupancy,1888.0,England
2020-07-09,Daily hospital occupancy,1801.0,England
2020-07-10,Daily hospital occupancy,1746.0,England
2020-07-11,Daily hospital occupancy,1640.0,England
2020-07-12,Daily hospital occupancy,1611.0,England
2020-07-13,Daily hospital occupancy,1612.0,England
2020-07-14,Daily hospital occupancy,1506.0,England
2020-07-15,Daily hospital occupancy,1489.0,England
2020-07-16,Daily hospital occupancy,1348.0,England
2020-07-17,Daily hospital occupancy,1346.0,England
2020-07-18,Daily hospital occupancy,1321.0,England
2020-07-19,Daily hospital occupancy,1301.0,England
2020-07-20,Daily hospital occupancy,1278.0,England
2020-07-21,Daily hospital occupancy,1188.0,England
2020-07-22,Daily hospital occupancy,1305.0,England
2020-07-23,Daily hospital occupancy,1095.0,England
2020-07-24,Daily hospital occupancy,1018.0,England
2020-07-25,Daily hospital occupancy,977.0,England
2020-07-26,Daily hospital occupancy,965.0,England
2020-07-27,Daily hospital occupancy,945.0,England
2020-07-28,Daily hospital occupancy,944.0,England
2020-07-29,Daily hospital occupancy,927.0,England
2020-07-30,Daily hospital occupancy,898.0,England
2020-07-31,Daily hospital occupancy,870.0,England
2020-08-01,Daily hospital occupancy,879.0,England
2020-08-02,Daily hospital occupancy,847.0,England
2020-08-03,Daily hospital occupancy,842.0,England
2020-08-04,Daily hospital occupancy,807.0,England
2020-08-05,Daily hospital occupancy,805.0,England
2020-08-06,Daily hospital occupancy,756.0,England
2020-08-07,Daily hospital occupancy,711.0,England
2020-08-08,Daily hospital occupancy,650.0,England
2020-08-09,Daily hospital occupancy,611.0,England
2020-08-10,Daily hospital occupancy,714.0,England
2020-08-11,Daily hospital occupancy,672.0,England
2020-08-12,Daily hospital occupancy,642.0,England
2020-08-13,Daily hospital occupancy,652.0,England
2020-08-14,Daily hospital occupancy,642.0,England
2020-08-15,Daily hospital occupancy,630.0,England
2020-08-16,Daily hospital occupancy,634.0,England
2020-08-17,Daily hospital occupancy,626.0,England
