entity,indicator,date,value
Greece,Weekly new ICU admissions,2020-03-15,12.907021962790422
Greece,Weekly new ICU admissions,2020-03-22,41.699609418246006
Greece,Weekly new ICU admissions,2020-03-29,54.60663138103643
Greece,Weekly new ICU admissions,2020-04-05,39.713913731662856
Greece,Weekly new ICU admissions,2020-04-12,19.856956865831425
Greece,Weekly new ICU admissions,2020-04-19,16.878413335956704
Greece,Weekly new ICU admissions,2020-04-26,9.928478432915705
Greece,Weekly new ICU admissions,2020-05-03,3.9713913731662847
Greece,Weekly new ICU admissions,2020-05-10,3.9713913731662847
Greece,Weekly new ICU admissions,2020-05-24,3.9713913731662847
Greece,Weekly new ICU admissions,2020-05-31,1.9856956865831368
Greece,Weekly new ICU admissions,2020-06-07,2.9785435298747056
Greece,Weekly new ICU admissions,2020-06-14,7.942782746332569
Greece,Weekly new ICU admissions,2020-06-21,1.9856956865831368
Greece,Weekly new ICU admissions,2020-06-28,2.9785435298747056
Greece,Weekly new ICU admissions,2020-07-26,6.949934903041001
Greece,Weekly new ICU admissions,2020-08-02,10.921326276207283
Greece,Weekly new ICU admissions,2020-08-09,15.885565492665139
Greece,Weekly new ICU admissions,2020-08-16,11.914174119498853
Greece,Weekly new ICU admissions,2020-08-23,18.864109022539854
Greece,Weekly new ICU admissions,2020-08-30,17.871261179248283
Greece,Weekly new hospital admissions,2020-09-06,207.50519924793838
Greece,Weekly new ICU admissions,2020-09-06,21.842652552414567
Greece,Weekly new hospital admissions,2020-09-13,258.1404392558086
Greece,Weekly new ICU admissions,2020-09-13,35.742522358496565
Greece,Weekly new hospital admissions,2020-09-20,339.5539624057174
Greece,Weekly new ICU admissions,2020-09-20,44.67815294812072
Greece,Weekly new hospital admissions,2020-09-27,332.60402750267644
Greece,Weekly new ICU admissions,2020-09-27,28.79258745545557
Greece,Weekly new hospital admissions,2020-10-04,395.1534416300454
Greece,Weekly new ICU admissions,2020-10-04,47.65669647799543
Greece,Weekly new hospital admissions,2020-10-11,367.35370201788146
Greece,Weekly new ICU admissions,2020-10-11,39.713913731662856
Greece,Weekly new hospital admissions,2020-10-18,416.00324633916847
Greece,Weekly new ICU admissions,2020-10-18,33.75682667191342
Greece,Weekly new hospital admissions,2020-10-25,585.7802275420272
Greece,Weekly new ICU admissions,2020-10-25,56.59232706761957
Greece,Weekly new hospital admissions,2020-11-01,948.1696903434506
Greece,Weekly new ICU admissions,2020-11-01,98.29193648586556
Greece,Weekly new hospital admissions,2020-11-08,1704.7197469316284
Greece,Weekly new ICU admissions,2020-11-08,155.8771113967767
Greece,Weekly new hospital admissions,2020-11-15,2739.2671996414456
Greece,Weekly new ICU admissions,2020-11-15,285.9401788679726
Greece,Weekly new hospital admissions,2020-11-22,3167.1846201001126
Greece,Weekly new ICU admissions,2020-11-22,354.446680055091
Greece,Weekly new hospital admissions,2020-11-29,2849.47331024681
Greece,Weekly new ICU admissions,2020-11-29,310.7613749502619
Greece,Weekly new hospital admissions,2020-12-06,2388.7919109595205
Greece,Weekly new ICU admissions,2020-12-06,277.99739612164
Greece,Weekly new hospital admissions,2020-12-13,1919.1748810826075
Greece,Weekly new ICU admissions,2020-12-13,242.25487376314348
Greece,Weekly new hospital admissions,2020-12-20,1511.114417489772
Greece,Weekly new ICU admissions,2020-12-20,195.59102512843958
Greece,Weekly new hospital admissions,2020-12-27,1011.7119523141114
Greece,Weekly new ICU admissions,2020-12-27,170.7698290461503
Greece,Weekly new hospital admissions,2021-01-03,992.8478432915714
Greece,Weekly new ICU admissions,2021-01-03,125.09882825473801
Greece,Weekly new hospital admissions,2021-01-10,849.8777538575852
Greece,Weekly new ICU admissions,2021-01-10,106.23471923219815
Greece,Weekly new hospital admissions,2021-01-17,924.341342104453
Greece,Weekly new ICU admissions,2021-01-17,104.24902354561499
Greece,Weekly new hospital admissions,2021-01-24,718.8218385430978
Greece,Weekly new ICU admissions,2021-01-24,88.36345805294987
Greece,Weekly new hospital admissions,2021-01-31,924.341342104453
Greece,Weekly new ICU admissions,2021-01-31,66.52080550053529
Greece,Weekly new hospital admissions,2021-02-07,1215.2457601888832
Greece,Weekly new ICU admissions,2021-02-07,110.20611060536443
Greece,Weekly new hospital admissions,2021-02-14,1429.700894339863
Greece,Weekly new ICU admissions,2021-02-14,154.88426355348514
Greece,Weekly new hospital admissions,2021-02-21,1516.0786567062298
Greece,Weekly new ICU admissions,2021-02-21,141.97724159069475
Greece,Weekly new hospital admissions,2021-02-28,1984.7028387398511
Greece,Weekly new ICU admissions,2021-02-28,198.56956865831427
Greece,Weekly new hospital admissions,2021-03-07,2553.604652945922
Greece,Weekly new ICU admissions,2021-03-07,218.42652552414572
Greece,Weekly new hospital admissions,2021-03-14,3146.33481539099
Greece,Weekly new ICU admissions,2021-03-14,305.797135733804
Greece,Weekly new hospital admissions,2021-03-21,3283.3478177652273
Greece,Weekly new ICU admissions,2021-03-21,338.56111456242587
Greece,Weekly new hospital admissions,2021-03-28,3106.620901659327
Greece,Weekly new ICU admissions,2021-03-28,335.58257103255113
Greece,Weekly new hospital admissions,2021-04-04,3450.14625543821
Greece,Weekly new ICU admissions,2021-04-04,339.5539624057174
Greece,Weekly new hospital admissions,2021-04-11,3723.1794123433933
Greece,Weekly new ICU admissions,2021-04-11,347.49674515205004
Greece,Weekly new hospital admissions,2021-04-18,3559.3595182002837
Greece,Weekly new ICU admissions,2021-04-18,389.19635457029597
Greece,Weekly new hospital admissions,2021-04-25,3282.354969921935
Greece,Weekly new ICU admissions,2021-04-25,329.62548397280176
Greece,Weekly new hospital admissions,2021-05-02,2996.4147910539627
Greece,Weekly new ICU admissions,2021-05-02,329.62548397280176
Greece,Weekly new hospital admissions,2021-05-09,2623.104001976332
Greece,Weekly new ICU admissions,2021-05-09,230.34069964364457
Greece,Weekly new hospital admissions,2021-05-16,2177.3153203384163
Greece,Weekly new ICU admissions,2021-05-16,212.4694384643963
Greece,Weekly new hospital admissions,2021-05-23,1876.4824238210706
Greece,Weekly new ICU admissions,2021-05-23,157.86280708335985
Greece,Weekly new hospital admissions,2021-05-30,1413.8153288471979
Greece,Weekly new ICU admissions,2021-05-30,138.00585021752843
Greece,Weekly new hospital admissions,2021-06-06,1103.0539538969358
Greece,Weekly new ICU admissions,2021-06-06,103.25617570232343
Greece,Weekly new hospital admissions,2021-06-13,733.7145561924713
Greece,Weekly new ICU admissions,2021-06-13,64.53510981395215
Greece,Weekly new hospital admissions,2021-06-20,449.76007301108183
Greece,Weekly new ICU admissions,2021-06-20,53.613783537744865
Greece,Weekly new hospital admissions,2021-06-27,340.546810249009
Greece,Weekly new ICU admissions,2021-06-27,32.76397882862185
Greece,Weekly new hospital admissions,2021-07-04,266.08322200214116
Greece,Weekly new ICU admissions,2021-07-04,17.871261179248283
Greece,Weekly new hospital admissions,2021-07-11,435.86020320499995
Greece,Weekly new ICU admissions,2021-07-11,12.907021962790422
Greece,Weekly new hospital admissions,2021-07-18,801.2282095362982
Greece,Weekly new ICU admissions,2021-07-18,28.79258745545557
Greece,Weekly new hospital admissions,2021-07-25,1107.025345270102
Greece,Weekly new ICU admissions,2021-07-25,54.60663138103643
Greece,Weekly new hospital admissions,2021-08-01,1202.3387382260928
Greece,Weekly new ICU admissions,2021-08-01,96.30624079928245
Greece,Weekly new hospital admissions,2021-08-08,1364.1729366826191
Greece,Weekly new ICU admissions,2021-08-08,96.30624079928245
Greece,Weekly new hospital admissions,2021-08-15,1621.3205280951363
Greece,Weekly new ICU admissions,2021-08-15,116.16319766511386
Greece,Weekly new hospital admissions,2021-08-22,1816.9115532235755
Greece,Weekly new ICU admissions,2021-08-22,160.84135061323457
Greece,Weekly new hospital admissions,2021-08-29,1834.7828144028242
Greece,Weekly new ICU admissions,2021-08-29,144.95578512056943
Greece,Weekly new hospital admissions,2021-09-05,1609.4063539756373
Greece,Weekly new ICU admissions,2021-09-05,177.7197639491913
Greece,Weekly new hospital admissions,2021-09-12,1445.5864598325281
Greece,Weekly new ICU admissions,2021-09-12,134.03445884436215
Greece,Weekly new hospital admissions,2021-09-19,1324.459022950956
Greece,Weekly new ICU admissions,2021-09-19,127.08452394132112
Greece,Weekly new hospital admissions,2021-09-26,1324.459022950956
Greece,Weekly new ICU admissions,2021-09-26,127.08452394132112
Greece,Weekly new hospital admissions,2021-10-03,1122.9109107627673
Greece,Weekly new ICU admissions,2021-10-03,131.05591531448744
Greece,Weekly new hospital admissions,2021-10-10,1292.687891965626
Greece,Weekly new ICU admissions,2021-10-10,144.95578512056943
Greece,Weekly new hospital admissions,2021-10-17,1416.7938723770726
Greece,Weekly new ICU admissions,2021-10-17,149.9200243370273
Greece,Weekly new hospital admissions,2021-10-24,1574.6566794604323
Greece,Weekly new ICU admissions,2021-10-24,150.91287218031886
Greece,Weekly new hospital admissions,2021-10-31,1926.1248159856486
Greece,Weekly new ICU admissions,2021-10-31,209.4908949345216
Greece,Weekly new hospital admissions,2021-11-07,2500.9837172514685
Greece,Weekly new ICU admissions,2021-11-07,227.36215611376988
Greece,Weekly new hospital admissions,2021-11-14,2852.451853776685
