entity,indicator,date,value
Malta,Daily ICU occupancy,2020-03-08,0.0
Malta,Daily ICU occupancy,2020-03-15,0.0
Malta,Daily ICU occupancy,2020-03-22,0.0
Malta,Daily ICU occupancy,2020-03-29,4.0
Malta,Daily ICU occupancy,2020-04-05,0.0
Malta,Daily ICU occupancy,2020-04-12,2.0
Malta,Daily ICU occupancy,2020-04-19,1.0
Malta,Daily ICU occupancy,2020-04-26,1.0
Malta,Daily ICU occupancy,2020-05-03,0.0
Malta,Daily ICU occupancy,2020-05-10,1.0
Malta,Daily ICU occupancy,2020-05-17,0.0
Malta,Daily ICU occupancy,2020-05-24,0.0
Malta,Daily ICU occupancy,2020-05-31,2.0
Malta,Daily ICU occupancy,2020-06-07,0.0
Malta,Daily ICU occupancy,2020-06-14,0.0
Malta,Daily ICU occupancy,2020-06-21,0.0
Malta,Daily ICU occupancy,2020-06-28,0.0
Malta,Daily ICU occupancy,2020-07-05,0.0
Malta,Daily ICU occupancy,2020-07-12,0.0
Malta,Daily ICU occupancy,2020-07-19,0.0
Malta,Daily ICU occupancy,2020-07-26,0.0
Malta,Daily ICU occupancy,2020-08-02,0.0
Malta,Daily ICU occupancy,2020-08-09,0.0
Malta,Daily ICU occupancy,2020-08-16,0.0
Malta,Daily ICU occupancy,2020-08-23,0.0
Malta,Daily ICU occupancy,2020-08-30,0.0
Malta,Daily ICU occupancy,2020-09-06,0.0
Malta,Daily ICU occupancy,2020-09-13,3.0
Malta,Daily ICU occupancy,2020-09-20,3.0
Malta,Daily ICU occupancy,2020-09-27,5.0
Malta,Daily ICU occupancy,2020-10-04,5.0
Malta,Daily ICU occupancy,2020-10-11,5.0
Malta,Daily ICU occupancy,2020-10-18,4.0
Malta,Daily ICU occupancy,2020-10-25,7.0
Malta,Daily ICU occupancy,2020-11-01,17.0
Malta,Daily ICU occupancy,2020-11-08,16.0
Malta,Daily ICU occupancy,2020-11-15,19.0
Malta,Daily ICU occupancy,2020-11-22,26.0
Malta,Daily ICU occupancy,2020-11-29,17.0
Malta,Daily ICU occupancy,2020-12-06,18.0
Malta,Daily ICU occupancy,2020-12-13,20.0
Malta,Daily ICU occupancy,2020-12-20,11.0
Malta,Daily ICU occupancy,2020-12-27,10.0
Malta,Daily ICU occupancy,2021-01-03,18.0
Malta,Daily ICU occupancy,2021-01-10,20.0
Malta,Daily ICU occupancy,2021-01-17,27.0
Malta,Daily ICU occupancy,2021-01-24,14.0
Malta,Daily ICU occupancy,2021-01-31,10.0
Malta,Daily ICU occupancy,2021-02-07,15.0
Malta,Daily ICU occupancy,2021-02-14,3.0
Malta,Daily ICU occupancy,2021-02-21,4.0
Malta,Daily ICU occupancy,2021-02-28,11.0
Malta,Daily ICU occupancy,2021-03-07,5.0
Malta,Daily ICU occupancy,2021-03-14,9.0
Malta,Daily ICU occupancy,2021-03-21,7.0
Malta,Daily ICU occupancy,2021-03-28,2.0
Malta,Daily ICU occupancy,2021-04-04,4.0
Malta,Daily ICU occupancy,2021-04-11,7.0
Malta,Daily ICU occupancy,2021-04-18,1.0
Malta,Daily ICU occupancy,2021-04-25,3.0
Malta,Daily ICU occupancy,2021-05-02,3.0
Malta,Daily ICU occupancy,2021-05-09,0.0
Malta,Daily ICU occupancy,2021-05-16,2.0
Malta,Daily ICU occupancy,2021-05-23,0.0
Malta,Daily ICU occupancy,2021-05-30,0.0
Malta,Daily ICU occupancy,2021-06-06,0.0
Malta,Daily ICU occupancy,2021-06-13,0.0
Malta,Daily ICU occupancy,2021-06-20,0.0
Malta,Daily ICU occupancy,2021-06-27,0.0
Malta,Daily ICU occupancy,2021-07-04,1.0
Malta,Daily ICU occupancy,2021-07-11,1.0
Malta,Daily ICU occupancy,2021-07-18,0.0
Malta,Daily ICU occupancy,2021-07-25,1.0
Malta,Daily ICU occupancy,2021-08-01,5.0
Malta,Daily ICU occupancy,2021-08-08,6.0
Malta,Daily ICU occupancy,2021-08-15,4.0
Malta,Daily ICU occupancy,2021-08-22,2.0
Malta,Daily ICU occupancy,2021-08-29,2.0
Malta,Daily ICU occupancy,2021-09-05,2.0
Malta,Daily ICU occupancy,2021-09-12,2.0
Malta,Daily ICU occupancy,2021-09-19,1.0
Malta,Daily ICU occupancy,2021-09-26,1.0
Malta,Daily ICU occupancy,2021-10-03,0.0
Malta,Daily ICU occupancy,2021-10-10,1.0
Malta,Daily ICU occupancy,2021-10-17,0.0
Malta,Daily ICU occupancy,2021-10-24,4.0
Malta,Daily ICU occupancy,2021-10-31,0.0
Malta,Daily ICU occupancy,2021-11-07,0.0
Malta,Daily ICU occupancy,2021-11-14,1.0
Malta,Daily ICU occupancy,2021-11-21,1.0
Malta,Daily ICU occupancy,2021-11-28,0.0
Malta,Daily ICU occupancy,2021-12-05,2.0
Malta,Daily ICU occupancy,2021-12-12,3.0
Malta,Daily ICU occupancy,2021-12-19,1.0
Malta,Daily ICU occupancy,2021-12-26,4.0
Malta,Daily ICU occupancy,2022-01-02,4.0
Malta,Daily ICU occupancy,2022-01-09,4.0
Malta,Daily ICU occupancy,2022-01-16,2.0
Malta,Daily ICU occupancy,2022-01-23,0.0
Malta,Daily ICU occupancy,2022-01-30,0.0
Malta,Daily ICU occupancy,2022-02-06,1.0
Malta,Daily ICU occupancy,2022-02-13,1.0
Malta,Daily ICU occupancy,2022-02-20,0.0
