date,indicator,value,entity
2020-03-10,Daily hospital occupancy,2.0,Northern Ireland
2020-03-11,Daily hospital occupancy,3.0,Northern Ireland
2020-03-12,Daily hospital occupancy,3.0,Northern Ireland
2020-03-13,Daily hospital occupancy,2.0,Northern Ireland
2020-03-14,Daily hospital occupancy,2.0,Northern Ireland
2020-03-15,Daily hospital occupancy,2.0,Northern Ireland
2020-03-16,Daily hospital occupancy,3.0,Northern Ireland
2020-03-17,Daily hospital occupancy,1.0,Northern Ireland
2020-03-18,Daily hospital occupancy,0.0,Northern Ireland
2020-03-19,Daily hospital occupancy,0.0,Northern Ireland
2020-03-20,Daily hospital occupancy,0.0,Northern Ireland
2020-03-21,Daily hospital occupancy,0.0,Northern Ireland
2020-03-22,Daily hospital occupancy,0.0,Northern Ireland
2020-03-23,Daily hospital occupancy,7.0,Northern Ireland
2020-03-24,Daily hospital occupancy,10.0,Northern Ireland
2020-03-25,Daily hospital occupancy,13.0,Northern Ireland
2020-03-26,Daily hospital occupancy,17.0,Northern Ireland
2020-03-27,Daily hospital occupancy,22.0,Northern Ireland
2020-03-28,Daily hospital occupancy,32.0,Northern Ireland
2020-03-29,Daily hospital occupancy,39.0,Northern Ireland
2020-03-30,Daily hospital occupancy,43.0,Northern Ireland
2020-03-31,Daily hospital occupancy,60.0,Northern Ireland
2020-04-01,Daily hospital occupancy,75.0,Northern Ireland
2020-04-02,Daily hospital occupancy,82.0,Northern Ireland
2020-04-03,Daily hospital occupancy,89.0,Northern Ireland
2020-04-04,Daily hospital occupancy,99.0,Northern Ireland
2020-04-05,Daily hospital occupancy,96.0,Northern Ireland
2020-04-06,Daily hospital occupancy,109.0,Northern Ireland
2020-04-07,Daily hospital occupancy,128.0,Northern Ireland
2020-04-08,Daily hospital occupancy,138.0,Northern Ireland
2020-04-09,Daily hospital occupancy,147.0,Northern Ireland
2020-04-10,Daily hospital occupancy,140.0,Northern Ireland
2020-04-11,Daily hospital occupancy,150.0,Northern Ireland
2020-04-12,Daily hospital occupancy,157.0,Northern Ireland
2020-04-13,Daily hospital occupancy,158.0,Northern Ireland
2020-04-14,Daily hospital occupancy,155.0,Northern Ireland
2020-04-15,Daily hospital occupancy,149.0,Northern Ireland
2020-04-16,Daily hospital occupancy,157.0,Northern Ireland
2020-04-17,Daily hospital occupancy,163.0,Northern Ireland
2020-04-18,Daily hospital occupancy,162.0,Northern Ireland
2020-04-19,Daily hospital occupancy,166.0,Northern Ireland
2020-04-20,Daily hospital occupancy,176.0,Northern Ireland
2020-04-21,Daily hospital occupancy,185.0,Northern Ireland
2020-04-22,Daily hospital occupancy,180.0,Northern Ireland
