date,indicator,value,entity
2020-03-27,Daily hospital occupancy,404.0,Scotland
2020-03-28,Daily hospital occupancy,511.0,Scotland
2020-03-29,Daily hospital occupancy,565.0,Scotland
2020-03-30,Daily hospital occupancy,627.0,Scotland
2020-03-31,Daily hospital occupancy,752.0,Scotland
2020-04-01,Daily hospital occupancy,815.0,Scotland
2020-04-02,Daily hospital occupancy,910.0,Scotland
2020-04-03,Daily hospital occupancy,1037.0,Scotland
2020-04-04,Daily hospital occupancy,1107.0,Scotland
2020-04-05,Daily hospital occupancy,1204.0,Scotland
2020-04-06,Daily hospital occupancy,1262.0,Scotland
2020-04-07,Daily hospital occupancy,1328.0,Scotland
2020-04-08,Daily hospital occupancy,1415.0,Scotland
2020-04-09,Daily hospital occupancy,1440.0,Scotland
2020-04-10,Daily hospital occupancy,1461.0,Scotland
2020-04-11,Daily hospital occupancy,1467.0,Scotland
2020-04-12,Daily hospital occupancy,1487.0,Scotland
2020-04-13,Daily hospital occupancy,1482.0,Scotland
2020-04-14,Daily hospital occupancy,1514.0,Scotland
2020-04-15,Daily hospital occupancy,1486.0,Scotland
2020-04-16,Daily hospital occupancy,1479.0,Scotland
2020-04-17,Daily hospital occupancy,1487.0,Scotland
2020-04-18,Daily hospital occupancy,1501.0,Scotland
2020-04-19,Daily hospital occupancy,1520.0,Scotland
2020-04-20,Daily hospital occupancy,1520.0,Scotland
2020-04-21,Daily hospital occupancy,1472.0,Scotland
2020-04-22,Daily hospital occupancy,1432.0,Scotland
2020-04-23,Daily hospital occupancy,1423.0,Scotland
2020-04-24,Daily hospital occupancy,1383.0,Scotland
2020-04-25,Daily hospital occupancy,1385.0,Scotland
2020-04-26,Daily hospital occupancy,1382.0,Scotland
2020-04-27,Daily hospital occupancy,1387.0,Scotland
2020-04-28,Daily hospital occupancy,1359.0,Scotland
2020-04-29,Daily hospital occupancy,1363.0,Scotland
2020-04-30,Daily hospital occupancy,1324.0,Scotland
2020-05-01,Daily hospital occupancy,1302.0,Scotland
2020-05-02,Daily hospital occupancy,1277.0,Scotland
2020-05-03,Daily hospital occupancy,1266.0,Scotland
2020-05-04,Daily hospital occupancy,1279.0,Scotland
2020-05-05,Daily hospital occupancy,1225.0,Scotland
2020-05-06,Daily hospital occupancy,1204.0,Scotland
2020-05-07,Daily hospital occupancy,1199.0,Scotland
2020-05-08,Daily hospital occupancy,1168.0,Scotland
2020-05-09,Daily hospital occupancy,1159.0,Scotland
2020-05-10,Daily hospital occupancy,1132.0,Scotland
2020-05-11,Daily hospital occupancy,1145.0,Scotland
2020-05-12,Daily hospital occupancy,1131.0,Scotland
2020-05-13,Daily hospital occupancy,1101.0,Scotland
2020-05-14,Daily hospital occupancy,1100.0,Scotland
2020-05-15,Daily hospital occupancy,1066.0,Scotland
2020-05-16,Daily hospital occupancy,1011.0,Scotland
2020-05-17,Daily hospital occupancy,1007.0,Scotland
2020-05-18,Daily hospital occupancy,1005.0,Scotland
2020-05-19,Daily hospital occupancy,969.0,Scotland
2020-05-20,Daily hospital occupancy,943.0,Scotland
2020-05-21,Daily hospital occupancy,909.0,Scotland
2020-05-22,Daily hospital occupancy,874.0,Scotland
2020-05-23,Daily hospital occupancy,841.0,Scotland
2020-05-24,Daily hospital occupancy,845.0,Scotland
2020-05-25,Daily hospital occupancy,849.0,Scotland
2020-05-26,Daily hospital occupancy,833.0,Scotland
2020-05-27,Daily hospital occupancy,810.0,Scotland
2020-05-28,Daily hospital occupancy,797.0,Scotland
2020-05-29,Daily hospital occupancy,769.0,Scotland
2020-05-30,Daily hospital occupancy,736.0,Scotland
2020-05-31,Daily hospital occupancy,733.0,Scotland
2020-06-01,Daily hospital occupancy,736.0,Scotland
2020-06-02,Daily hospital occupancy,714.0,Scotland
2020-06-03,Daily hospital occupancy,708.0,Scotland
2020-06-04,Daily hospital occupancy,691.0,Scotland
2020-06-05,Daily hospital occupancy,682.0,Scotland
2020-06-06,Daily hospital occupancy,652.0,Scotland
2020-06-07,Daily hospital occupancy,652.0,Scotland
2020-06-08,Daily hospital occupancy,660.0,Scotland
2020-06-09,Daily hospital occupancy,647.0,Scotland
2020-06-10,Daily hospital occupancy,628.0,Scotland
2020-06-11,Daily hospital occupancy,610.0,Scotland
2020-06-12,Daily hospital occupancy,590.0,Scotland
2020-06-13,Daily hospital occupancy,582.0,Scotland
2020-06-14,Daily hospital occupancy,575.0,Scotland
2020-06-15,Daily hospital occupancy,578.0,Scotland
2020-06-16,Daily hospital occupancy,567.0,Scotland
2020-06-17,Daily hospital occupancy,552.0,Scotland
2020-06-18,Daily hospital occupancy,544.0,Scotland
2020-06-19,Daily hospital occupancy,518.0,Scotland
2020-06-20,Daily hospital occupancy,511.0,Scotland
2020-06-21,Daily hospital occupancy,518.0,Scotland
2020-06-22,Daily hospital occupancy,515.0,Scotland
2020-06-23,Daily hospital occupancy,512.0,Scotland
2020-06-24,Daily hospital occupancy,489.0,Scotland
2020-06-25,Daily hospital occupancy,472.0,Scotland
2020-06-26,Daily hospital occupancy,467.0,Scotland
2020-06-27,Daily hospital occupancy,456.0,Scotland
2020-06-28,Daily hospital occupancy,453.0,Scotland
2020-06-29,Daily hospital occupancy,453.0,Scotland
2020-06-30,Daily hospital occupancy,450.0,Scotland
2020-07-01,Daily hospital occupancy,439.0,Scotland
2020-07-02,Daily hospital occupancy,432.0,Scotland
2020-07-03,Daily hospital occupancy,422.0,Scotland
2020-07-04,Daily hospital occupancy,430.0,Scotland
2020-07-05,Daily hospital occupancy,424.0,Scotland
2020-07-06,Daily hospital occupancy,384.0,Scotland
2020-07-07,Daily hospital occupancy,376.0,Scotland
2020-07-08,Daily hospital occupancy,358.0,Scotland
2020-07-09,Daily hospital occupancy,342.0,Scotland
2020-07-10,Daily hospital occupancy,337.0,Scotland
2020-07-11,Daily hospital occupancy,323.0,Scotland
2020-07-12,Daily hospital occupancy,330.0,Scotland
2020-07-13,Daily hospital occupancy,335.0,Scotland
2020-07-14,Daily hospital occupancy,327.0,Scotland
2020-07-15,Daily hospital occupancy,329.0,Scotland
2020-07-16,Daily hospital occupancy,320.0,Scotland
2020-07-17,Daily hospital occupancy,316.0,Scotland
2020-07-18,Daily hospital occupancy,305.0,Scotland
2020-07-19,Daily hospital occupancy,302.0,Scotland
2020-07-20,Daily hospital occupancy,299.0,Scotland
2020-07-21,Daily hospital occupancy,303.0,Scotland
2020-07-22,Daily hospital occupancy,295.0,Scotland
2020-07-23,Daily hospital occupancy,287.0,Scotland
2020-07-24,Daily hospital occupancy,278.0,Scotland
2020-07-25,Daily hospital occupancy,270.0,Scotland
2020-07-26,Daily hospital occupancy,267.0,Scotland
2020-07-27,Daily hospital occupancy,270.0,Scotland
2020-07-28,Daily hospital occupancy,264.0,Scotland
2020-07-29,Daily hospital occupancy,260.0,Scotland
2020-07-30,Daily hospital occupancy,260.0,Scotland
2020-07-31,Daily hospital occupancy,255.0,Scotland
2020-08-01,Daily hospital occupancy,260.0,Scotland
2020-08-02,Daily hospital occupancy,265.0,Scotland
2020-08-03,Daily hospital occupancy,265.0,Scotland
2020-08-04,Daily hospital occupancy,270.0,Scotland
2020-08-05,Daily hospital occupancy,267.0,Scotland
2020-08-06,Daily hospital occupancy,270.0,Scotland
2020-08-07,Daily hospital occupancy,262.0,Scotland
2020-08-08,Daily hospital occupancy,261.0,Scotland
2020-08-09,Daily hospital occupancy,261.0,Scotland
2020-08-10,Daily hospital occupancy,267.0,Scotland
2020-08-11,Daily hospital occupancy,269.0,Scotland
2020-08-12,Daily hospital occupancy,265.0,Scotland
2020-08-13,Daily hospital occupancy,258.0,Scotland
2020-08-14,Daily hospital occupancy,253.0,Scotland
2020-08-15,Daily hospital occupancy,244.0,Scotland
2020-08-16,Daily hospital occupancy,243.0,Scotland
2020-08-17,Daily hospital occupancy,248.0,Scotland
2020-08-18,Daily hospital occupancy,254.0,Scotland
2020-08-19,Daily hospital occupancy,247.0,Scotland
2020-08-20,Daily hospital occupancy,248.0,Scotland
2020-08-21,Daily hospital occupancy,253.0,Scotland
2020-08-22,Daily hospital occupancy,246.0,Scotland
2020-08-23,Daily hospital occupancy,245.0,Scotland
2020-08-24,Daily hospital occupancy,248.0,Scotland
2020-08-25,Daily hospital occupancy,243.0,Scotland
2020-08-26,Daily hospital occupancy,249.0,Scotland
2020-08-27,Daily hospital occupancy,257.0,Scotland
2020-08-28,Daily hospital occupancy,255.0,Scotland
2020-08-29,Daily hospital occupancy,258.0,Scotland
2020-08-30,Daily hospital occupancy,251.0,Scotland
2020-08-31,Daily hospital occupancy,258.0,Scotland
2020-09-01,Daily hospital occupancy,264.0,Scotland
2020-09-02,Daily hospital occupancy,258.0,Scotland
2020-09-03,Daily hospital occupancy,259.0,Scotland
2020-09-04,Daily hospital occupancy,258.0,Scotland
2020-09-05,Daily hospital occupancy,251.0,Scotland
2020-09-06,Daily hospital occupancy,244.0,Scotland
2020-09-07,Daily hospital occupancy,256.0,Scotland
2020-09-08,Daily hospital occupancy,267.0,Scotland
2020-09-09,Daily hospital occupancy,274.0,Scotland
2020-09-10,Daily hospital occupancy,266.0,Scotland
