date,indicator,value,entity
2020-04-01,Daily hospital occupancy,13432.0,United Kingdom
2020-04-02,Daily hospital occupancy,13652.0,United Kingdom
2020-04-03,Daily hospital occupancy,15329.0,United Kingdom
2020-04-04,Daily hospital occupancy,17271.0,United Kingdom
2020-04-05,Daily hospital occupancy,18621.0,United Kingdom
2020-04-06,Daily hospital occupancy,19256.0,United Kingdom
2020-04-07,Daily hospital occupancy,20008.0,United Kingdom
2020-04-08,Daily hospital occupancy,20521.0,United Kingdom
2020-04-09,Daily hospital occupancy,20805.0,United Kingdom
2020-04-10,Daily hospital occupancy,21103.0,United Kingdom
2020-04-11,Daily hospital occupancy,21086.0,United Kingdom
2020-04-12,Daily hospital occupancy,21528.0,United Kingdom
2020-04-13,Daily hospital occupancy,21158.0,United Kingdom
2020-04-14,Daily hospital occupancy,21140.0,United Kingdom
2020-04-15,Daily hospital occupancy,20453.0,United Kingdom
2020-04-16,Daily hospital occupancy,20263.0,United Kingdom
2020-04-17,Daily hospital occupancy,19203.0,United Kingdom
2020-04-18,Daily hospital occupancy,19331.0,United Kingdom
2020-04-19,Daily hospital occupancy,19442.0,United Kingdom
2020-04-20,Daily hospital occupancy,19203.0,United Kingdom
2020-04-21,Daily hospital occupancy,19012.0,United Kingdom
2020-04-22,Daily hospital occupancy,18403.0,United Kingdom
2020-04-23,Daily hospital occupancy,17742.0,United Kingdom
2020-04-24,Daily hospital occupancy,16937.0,United Kingdom
2020-04-25,Daily hospital occupancy,16478.0,United Kingdom
2020-04-26,Daily hospital occupancy,16431.0,United Kingdom
2020-04-27,Daily hospital occupancy,16545.0,United Kingdom
2020-04-28,Daily hospital occupancy,15767.0,United Kingdom
2020-04-29,Daily hospital occupancy,15413.0,United Kingdom
2020-04-30,Daily hospital occupancy,15054.0,United Kingdom
2020-05-01,Daily hospital occupancy,14617.0,United Kingdom
2020-05-02,Daily hospital occupancy,14269.0,United Kingdom
2020-05-03,Daily hospital occupancy,14081.0,United Kingdom
2020-05-04,Daily hospital occupancy,13985.0,United Kingdom
2020-05-05,Daily hospital occupancy,13616.0,United Kingdom
2020-05-06,Daily hospital occupancy,13040.0,United Kingdom
2020-05-07,Daily hospital occupancy,12522.0,United Kingdom
2020-05-08,Daily hospital occupancy,11952.0,United Kingdom
2020-05-09,Daily hospital occupancy,11906.0,United Kingdom
2020-05-10,Daily hospital occupancy,11615.0,United Kingdom
2020-05-11,Daily hospital occupancy,11852.0,United Kingdom
2020-05-12,Daily hospital occupancy,11477.0,United Kingdom
2020-05-13,Daily hospital occupancy,11232.0,United Kingdom
2020-05-14,Daily hospital occupancy,10821.0,United Kingdom
2020-05-15,Daily hospital occupancy,10598.0,United Kingdom
2020-05-16,Daily hospital occupancy,10147.0,United Kingdom
2020-05-17,Daily hospital occupancy,10108.0,United Kingdom
2020-05-18,Daily hospital occupancy,10146.0,United Kingdom
2020-05-19,Daily hospital occupancy,9929.0,United Kingdom
2020-05-20,Daily hospital occupancy,9485.0,United Kingdom
2020-05-21,Daily hospital occupancy,9215.0,United Kingdom
2020-05-22,Daily hospital occupancy,9111.0,United Kingdom
2020-05-23,Daily hospital occupancy,8742.0,United Kingdom
2020-05-24,Daily hospital occupancy,8742.0,United Kingdom
2020-05-25,Daily hospital occupancy,8763.0,United Kingdom
2020-05-26,Daily hospital occupancy,8661.0,United Kingdom
2020-05-27,Daily hospital occupancy,8151.0,United Kingdom
2020-05-28,Daily hospital occupancy,7839.0,United Kingdom
2020-05-29,Daily hospital occupancy,7524.0,United Kingdom
2020-05-30,Daily hospital occupancy,7205.0,United Kingdom
2020-05-31,Daily hospital occupancy,7175.0,United Kingdom
2020-06-01,Daily hospital occupancy,7189.0,United Kingdom
2020-06-02,Daily hospital occupancy,7032.0,United Kingdom
2020-06-03,Daily hospital occupancy,6767.0,United Kingdom
2020-06-04,Daily hospital occupancy,6538.0,United Kingdom
2020-06-05,Daily hospital occupancy,6339.0,United Kingdom
2020-06-06,Daily hospital occupancy,6109.0,United Kingdom
2020-06-07,Daily hospital occupancy,5903.0,United Kingdom
2020-06-08,Daily hospital occupancy,5890.0,United Kingdom
2020-06-09,Daily hospital occupancy,5696.0,United Kingdom
2020-06-10,Daily hospital occupancy,5437.0,United Kingdom
2020-06-11,Daily hospital occupancy,5145.0,United Kingdom
2020-06-12,Daily hospital occupancy,5057.0,United Kingdom
2020-06-13,Daily hospital occupancy,4909.0,United Kingdom
2020-06-14,Daily hospital occupancy,4877.0,United Kingdom
2020-06-15,Daily hospital occupancy,4840.0,United Kingdom
2020-06-16,Daily hospital occupancy,4835.0,United Kingdom
2020-06-17,Daily hospital occupancy,4695.0,United Kingdom
2020-06-18,Daily hospital occupancy,4537.0,United Kingdom
2020-06-19,Daily hospital occupancy,4394.0,United Kingdom
2020-06-20,Daily hospital occupancy,4229.0,United Kingdom
2020-06-21,Daily hospital occupancy,4197.0,United Kingdom
2020-06-22,Daily hospital occupancy,4255.0,United Kingdom
2020-06-23,Daily hospital occupancy,4107.0,United Kingdom
2020-06-24,Daily hospital occupancy,4007.0,United Kingdom
2020-06-25,Daily hospital occupancy,3824.0,United Kingdom
2020-06-26,Daily hospital occupancy,3600.0,United Kingdom
2020-06-27,Daily hospital occupancy,3526.0,United Kingdom
2020-06-28,Daily hospital occupancy,3539.0,United Kingdom
2020-06-29,Daily hospital occupancy,3732.0,United Kingdom
2020-06-30,Daily hospital occupancy,3365.0,United Kingdom
2020-07-01,Daily hospital occupancy,3180.0,United Kingdom
2020-07-02,Daily hospital occupancy,3062.0,United Kingdom
2020-07-03,Daily hospital occupancy,2926.0,United Kingdom
2020-07-04,Daily hospital occupancy,2784.0,United Kingdom
2020-07-05,Daily hospital occupancy,2723.0,United Kingdom
2020-07-06,Daily hospital occupancy,2680.0,United Kingdom
2020-07-07,Daily hospital occupancy,2578.0,United Kingdom
