date,indicator,value,entity
2020-04-01,Daily hospital occupancy,483.0,Wales
2020-04-02,Daily hospital occupancy,525.0,Wales
2020-04-03,Daily hospital occupancy,568.0,Wales
2020-04-04,Daily hospital occupancy,596.0,Wales
2020-04-05,Daily hospital occupancy,664.0,Wales
2020-04-06,Daily hospital occupancy,731.0,Wales
2020-04-07,Daily hospital occupancy,738.0,Wales
2020-04-08,Daily hospital occupancy,816.0,Wales
2020-04-09,Daily hospital occupancy,795.0,Wales
2020-04-10,Daily hospital occupancy,833.0,Wales
2020-04-11,Daily hospital occupancy,865.0,Wales
2020-04-12,Daily hospital occupancy,910.0,Wales
2020-04-13,Daily hospital occupancy,897.0,Wales
2020-04-14,Daily hospital occupancy,919.0,Wales
2020-04-15,Daily hospital occupancy,884.0,Wales
2020-04-16,Daily hospital occupancy,844.0,Wales
2020-04-17,Daily hospital occupancy,825.0,Wales
2020-04-18,Daily hospital occupancy,818.0,Wales
2020-04-19,Daily hospital occupancy,828.0,Wales
2020-04-20,Daily hospital occupancy,853.0,Wales
2020-04-21,Daily hospital occupancy,838.0,Wales
2020-04-22,Daily hospital occupancy,773.0,Wales
2020-04-23,Daily hospital occupancy,741.0,Wales
2020-04-24,Daily hospital occupancy,743.0,Wales
2020-04-25,Daily hospital occupancy,719.0,Wales
2020-04-26,Daily hospital occupancy,710.0,Wales
2020-04-27,Daily hospital occupancy,734.0,Wales
2020-04-28,Daily hospital occupancy,676.0,Wales
2020-04-29,Daily hospital occupancy,664.0,Wales
2020-04-30,Daily hospital occupancy,643.0,Wales
2020-05-01,Daily hospital occupancy,529.0,Wales
2020-05-02,Daily hospital occupancy,521.0,Wales
2020-05-03,Daily hospital occupancy,539.0,Wales
2020-05-04,Daily hospital occupancy,538.0,Wales
2020-05-05,Daily hospital occupancy,501.0,Wales
2020-05-06,Daily hospital occupancy,478.0,Wales
2020-05-07,Daily hospital occupancy,470.0,Wales
2020-05-08,Daily hospital occupancy,416.0,Wales
2020-05-09,Daily hospital occupancy,448.0,Wales
2020-05-10,Daily hospital occupancy,461.0,Wales
2020-05-11,Daily hospital occupancy,465.0,Wales
2020-05-12,Daily hospital occupancy,425.0,Wales
2020-05-13,Daily hospital occupancy,394.0,Wales
2020-05-14,Daily hospital occupancy,364.0,Wales
2020-05-15,Daily hospital occupancy,336.0,Wales
2020-05-16,Daily hospital occupancy,378.0,Wales
2020-05-17,Daily hospital occupancy,373.0,Wales
2020-05-18,Daily hospital occupancy,356.0,Wales
2020-05-19,Daily hospital occupancy,329.0,Wales
2020-05-20,Daily hospital occupancy,324.0,Wales
2020-05-21,Daily hospital occupancy,309.0,Wales
2020-05-22,Daily hospital occupancy,385.0,Wales
2020-05-23,Daily hospital occupancy,383.0,Wales
2020-05-24,Daily hospital occupancy,393.0,Wales
2020-05-25,Daily hospital occupancy,380.0,Wales
2020-05-26,Daily hospital occupancy,436.0,Wales
2020-05-27,Daily hospital occupancy,425.0,Wales
2020-05-28,Daily hospital occupancy,438.0,Wales
2020-05-29,Daily hospital occupancy,431.0,Wales
2020-05-30,Daily hospital occupancy,423.0,Wales
2020-05-31,Daily hospital occupancy,433.0,Wales
2020-06-01,Daily hospital occupancy,431.0,Wales
2020-06-02,Daily hospital occupancy,427.0,Wales
2020-06-03,Daily hospital occupancy,399.0,Wales
2020-06-04,Daily hospital occupancy,395.0,Wales
2020-06-05,Daily hospital occupancy,392.0,Wales
2020-06-06,Daily hospital occupancy,404.0,Wales
2020-06-07,Daily hospital occupancy,383.0,Wales
2020-06-08,Daily hospital occupancy,352.0,Wales
2020-06-09,Daily hospital occupancy,341.0,Wales
2020-06-10,Daily hospital occupancy,319.0,Wales
2020-06-11,Daily hospital occupancy,315.0,Wales
2020-06-12,Daily hospital occupancy,294.0,Wales
2020-06-13,Daily hospital occupancy,291.0,Wales
2020-06-14,Daily hospital occupancy,293.0,Wales
2020-06-15,Daily hospital occupancy,306.0,Wales
2020-06-16,Daily hospital occupancy,303.0,Wales
2020-06-17,Daily hospital occupancy,288.0,Wales
2020-06-18,Daily hospital occupancy,285.0,Wales
2020-06-19,Daily hospital occupancy,276.0,Wales
2020-06-20,Daily hospital occupancy,271.0,Wales
2020-06-21,Daily hospital occupancy,280.0,Wales
2020-06-22,Daily hospital occupancy,297.0,Wales
2020-06-23,Daily hospital occupancy,281.0,Wales
2020-06-24,Daily hospital occupancy,270.0,Wales
2020-06-25,Daily hospital occupancy,265.0,Wales
2020-06-26,Daily hospital occupancy,254.0,Wales
2020-06-27,Daily hospital occupancy,232.0,Wales
2020-06-28,Daily hospital occupancy,246.0,Wales
2020-06-29,Daily hospital occupancy,235.0,Wales
