location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Belgium,2021-01-08,0,17,0.0,0.0,0.0
Belgium,2021-01-08,18,24,0.02,0.0,0.0
Belgium,2021-01-08,25,49,0.11,0.0,0.0
Belgium,2021-01-08,50,59,0.16,0.0,0.0
Belgium,2021-01-08,60,69,0.18,0.0,0.0
Belgium,2021-01-08,70,79,0.33,0.0,0.0
Belgium,2021-01-08,80,,2.46,0.0,0.0
Belgium,2021-01-15,0,17,0.0,0.0,0.0
Belgium,2021-01-15,18,24,0.14,0.0,0.0
Belgium,2021-01-15,25,49,0.51,0.0,0.0
Belgium,2021-01-15,50,59,0.72,0.0,0.0
Belgium,2021-01-15,60,69,0.77,0.0,0.0
Belgium,2021-01-15,70,79,1.35,0.0,0.0
Belgium,2021-01-15,80,,11.23,0.0,0.0
Belgium,2021-01-22,0,17,0.0,0.0,0.0
Belgium,2021-01-22,18,24,0.68,0.0,0.0
Belgium,2021-01-22,25,49,1.59,0.0,0.0
Belgium,2021-01-22,50,59,1.97,0.01,0.0
Belgium,2021-01-22,60,69,1.85,0.01,0.0
Belgium,2021-01-22,70,79,2.36,0.01,0.0
Belgium,2021-01-22,80,,16.24,0.07,0.0
Belgium,2021-01-29,0,17,0.0,0.0,0.0
Belgium,2021-01-29,18,24,1.08,0.02,0.0
Belgium,2021-01-29,25,49,2.33,0.1,0.0
Belgium,2021-01-29,50,59,2.8,0.15,0.0
Belgium,2021-01-29,60,69,2.52,0.17,0.0
Belgium,2021-01-29,70,79,2.81,0.31,0.0
Belgium,2021-01-29,80,,17.63,2.31,0.0
Belgium,2021-02-05,0,17,0.0,0.0,0.0
Belgium,2021-02-05,18,24,1.24,0.13,0.0
Belgium,2021-02-05,25,49,2.86,0.49,0.0
Belgium,2021-02-05,50,59,3.39,0.7,0.0
Belgium,2021-02-05,60,69,3.01,0.74,0.0
Belgium,2021-02-05,70,79,3.06,1.3,0.0
Belgium,2021-02-05,80,,18.33,10.67,0.0
Belgium,2021-02-12,0,17,0.0,0.0,0.0
Belgium,2021-02-12,18,24,1.34,0.65,0.0
Belgium,2021-02-12,25,49,3.26,1.46,0.0
Belgium,2021-02-12,50,59,3.88,1.85,0.0
Belgium,2021-02-12,60,69,3.41,1.76,0.0
Belgium,2021-02-12,70,79,3.22,2.29,0.0
Belgium,2021-02-12,80,,18.68,15.54,0.0
Belgium,2021-02-19,0,17,0.0,0.0,0.0
Belgium,2021-02-19,18,24,1.58,1.04,0.0
Belgium,2021-02-19,25,49,3.95,2.22,0.0
Belgium,2021-02-19,50,59,4.65,2.7,0.0
Belgium,2021-02-19,60,69,3.86,2.44,0.0
Belgium,2021-02-19,70,79,3.4,2.73,0.0
Belgium,2021-02-19,80,,18.85,16.93,0.0
Belgium,2021-02-26,0,17,0.0,0.0,0.0
Belgium,2021-02-26,18,24,1.97,1.2,0.0
Belgium,2021-02-26,25,49,5.28,2.64,0.0
Belgium,2021-02-26,50,59,6.16,3.17,0.0
Belgium,2021-02-26,60,69,4.52,2.83,0.0
Belgium,2021-02-26,70,79,3.6,2.96,0.0
Belgium,2021-02-26,80,,19.02,17.68,0.0
Belgium,2021-03-05,0,17,0.0,0.0,0.0
Belgium,2021-03-05,18,24,2.68,1.3,0.0
Belgium,2021-03-05,25,49,7.15,3.06,0.0
Belgium,2021-03-05,50,59,8.23,3.65,0.0
Belgium,2021-03-05,60,69,5.72,3.22,0.0
Belgium,2021-03-05,70,79,4.33,3.11,0.0
Belgium,2021-03-05,80,,20.3,18.02,0.0
Belgium,2021-03-12,0,17,0.0,0.0,0.0
Belgium,2021-03-12,18,24,3.37,1.51,0.0
Belgium,2021-03-12,25,49,8.73,3.67,0.0
Belgium,2021-03-12,50,59,9.83,4.34,0.0
Belgium,2021-03-12,60,69,7.54,3.77,0.0
Belgium,2021-03-12,70,79,6.09,3.31,0.0
Belgium,2021-03-12,80,,22.8,18.23,0.0
Belgium,2021-03-19,0,17,0.01,0.0,0.0
Belgium,2021-03-19,18,24,3.94,1.8,0.0
Belgium,2021-03-19,25,49,9.76,4.41,0.0
Belgium,2021-03-19,50,59,11.1,5.2,0.0
Belgium,2021-03-19,60,69,9.84,4.43,0.0
Belgium,2021-03-19,70,79,10.96,3.51,0.0
Belgium,2021-03-19,80,,37.62,18.41,0.0
Belgium,2021-03-26,0,17,0.01,0.0,0.0
Belgium,2021-03-26,18,24,4.31,2.13,0.0
Belgium,2021-03-26,25,49,10.41,5.1,0.0
Belgium,2021-03-26,50,59,11.96,6.06,0.0
Belgium,2021-03-26,60,69,11.37,5.3,0.0
Belgium,2021-03-26,70,79,17.61,4.04,0.0
Belgium,2021-03-26,80,,57.25,19.55,0.0
Belgium,2021-04-02,0,17,0.01,0.0,0.0
Belgium,2021-04-02,18,24,4.57,2.44,0.0
Belgium,2021-04-02,25,49,10.92,5.63,0.0
Belgium,2021-04-02,50,59,12.64,6.77,0.0
Belgium,2021-04-02,60,69,12.84,6.56,0.0
Belgium,2021-04-02,70,79,24.38,4.99,0.0
Belgium,2021-04-02,80,,82.53,20.75,0.0
Belgium,2021-04-09,0,17,0.01,0.0,0.0
Belgium,2021-04-09,18,24,4.81,2.61,0.0
Belgium,2021-04-09,25,49,11.37,5.97,0.0
Belgium,2021-04-09,50,59,13.32,7.18,0.0
Belgium,2021-04-09,60,69,16.49,7.2,0.0
Belgium,2021-04-09,70,79,45.9,6.23,0.0
Belgium,2021-04-09,80,,98.6,23.55,0.0
Belgium,2021-04-16,0,17,0.01,0.01,0.0
Belgium,2021-04-16,18,24,5.18,2.74,0.0
Belgium,2021-04-16,25,49,11.75,6.21,0.0
Belgium,2021-04-16,50,59,14.6,7.49,0.0
Belgium,2021-04-16,60,69,22.7,7.77,0.0
Belgium,2021-04-16,70,79,73.1,8.01,0.0
Belgium,2021-04-16,80,,101.82,31.79,0.0
Belgium,2021-04-23,0,17,0.01,0.01,0.0
Belgium,2021-04-23,18,24,5.64,2.84,0.0
Belgium,2021-04-23,25,49,12.29,6.38,0.0
Belgium,2021-04-23,50,59,17.48,7.67,0.0
Belgium,2021-04-23,60,69,32.37,8.07,0.0
Belgium,2021-04-23,70,79,92.74,8.92,0.0
Belgium,2021-04-23,80,,103.4,32.64,0.0
Belgium,2021-04-30,0,17,0.01,0.01,0.0
Belgium,2021-04-30,18,24,6.15,3.0,0.0
Belgium,2021-04-30,25,49,13.04,6.66,0.0
Belgium,2021-04-30,50,59,21.5,8.08,0.0
Belgium,2021-04-30,60,69,48.54,8.92,0.0
Belgium,2021-04-30,70,79,97.17,12.5,0.0
Belgium,2021-04-30,80,,104.7,36.54,0.0
Belgium,2021-05-07,0,17,0.01,0.01,0.0
Belgium,2021-05-07,18,24,6.65,3.23,0.0
Belgium,2021-05-07,25,49,14.89,7.13,0.0
Belgium,2021-05-07,50,59,28.59,8.92,0.0
Belgium,2021-05-07,60,69,69.3,10.74,0.0
Belgium,2021-05-07,70,79,99.1,19.13,0.0
Belgium,2021-05-07,80,,106.2,57.95,0.0
Belgium,2021-05-14,0,17,0.02,0.01,0.0
Belgium,2021-05-14,18,24,7.19,3.49,0.0
Belgium,2021-05-14,25,49,17.38,7.66,0.0
Belgium,2021-05-14,50,59,36.0,9.86,0.0
Belgium,2021-05-14,60,69,75.83,12.88,0.0
Belgium,2021-05-14,70,79,100.2,33.95,0.0
Belgium,2021-05-14,80,,107.01,71.23,0.0
Belgium,2021-05-21,0,17,0.02,0.01,0.0
Belgium,2021-05-21,18,24,7.67,4.23,0.0
Belgium,2021-05-21,25,49,20.51,9.13,0.0
Belgium,2021-05-21,50,59,52.53,12.41,0.0
Belgium,2021-05-21,60,69,80.48,18.33,0.0
Belgium,2021-05-21,70,79,100.94,47.44,0.0
Belgium,2021-05-21,80,,107.81,73.97,0.0
Belgium,2021-05-28,0,17,0.03,0.01,0.0
Belgium,2021-05-28,18,24,8.34,5.07,0.0
Belgium,2021-05-28,25,49,24.11,11.06,0.0
Belgium,2021-05-28,50,59,57.07,17.0,0.0
Belgium,2021-05-28,60,69,82.86,25.52,0.0
Belgium,2021-05-28,70,79,101.33,63.48,0.0
Belgium,2021-05-28,80,,108.24,75.88,0.0
Belgium,2021-06-04,0,17,0.03,0.02,0.0
Belgium,2021-06-04,18,24,9.84,5.86,0.0
Belgium,2021-06-04,25,49,29.91,13.23,0.0
Belgium,2021-06-04,50,59,66.51,22.05,0.0
Belgium,2021-06-04,60,69,91.19,39.9,0.0
Belgium,2021-06-04,70,79,101.82,68.13,0.0
Belgium,2021-06-04,80,,108.77,78.71,0.0
Belgium,2021-06-11,0,17,0.04,0.02,0.0
Belgium,2021-06-11,18,24,11.98,6.66,0.0
Belgium,2021-06-11,25,49,36.92,15.8,0.0
Belgium,2021-06-11,50,59,80.57,29.8,0.0
Belgium,2021-06-11,60,69,93.48,56.82,0.0
Belgium,2021-06-11,70,79,102.21,72.63,0.0
Belgium,2021-06-11,80,,109.17,90.85,0.0
Belgium,2021-06-18,0,17,0.06,0.02,0.0
Belgium,2021-06-18,18,24,17.28,7.48,0.0
Belgium,2021-06-18,25,49,52.11,19.38,0.0
Belgium,2021-06-18,50,59,84.7,35.9,0.0
Belgium,2021-06-18,60,69,94.17,62.73,0.0
Belgium,2021-06-18,70,79,102.53,75.98,0.0
Belgium,2021-06-18,80,,109.49,99.04,0.0
Belgium,2021-06-25,0,17,0.29,0.03,0.0
Belgium,2021-06-25,18,24,30.6,10.17,0.0
Belgium,2021-06-25,25,49,64.37,22.54,0.0
Belgium,2021-06-25,50,59,85.67,42.11,0.0
Belgium,2021-06-25,60,69,94.6,65.46,0.0
Belgium,2021-06-25,70,79,102.77,78.5,0.0
Belgium,2021-06-25,80,,109.74,103.48,0.0
Belgium,2021-07-02,0,17,0.62,0.03,0.0
Belgium,2021-07-02,18,24,42.84,12.19,0.0
Belgium,2021-07-02,25,49,72.12,25.91,0.0
Belgium,2021-07-02,50,59,86.25,46.28,0.0
Belgium,2021-07-02,60,69,94.9,69.3,0.0
Belgium,2021-07-02,70,79,102.96,83.34,0.0
Belgium,2021-07-02,80,,109.91,105.67,0.0
Belgium,2021-07-09,0,17,1.0,0.04,0.0
Belgium,2021-07-09,18,24,52.94,14.51,0.0
Belgium,2021-07-09,25,49,73.95,32.31,0.0
Belgium,2021-07-09,50,59,86.67,55.91,0.0
Belgium,2021-07-09,60,69,95.17,80.31,0.0
Belgium,2021-07-09,70,79,103.21,97.25,0.0
Belgium,2021-07-09,80,,110.12,106.98,0.0
Belgium,2021-07-16,0,17,2.37,0.08,0.0
Belgium,2021-07-16,18,24,61.6,17.86,0.0
Belgium,2021-07-16,25,49,75.13,39.42,0.0
Belgium,2021-07-16,50,59,87.17,71.03,0.0
Belgium,2021-07-16,60,69,95.53,85.91,0.0
Belgium,2021-07-16,70,79,103.54,100.54,0.0
Belgium,2021-07-16,80,,110.41,107.61,0.0
Belgium,2021-07-23,0,17,4.43,0.17,0.0
Belgium,2021-07-23,18,24,66.3,24.3,0.0
Belgium,2021-07-23,25,49,75.87,52.32,0.0
Belgium,2021-07-23,50,59,87.56,76.39,0.0
Belgium,2021-07-23,60,69,95.81,89.58,0.0
Belgium,2021-07-23,70,79,103.75,101.64,0.0
Belgium,2021-07-23,80,,110.62,108.11,0.0
Belgium,2021-07-30,0,17,8.2,0.5,0.0
Belgium,2021-07-30,18,24,68.29,35.77,0.0
Belgium,2021-07-30,25,49,76.53,63.67,0.0
Belgium,2021-07-30,50,59,87.93,79.54,0.0
Belgium,2021-07-30,60,69,96.06,93.03,0.0
Belgium,2021-07-30,70,79,103.93,102.35,0.0
Belgium,2021-07-30,80,,110.77,108.55,0.0
Belgium,2021-08-06,0,17,12.41,1.42,0.0
Belgium,2021-08-06,18,24,69.91,46.58,0.0
