location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Hungary,2021-01-01,18,24,0.0,0.0,0.0
Hungary,2021-01-01,25,49,0.02,0.0,0.0
Hungary,2021-01-01,50,59,0.02,0.0,0.0
Hungary,2021-01-01,60,69,0.01,0.0,0.0
Hungary,2021-01-01,70,79,0.0,0.0,0.0
Hungary,2021-01-01,80,,0.0,0.0,0.0
Hungary,2021-01-08,18,24,0.34,0.0,0.0
Hungary,2021-01-08,25,49,0.93,0.0,0.0
Hungary,2021-01-08,50,59,1.49,0.0,0.0
Hungary,2021-01-08,60,69,0.86,0.0,0.0
Hungary,2021-01-08,70,79,0.53,0.0,0.0
Hungary,2021-01-08,80,,0.63,0.0,0.0
Hungary,2021-01-15,18,24,0.81,0.0,0.0
Hungary,2021-01-15,25,49,1.57,0.01,0.0
Hungary,2021-01-15,50,59,2.47,0.01,0.0
Hungary,2021-01-15,60,69,1.48,0.01,0.0
Hungary,2021-01-15,70,79,0.94,0.0,0.0
Hungary,2021-01-15,80,,1.11,0.0,0.0
Hungary,2021-01-22,18,24,1.15,0.04,0.0
Hungary,2021-01-22,25,49,1.86,0.18,0.0
Hungary,2021-01-22,50,59,2.84,0.23,0.0
Hungary,2021-01-22,60,69,1.72,0.12,0.0
Hungary,2021-01-22,70,79,1.08,0.06,0.0
Hungary,2021-01-22,80,,1.17,0.02,0.0
Hungary,2021-01-29,18,24,1.64,0.31,0.0
Hungary,2021-01-29,25,49,2.65,0.89,0.0
Hungary,2021-01-29,50,59,4.21,1.44,0.0
Hungary,2021-01-29,60,69,2.79,0.84,0.0
Hungary,2021-01-29,70,79,2.28,0.52,0.0
Hungary,2021-01-29,80,,5.07,0.61,0.0
Hungary,2021-02-05,18,24,1.81,0.74,0.0
Hungary,2021-02-05,25,49,2.79,1.51,0.0
Hungary,2021-02-05,50,59,4.41,2.39,0.0
Hungary,2021-02-05,60,69,2.9,1.43,0.0
Hungary,2021-02-05,70,79,2.38,0.86,0.0
Hungary,2021-02-05,80,,12.91,0.79,0.0
Hungary,2021-02-12,18,24,1.87,1.08,0.0
Hungary,2021-02-12,25,49,2.98,1.82,0.0
Hungary,2021-02-12,50,59,5.7,2.8,0.0
Hungary,2021-02-12,60,69,3.04,1.7,0.0
Hungary,2021-02-12,70,79,3.24,1.06,0.0
Hungary,2021-02-12,80,,18.82,1.1,0.0
Hungary,2021-02-19,18,24,2.16,1.54,0.0
Hungary,2021-02-19,25,49,3.34,2.56,0.0
Hungary,2021-02-19,50,59,7.39,4.11,0.0
Hungary,2021-02-19,60,69,4.19,2.72,0.0
Hungary,2021-02-19,70,79,5.49,2.2,0.0
Hungary,2021-02-19,80,,24.69,4.79,0.0
Hungary,2021-02-26,18,24,2.28,1.7,0.0
Hungary,2021-02-26,25,49,3.93,2.7,0.0
Hungary,2021-02-26,50,59,9.83,4.28,0.0
Hungary,2021-02-26,60,69,9.73,2.83,0.0
Hungary,2021-02-26,70,79,16.41,2.29,0.0
Hungary,2021-02-26,80,,34.17,10.11,0.0
Hungary,2021-03-05,18,24,2.42,1.72,0.0
Hungary,2021-03-05,25,49,4.27,2.75,0.0
Hungary,2021-03-05,50,59,11.4,4.35,0.0
Hungary,2021-03-05,60,69,17.82,2.97,0.0
Hungary,2021-03-05,70,79,33.02,3.12,0.0
Hungary,2021-03-05,80,,43.66,18.12,0.0
Hungary,2021-03-12,18,24,3.0,1.96,0.0
Hungary,2021-03-12,25,49,5.87,3.02,0.0
Hungary,2021-03-12,50,59,15.45,5.75,0.0
Hungary,2021-03-12,60,69,25.49,4.04,0.0
Hungary,2021-03-12,70,79,44.75,5.27,0.0
Hungary,2021-03-12,80,,50.63,23.74,0.0
Hungary,2021-03-19,18,24,3.53,2.02,0.0
Hungary,2021-03-19,25,49,6.76,3.28,0.0
Hungary,2021-03-19,50,59,16.8,7.21,0.0
Hungary,2021-03-19,60,69,32.67,4.65,0.0
Hungary,2021-03-19,70,79,54.37,7.57,0.0
Hungary,2021-03-19,80,,55.8,28.95,0.0
Hungary,2021-03-26,18,24,4.01,2.12,0.0
Hungary,2021-03-26,25,49,7.87,3.76,0.0
Hungary,2021-03-26,50,59,19.05,9.39,0.0
Hungary,2021-03-26,60,69,44.81,9.64,0.0
Hungary,2021-03-26,70,79,64.52,16.3,0.0
Hungary,2021-03-26,80,,59.69,33.39,0.0
Hungary,2021-04-02,18,24,5.12,2.17,0.0
Hungary,2021-04-02,25,49,11.79,4.02,0.0
Hungary,2021-04-02,50,59,28.15,10.02,0.0
Hungary,2021-04-02,60,69,54.44,16.05,0.0
Hungary,2021-04-02,70,79,70.44,27.68,0.0
Hungary,2021-04-02,80,,62.83,38.27,0.0
Hungary,2021-04-09,18,24,8.22,2.56,0.0
Hungary,2021-04-09,25,49,19.89,4.67,0.0
Hungary,2021-04-09,50,59,39.59,11.12,0.0
Hungary,2021-04-09,60,69,59.72,24.75,0.0
Hungary,2021-04-09,70,79,72.71,40.76,0.0
Hungary,2021-04-09,80,,64.28,45.6,0.0
Hungary,2021-04-16,18,24,11.07,2.89,0.0
Hungary,2021-04-16,25,49,25.48,5.68,0.0
Hungary,2021-04-16,50,59,44.83,12.45,0.0
Hungary,2021-04-16,60,69,63.75,30.06,0.0
Hungary,2021-04-16,70,79,75.22,44.98,0.0
Hungary,2021-04-16,80,,66.3,48.12,0.0
Hungary,2021-04-23,18,24,13.57,3.44,0.0
Hungary,2021-04-23,25,49,30.43,7.28,0.0
Hungary,2021-04-23,50,59,49.95,17.22,0.0
Hungary,2021-04-23,60,69,67.63,35.57,0.0
Hungary,2021-04-23,70,79,77.7,51.99,0.0
Hungary,2021-04-23,80,,68.35,52.42,0.0
