location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Latvia,2021-01-08,18,24,0.31,0.0,0.0
Latvia,2021-01-08,25,49,0.55,0.0,0.0
Latvia,2021-01-08,50,59,0.67,0.0,0.0
Latvia,2021-01-08,60,69,0.49,0.0,0.0
Latvia,2021-01-08,70,79,0.12,0.0,0.0
Latvia,2021-01-08,80,,0.02,0.0,0.0
Latvia,2021-01-15,18,24,0.69,0.0,0.0
Latvia,2021-01-15,25,49,1.18,0.0,0.0
Latvia,2021-01-15,50,59,1.57,0.0,0.0
Latvia,2021-01-15,60,69,1.22,0.0,0.0
Latvia,2021-01-15,70,79,0.36,0.0,0.0
Latvia,2021-01-15,80,,0.07,0.0,0.0
Latvia,2021-01-22,18,24,0.74,0.1,0.0
Latvia,2021-01-22,25,49,1.25,0.2,0.0
Latvia,2021-01-22,50,59,1.66,0.19,0.0
Latvia,2021-01-22,60,69,1.28,0.11,0.0
Latvia,2021-01-22,70,79,0.38,0.03,0.0
Latvia,2021-01-22,80,,0.08,0.0,0.0
Latvia,2021-01-29,15,17,0.0,0.0,0.0
Latvia,2021-01-29,18,24,0.75,0.29,0.0
Latvia,2021-01-29,25,49,1.27,0.53,0.0
Latvia,2021-01-29,50,59,1.68,0.65,0.0
Latvia,2021-01-29,60,69,1.3,0.46,0.0
Latvia,2021-01-29,70,79,0.38,0.11,0.0
Latvia,2021-01-29,80,,0.08,0.01,0.0
Latvia,2021-02-05,18,24,0.77,0.61,0.0
Latvia,2021-02-05,25,49,1.31,1.06,0.0
Latvia,2021-02-05,50,59,1.76,1.44,0.0
Latvia,2021-02-05,60,69,1.37,1.12,0.0
Latvia,2021-02-05,70,79,0.41,0.31,0.0
Latvia,2021-02-05,80,,0.09,0.06,0.0
Latvia,2021-02-12,10,14,0.0,0.0,0.0
Latvia,2021-02-12,18,24,0.97,0.7,0.0
Latvia,2021-02-12,25,49,1.51,1.21,0.0
Latvia,2021-02-12,50,59,2.04,1.59,0.0
Latvia,2021-02-12,60,69,1.64,1.24,0.0
Latvia,2021-02-12,70,79,0.55,0.36,0.0
Latvia,2021-02-12,80,,0.26,0.08,0.0
Latvia,2021-02-19,18,24,1.16,0.73,0.0
Latvia,2021-02-19,25,49,1.85,1.25,0.0
Latvia,2021-02-19,50,59,2.63,1.64,0.0
Latvia,2021-02-19,60,69,2.25,1.28,0.0
Latvia,2021-02-19,70,79,1.46,0.38,0.0
Latvia,2021-02-19,80,,1.4,0.08,0.0
Latvia,2021-02-26,15,17,0.0,0.0,0.0
Latvia,2021-02-26,18,24,1.49,0.74,0.0
Latvia,2021-02-26,25,49,2.13,1.27,0.0
Latvia,2021-02-26,50,59,3.06,1.67,0.0
Latvia,2021-02-26,60,69,2.84,1.3,0.0
Latvia,2021-02-26,70,79,6.13,0.39,0.0
Latvia,2021-02-26,80,,5.0,0.08,0.0
Latvia,2021-03-05,15,17,0.01,0.0,0.0
Latvia,2021-03-05,18,24,1.63,0.77,0.0
Latvia,2021-03-05,25,49,2.3,1.33,0.0
Latvia,2021-03-05,50,59,3.4,1.77,0.0
Latvia,2021-03-05,60,69,3.43,1.39,0.0
Latvia,2021-03-05,70,79,11.88,0.41,0.0
Latvia,2021-03-05,80,,9.88,0.09,0.0
Latvia,2021-03-12,15,17,0.01,0.0,0.0
Latvia,2021-03-12,18,24,1.73,0.78,0.0
Latvia,2021-03-12,25,49,2.43,1.33,0.0
Latvia,2021-03-12,50,59,3.65,1.78,0.0
Latvia,2021-03-12,60,69,4.05,1.4,0.0
Latvia,2021-03-12,70,79,16.42,0.42,0.0
Latvia,2021-03-12,80,,13.65,0.09,0.0
Latvia,2021-03-19,18,24,1.76,0.81,0.0
Latvia,2021-03-19,25,49,2.46,1.39,0.0
Latvia,2021-03-19,50,59,3.71,1.84,0.0
Latvia,2021-03-19,60,69,4.25,1.45,0.0
Latvia,2021-03-19,70,79,17.92,0.53,0.0
Latvia,2021-03-19,80,,14.77,0.16,0.0
Latvia,2021-03-26,15,17,0.01,0.0,0.0
Latvia,2021-03-26,18,24,1.88,0.89,0.0
Latvia,2021-03-26,25,49,2.72,1.46,0.0
Latvia,2021-03-26,50,59,4.44,1.96,0.0
Latvia,2021-03-26,60,69,6.14,1.55,0.0
Latvia,2021-03-26,70,79,23.01,1.26,0.0
Latvia,2021-03-26,80,,18.62,0.72,0.0
Latvia,2021-04-02,15,17,0.01,0.0,0.0
Latvia,2021-04-02,18,24,2.12,0.96,0.0
Latvia,2021-04-02,25,49,3.22,1.53,0.0
Latvia,2021-04-02,50,59,5.64,2.06,0.0
Latvia,2021-04-02,60,69,8.55,1.69,0.0
Latvia,2021-04-02,70,79,25.86,2.06,0.0
Latvia,2021-04-02,80,,20.66,1.32,0.0
Latvia,2021-04-09,15,17,0.02,0.0,0.0
Latvia,2021-04-09,18,24,2.65,0.98,0.0
Latvia,2021-04-09,25,49,4.05,1.56,0.0
Latvia,2021-04-09,50,59,7.27,2.11,0.0
Latvia,2021-04-09,60,69,13.66,1.76,0.0
Latvia,2021-04-09,70,79,28.63,2.45,0.0
Latvia,2021-04-09,80,,22.87,1.63,0.0
Latvia,2021-04-16,15,17,0.03,0.0,0.0
Latvia,2021-04-16,18,24,4.16,1.04,0.0
Latvia,2021-04-16,25,49,5.95,1.65,0.0
Latvia,2021-04-16,50,59,9.66,2.24,0.0
Latvia,2021-04-16,60,69,17.23,1.89,0.0
Latvia,2021-04-16,70,79,30.25,2.63,0.0
Latvia,2021-04-16,80,,24.13,1.81,0.0
Latvia,2021-04-23,15,17,0.05,0.01,0.0
Latvia,2021-04-23,18,24,5.01,1.2,0.0
Latvia,2021-04-23,25,49,8.07,1.94,0.0
Latvia,2021-04-23,50,59,12.71,2.82,0.0
Latvia,2021-04-23,60,69,21.73,2.87,0.0
Latvia,2021-04-23,70,79,32.47,4.5,0.0
Latvia,2021-04-23,80,,25.69,3.26,0.0
Latvia,2021-04-30,15,17,0.1,0.01,0.0
Latvia,2021-04-30,18,24,6.46,1.53,0.0
Latvia,2021-04-30,25,49,11.01,2.29,0.0
Latvia,2021-04-30,50,59,16.25,3.45,0.0
Latvia,2021-04-30,60,69,25.9,3.86,0.0
Latvia,2021-04-30,70,79,34.87,8.0,0.0
Latvia,2021-04-30,80,,27.42,6.13,0.0
Latvia,2021-05-07,15,17,0.24,0.01,0.0
Latvia,2021-05-07,18,24,10.86,1.95,0.0
Latvia,2021-05-07,25,49,15.95,3.16,0.0
Latvia,2021-05-07,50,59,19.93,5.0,0.0
Latvia,2021-05-07,60,69,28.71,6.41,0.0
Latvia,2021-05-07,70,79,36.54,12.26,0.0
Latvia,2021-05-07,80,,28.69,9.82,0.0
Latvia,2021-05-14,10,14,0.0,0.0,0.0
Latvia,2021-05-14,15,17,0.53,0.03,0.0
Latvia,2021-05-14,18,24,16.33,2.79,0.0
Latvia,2021-05-14,25,49,22.11,4.93,0.0
Latvia,2021-05-14,50,59,25.04,7.5,0.0
Latvia,2021-05-14,60,69,31.89,9.97,0.0
Latvia,2021-05-14,70,79,38.73,17.57,0.0
Latvia,2021-05-14,80,,30.47,14.29,0.0
Latvia,2021-05-21,10,14,0.0,0.0,0.0
Latvia,2021-05-21,15,17,3.48,0.08,0.0
Latvia,2021-05-21,18,24,20.21,4.52,0.0
Latvia,2021-05-21,25,49,26.13,8.28,0.0
Latvia,2021-05-21,50,59,28.52,11.71,0.0
Latvia,2021-05-21,60,69,34.49,15.37,0.0
Latvia,2021-05-21,70,79,40.47,23.33,0.0
Latvia,2021-05-21,80,,31.82,18.9,0.0
Latvia,2021-05-28,10,14,0.0,0.0,0.0
Latvia,2021-05-28,15,17,6.6,0.24,0.0
Latvia,2021-05-28,18,24,24.66,9.28,0.0
Latvia,2021-05-28,25,49,29.49,13.78,0.0
Latvia,2021-05-28,50,59,31.43,16.53,0.0
Latvia,2021-05-28,60,69,36.65,20.32,0.0
Latvia,2021-05-28,70,79,42.02,29.06,0.0
Latvia,2021-05-28,80,,32.96,23.39,0.0
Latvia,2021-06-04,10,14,0.56,0.0,0.0
Latvia,2021-06-04,15,17,9.46,0.54,0.0
Latvia,2021-06-04,18,24,28.52,15.54,0.0
Latvia,2021-06-04,25,49,31.82,20.58,0.0
Latvia,2021-06-04,50,59,33.47,22.41,0.0
Latvia,2021-06-04,60,69,38.32,24.89,0.0
Latvia,2021-06-04,70,79,43.3,33.69,0.0
Latvia,2021-06-04,80,,33.99,26.97,0.0
Latvia,2021-06-11,10,14,2.58,0.01,0.0
Latvia,2021-06-11,15,17,13.64,3.18,0.0
Latvia,2021-06-11,18,24,32.06,19.84,0.0
Latvia,2021-06-11,25,49,34.06,25.1,0.0
Latvia,2021-06-11,50,59,35.48,26.87,0.0
Latvia,2021-06-11,60,69,39.97,29.8,0.0
Latvia,2021-06-11,70,79,44.56,37.62,0.0
Latvia,2021-06-11,80,,34.95,30.04,0.0
Latvia,2021-06-18,10,14,3.97,0.02,0.0
Latvia,2021-06-18,15,17,16.95,6.12,0.0
Latvia,2021-06-18,18,24,34.71,24.62,0.0
Latvia,2021-06-18,25,49,35.95,29.14,0.0
Latvia,2021-06-18,50,59,37.29,30.86,0.0
Latvia,2021-06-18,60,69,41.44,34.01,0.0
Latvia,2021-06-18,70,79,45.7,40.78,0.0
Latvia,2021-06-18,80,,35.79,32.48,0.0
Latvia,2021-06-25,10,14,4.32,0.31,0.0
Latvia,2021-06-25,15,17,17.85,7.89,0.0
Latvia,2021-06-25,18,24,35.58,26.9,0.0
Latvia,2021-06-25,25,49,36.59,30.81,0.0
Latvia,2021-06-25,50,59,37.86,32.51,0.0
Latvia,2021-06-25,60,69,41.93,35.87,0.0
Latvia,2021-06-25,70,79,46.06,41.95,0.0
Latvia,2021-06-25,80,,36.0,33.34,0.0
Latvia,2021-07-02,10,14,5.48,2.31,0.0
Latvia,2021-07-02,15,17,20.51,12.88,0.0
Latvia,2021-07-02,18,24,37.96,32.49,0.0
Latvia,2021-07-02,25,49,38.32,34.78,0.0
Latvia,2021-07-02,50,59,39.67,36.28,0.0
Latvia,2021-07-02,60,69,43.5,40.12,0.0
Latvia,2021-07-02,70,79,47.17,44.43,0.0
Latvia,2021-07-02,80,,36.81,35.22,0.0
Latvia,2021-07-09,10,14,6.51,3.76,0.0
Latvia,2021-07-09,15,17,22.93,16.37,0.0
Latvia,2021-07-09,18,24,40.34,36.3,0.0
Latvia,2021-07-09,25,49,40.17,37.58,0.0
Latvia,2021-07-09,50,59,41.57,38.89,0.0
Latvia,2021-07-09,60,69,45.13,42.3,0.0
Latvia,2021-07-09,70,79,48.29,45.98,0.0
Latvia,2021-07-09,80,,37.55,36.41,0.0
Latvia,2021-07-16,10,14,7.47,4.2,0.0
Latvia,2021-07-16,15,17,25.04,17.42,0.0
Latvia,2021-07-16,18,24,42.56,38.07,0.0
Latvia,2021-07-16,25,49,41.84,39.01,0.0
Latvia,2021-07-16,50,59,43.31,40.32,0.0
Latvia,2021-07-16,60,69,46.53,43.49,0.0
Latvia,2021-07-16,70,79,49.12,46.75,0.0
Latvia,2021-07-16,80,,38.12,37.06,0.0
Latvia,2021-07-23,10,14,8.42,5.22,0.0
Latvia,2021-07-23,15,17,26.95,19.92,0.0
Latvia,2021-07-23,18,24,44.48,40.11,0.0
Latvia,2021-07-23,25,49,43.31,40.43,0.0
Latvia,2021-07-23,50,59,44.85,41.75,0.0
Latvia,2021-07-23,60,69,47.77,44.77,0.0
Latvia,2021-07-23,70,79,49.98,47.63,0.0
Latvia,2021-07-23,80,,38.67,37.71,0.0
Latvia,2021-07-30,10,14,9.41,6.28,0.0
Latvia,2021-07-30,15,17,28.88,22.34,0.0
Latvia,2021-07-30,18,24,46.24,41.81,0.0
Latvia,2021-07-30,25,49,44.65,41.67,0.0
Latvia,2021-07-30,5,9,0.0,0.0,0.0
Latvia,2021-07-30,50,59,46.16,42.94,0.0
Latvia,2021-07-30,60,69,48.88,45.92,0.0
Latvia,2021-07-30,70,79,50.7,48.43,0.0
Latvia,2021-07-30,80,,39.19,38.23,0.0
Latvia,2021-08-06,10,14,10.34,7.22,0.0
Latvia,2021-08-06,15,17,30.77,24.4,0.0
Latvia,2021-08-06,18,24,47.98,43.49,0.0
Latvia,2021-08-06,25,49,46.01,42.82,0.0
Latvia,2021-08-06,50,59,47.66,44.15,0.0
Latvia,2021-08-06,60,69,50.08,46.98,0.0
Latvia,2021-08-06,70,79,51.47,49.08,0.0
Latvia,2021-08-06,80,,39.79,38.67,0.0
Latvia,2021-08-13,10,14,11.7,8.13,0.0
Latvia,2021-08-13,15,17,33.47,26.32,0.0
Latvia,2021-08-13,18,24,49.59,44.89,0.0
Latvia,2021-08-13,25,49,47.28,43.83,0.0
Latvia,2021-08-13,50,59,48.99,45.24,0.0
Latvia,2021-08-13,60,69,51.19,47.89,0.0
Latvia,2021-08-13,70,79,52.25,49.76,0.0
Latvia,2021-08-13,80,,40.39,39.17,0.0
Latvia,2021-08-20,10,14,13.36,9.06,0.0
Latvia,2021-08-20,15,17,36.59,28.27,0.0
Latvia,2021-08-20,18,24,51.51,46.44,0.0
Latvia,2021-08-20,25,49,48.46,44.89,0.0
Latvia,2021-08-20,50,59,50.25,46.41,0.0
Latvia,2021-08-20,60,69,52.21,48.89,0.0
Latvia,2021-08-20,70,79,52.92,50.42,0.0
Latvia,2021-08-20,80,,40.9,39.72,0.0
Latvia,2021-08-27,10,14,14.89,9.99,0.0
Latvia,2021-08-27,15,17,39.17,30.05,0.0
Latvia,2021-08-27,18,24,53.59,47.86,0.0
Latvia,2021-08-27,25,49,49.68,45.93,0.0
Latvia,2021-08-27,50,59,51.48,47.59,0.0
Latvia,2021-08-27,60,69,53.18,49.89,0.0
Latvia,2021-08-27,70,79,53.55,51.06,0.0
Latvia,2021-08-27,80,,41.38,40.21,0.0
Latvia,2021-09-03,10,14,15.84,11.24,0.0
Latvia,2021-09-03,15,17,40.91,32.64,0.0
Latvia,2021-09-03,18,24,55.65,49.34,0.0
Latvia,2021-09-03,25,49,50.78,46.99,0.0
Latvia,2021-09-03,50,59,52.51,48.69,0.0
Latvia,2021-09-03,60,69,54.0,50.85,0.0
Latvia,2021-09-03,70,79,54.12,51.75,0.0
Latvia,2021-09-03,80,,41.84,40.67,0.0
Latvia,2021-09-10,10,14,16.6,12.7,0.0
Latvia,2021-09-10,15,17,42.27,35.42,0.0
Latvia,2021-09-10,18,24,57.24,50.96,0.0
Latvia,2021-09-10,25,49,51.86,47.95,0.0
Latvia,2021-09-10,50,59,53.5,49.66,0.0
Latvia,2021-09-10,60,69,54.89,51.64,0.0
