location,date,age_group_min,age_group_max,people_vaccinated_per_hundred
Liechtenstein,2020-12-27,0,9,0.0
Liechtenstein,2020-12-27,10,19,0.0
Liechtenstein,2020-12-27,20,29,0.0
Liechtenstein,2020-12-27,30,39,0.0
Liechtenstein,2020-12-27,40,49,0.0
Liechtenstein,2020-12-27,50,59,0.0
Liechtenstein,2020-12-27,60,69,0.0
Liechtenstein,2020-12-27,70,79,0.0
Liechtenstein,2020-12-27,80,,0.0
Liechtenstein,2021-01-03,0,9,0.0
Liechtenstein,2021-01-03,10,19,0.0
Liechtenstein,2021-01-03,20,29,0.0
Liechtenstein,2021-01-03,30,39,0.0
Liechtenstein,2021-01-03,40,49,0.0
Liechtenstein,2021-01-03,50,59,0.0
Liechtenstein,2021-01-03,60,69,0.0
Liechtenstein,2021-01-03,70,79,0.0
Liechtenstein,2021-01-03,80,,0.0
Liechtenstein,2021-01-10,0,9,0.0
Liechtenstein,2021-01-10,10,19,0.0
Liechtenstein,2021-01-10,20,29,0.0
Liechtenstein,2021-01-10,30,39,0.04
Liechtenstein,2021-01-10,40,49,0.0
Liechtenstein,2021-01-10,50,59,0.02
Liechtenstein,2021-01-10,60,69,0.0
Liechtenstein,2021-01-10,70,79,0.0
Liechtenstein,2021-01-10,80,,0.19
Liechtenstein,2021-01-17,0,9,0.0
Liechtenstein,2021-01-17,10,19,0.0
Liechtenstein,2021-01-17,20,29,0.07
Liechtenstein,2021-01-17,30,39,0.12
Liechtenstein,2021-01-17,40,49,0.04
Liechtenstein,2021-01-17,50,59,0.19
Liechtenstein,2021-01-17,60,69,0.12
Liechtenstein,2021-01-17,70,79,0.23
Liechtenstein,2021-01-17,80,,0.56
Liechtenstein,2021-01-24,0,9,0.0
Liechtenstein,2021-01-24,10,19,0.03
Liechtenstein,2021-01-24,20,29,0.4
Liechtenstein,2021-01-24,30,39,0.58
Liechtenstein,2021-01-24,40,49,0.48
Liechtenstein,2021-01-24,50,59,1.07
Liechtenstein,2021-01-24,60,69,0.98
Liechtenstein,2021-01-24,70,79,1.92
Liechtenstein,2021-01-24,80,,7.58
Liechtenstein,2021-01-31,0,9,0.0
Liechtenstein,2021-01-31,10,19,0.21
Liechtenstein,2021-01-31,20,29,1.18
Liechtenstein,2021-01-31,30,39,1.24
Liechtenstein,2021-01-31,40,49,2.06
Liechtenstein,2021-01-31,50,59,2.7
Liechtenstein,2021-01-31,60,69,2.51
Liechtenstein,2021-01-31,70,79,3.54
Liechtenstein,2021-01-31,80,,10.07
Liechtenstein,2021-02-07,0,9,0.0
Liechtenstein,2021-02-07,10,19,0.21
Liechtenstein,2021-02-07,20,29,1.27
Liechtenstein,2021-02-07,30,39,1.28
Liechtenstein,2021-02-07,40,49,2.17
Liechtenstein,2021-02-07,50,59,2.86
Liechtenstein,2021-02-07,60,69,2.89
Liechtenstein,2021-02-07,70,79,4.38
Liechtenstein,2021-02-07,80,,10.38
Liechtenstein,2021-02-14,0,9,0.0
Liechtenstein,2021-02-14,10,19,0.21
Liechtenstein,2021-02-14,20,29,1.32
Liechtenstein,2021-02-14,30,39,1.34
Liechtenstein,2021-02-14,40,49,2.23
Liechtenstein,2021-02-14,50,59,2.89
Liechtenstein,2021-02-14,60,69,2.95
Liechtenstein,2021-02-14,70,79,4.53
Liechtenstein,2021-02-14,80,,10.5
Liechtenstein,2021-02-21,0,9,0.03
Liechtenstein,2021-02-21,10,19,0.21
Liechtenstein,2021-02-21,20,29,1.36
Liechtenstein,2021-02-21,30,39,1.38
Liechtenstein,2021-02-21,40,49,2.25
Liechtenstein,2021-02-21,50,59,3.03
Liechtenstein,2021-02-21,60,69,3.13
Liechtenstein,2021-02-21,70,79,4.59
Liechtenstein,2021-02-21,80,,42.08
Liechtenstein,2021-02-28,0,9,0.03
Liechtenstein,2021-02-28,10,19,0.23
Liechtenstein,2021-02-28,20,29,1.49
Liechtenstein,2021-02-28,30,39,1.4
Liechtenstein,2021-02-28,40,49,2.3
Liechtenstein,2021-02-28,50,59,3.08
Liechtenstein,2021-02-28,60,69,3.15
Liechtenstein,2021-02-28,70,79,4.9
Liechtenstein,2021-02-28,80,,66.31
Liechtenstein,2021-03-07,0,9,0.03
Liechtenstein,2021-03-07,10,19,0.26
Liechtenstein,2021-03-07,20,29,1.58
Liechtenstein,2021-03-07,30,39,1.48
Liechtenstein,2021-03-07,40,49,2.39
Liechtenstein,2021-03-07,50,59,3.28
Liechtenstein,2021-03-07,60,69,3.25
Liechtenstein,2021-03-07,70,79,16.74
