location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Lithuania,2021-01-01,18,24,0.04,0.0,0.0
Lithuania,2021-01-01,25,49,0.14,0.0,0.0
Lithuania,2021-01-01,50,59,0.17,0.0,0.0
Lithuania,2021-01-01,60,69,0.1,0.0,0.0
Lithuania,2021-01-01,70,79,0.01,0.0,0.0
Lithuania,2021-01-08,15,17,0.0,0.0,0.0
Lithuania,2021-01-08,18,24,0.36,0.0,0.0
Lithuania,2021-01-08,25,49,1.06,0.0,0.0
Lithuania,2021-01-08,50,59,1.81,0.0,0.0
Lithuania,2021-01-08,60,69,1.35,0.0,0.0
Lithuania,2021-01-08,70,79,0.26,0.0,0.0
Lithuania,2021-01-08,80,,0.12,0.0,0.0
Lithuania,2021-01-15,15,17,0.17,0.0,0.0
Lithuania,2021-01-15,18,24,0.74,0.03,0.0
Lithuania,2021-01-15,25,49,2.05,0.07,0.0
Lithuania,2021-01-15,50,59,3.63,0.05,0.0
Lithuania,2021-01-15,60,69,2.95,0.02,0.0
Lithuania,2021-01-15,70,79,1.1,0.0,0.0
Lithuania,2021-01-15,80,,1.59,0.0,0.0
Lithuania,2021-01-22,15,17,0.18,0.0,0.0
Lithuania,2021-01-22,18,24,0.85,0.14,0.0
Lithuania,2021-01-22,25,49,2.31,0.45,0.0
Lithuania,2021-01-22,50,59,4.07,0.68,0.0
Lithuania,2021-01-22,60,69,3.38,0.43,0.0
Lithuania,2021-01-22,70,79,1.37,0.06,0.0
Lithuania,2021-01-22,80,,2.47,0.0,0.0
Lithuania,2021-01-29,15,17,0.21,0.0,0.0
Lithuania,2021-01-29,18,24,1.22,0.32,0.0
Lithuania,2021-01-29,25,49,2.96,0.98,0.0
Lithuania,2021-01-29,50,59,4.81,1.66,0.0
Lithuania,2021-01-29,60,69,3.95,1.23,0.0
Lithuania,2021-01-29,70,79,1.55,0.23,0.0
Lithuania,2021-01-29,80,,2.93,0.08,0.0
Lithuania,2021-02-05,15,17,0.22,0.15,0.0
Lithuania,2021-02-05,18,24,1.33,0.63,0.0
Lithuania,2021-02-05,25,49,3.24,1.83,0.0
Lithuania,2021-02-05,50,59,5.26,3.27,0.0
Lithuania,2021-02-05,60,69,4.33,2.61,0.0
Lithuania,2021-02-05,70,79,1.65,0.93,0.0
Lithuania,2021-02-05,80,,3.24,1.35,0.0
Lithuania,2021-02-12,10,14,0.0,0.0,0.0
Lithuania,2021-02-12,15,17,0.23,0.16,0.0
Lithuania,2021-02-12,18,24,1.63,0.75,0.0
Lithuania,2021-02-12,25,49,4.09,2.1,0.0
Lithuania,2021-02-12,50,59,6.83,3.72,0.0
Lithuania,2021-02-12,60,69,5.52,3.03,0.0
Lithuania,2021-02-12,70,79,1.91,1.15,0.0
Lithuania,2021-02-12,80,,3.63,2.14,0.0
Lithuania,2021-02-19,10,14,0.0,0.0,0.0
Lithuania,2021-02-19,15,17,0.24,0.19,0.0
Lithuania,2021-02-19,18,24,1.78,1.1,0.0
Lithuania,2021-02-19,25,49,4.54,2.73,0.0
Lithuania,2021-02-19,50,59,7.83,4.46,0.0
Lithuania,2021-02-19,60,69,6.43,3.61,0.0
Lithuania,2021-02-19,70,79,2.97,1.34,0.0
Lithuania,2021-02-19,80,,8.97,2.62,0.0
Lithuania,2021-02-26,10,14,0.0,0.0,0.0
Lithuania,2021-02-26,15,17,0.24,0.19,0.0
Lithuania,2021-02-26,18,24,1.86,1.2,0.0
Lithuania,2021-02-26,25,49,4.73,2.96,0.0
Lithuania,2021-02-26,50,59,8.27,4.83,0.0
Lithuania,2021-02-26,60,69,7.52,3.93,0.0
Lithuania,2021-02-26,70,79,8.18,1.41,0.0
Lithuania,2021-02-26,80,,23.22,2.88,0.0
Lithuania,2021-03-05,10,14,0.0,0.0,0.0
Lithuania,2021-03-05,15,17,0.25,0.2,0.0
Lithuania,2021-03-05,18,24,1.95,1.38,0.0
Lithuania,2021-03-05,25,49,4.88,3.29,0.0
Lithuania,2021-03-05,50,59,8.57,5.87,0.0
Lithuania,2021-03-05,60,69,8.87,5.08,0.0
Lithuania,2021-03-05,70,79,18.25,1.63,0.0
Lithuania,2021-03-05,80,,32.07,3.26,0.0
Lithuania,2021-03-12,10,14,0.0,0.0,0.0
Lithuania,2021-03-12,15,17,0.25,0.21,0.0
Lithuania,2021-03-12,18,24,2.05,1.46,0.0
Lithuania,2021-03-12,25,49,5.01,3.44,0.0
Lithuania,2021-03-12,50,59,8.81,6.41,0.0
Lithuania,2021-03-12,60,69,11.63,5.77,0.0
Lithuania,2021-03-12,70,79,29.17,2.37,0.0
Lithuania,2021-03-12,80,,35.58,6.66,0.0
Lithuania,2021-03-19,10,14,0.0,0.0,0.0
Lithuania,2021-03-19,15,17,0.25,0.22,0.0
Lithuania,2021-03-19,18,24,2.11,1.52,0.0
Lithuania,2021-03-19,25,49,5.09,3.59,0.0
Lithuania,2021-03-19,50,59,9.03,6.81,0.0
Lithuania,2021-03-19,60,69,13.67,6.53,0.0
Lithuania,2021-03-19,70,79,33.6,4.71,0.0
Lithuania,2021-03-19,80,,36.73,15.35,0.0
Lithuania,2021-03-26,10,14,0.0,0.0,0.0
Lithuania,2021-03-26,15,17,0.27,0.22,0.0
Lithuania,2021-03-26,18,24,2.5,1.6,0.0
Lithuania,2021-03-26,25,49,5.69,3.72,0.0
Lithuania,2021-03-26,50,59,10.15,7.06,0.0
Lithuania,2021-03-26,60,69,18.44,7.1,0.0
Lithuania,2021-03-26,70,79,40.8,9.61,0.0
Lithuania,2021-03-26,80,,39.29,21.55,0.0
Lithuania,2021-04-02,10,14,0.0,0.0,0.0
Lithuania,2021-04-02,15,17,0.32,0.23,0.0
Lithuania,2021-04-02,18,24,4.47,1.69,0.0
Lithuania,2021-04-02,25,49,7.1,3.82,0.0
Lithuania,2021-04-02,50,59,12.21,7.24,0.0
Lithuania,2021-04-02,60,69,23.73,8.14,0.0
Lithuania,2021-04-02,70,79,47.69,15.7,0.0
Lithuania,2021-04-02,80,,41.79,25.18,0.0
Lithuania,2021-04-09,10,14,0.0,0.0,0.0
Lithuania,2021-04-09,15,17,0.52,0.23,0.0
Lithuania,2021-04-09,18,24,8.4,1.75,0.0
Lithuania,2021-04-09,25,49,9.74,3.89,0.0
Lithuania,2021-04-09,50,59,16.18,7.41,0.0
Lithuania,2021-04-09,60,69,31.42,9.18,0.0
Lithuania,2021-04-09,70,79,54.27,18.23,0.0
Lithuania,2021-04-09,80,,44.2,26.27,0.0
Lithuania,2021-04-16,10,14,0.0,0.0,0.0
Lithuania,2021-04-16,15,17,0.7,0.23,0.0
Lithuania,2021-04-16,18,24,10.45,1.82,0.0
Lithuania,2021-04-16,25,49,12.09,4.04,0.0
Lithuania,2021-04-16,50,59,19.84,7.74,0.0
Lithuania,2021-04-16,60,69,37.89,10.81,0.0
Lithuania,2021-04-16,70,79,59.36,22.13,0.0
Lithuania,2021-04-16,80,,46.73,27.68,0.0
Lithuania,2021-04-23,10,14,0.0,0.0,0.0
Lithuania,2021-04-23,15,17,0.94,0.24,0.0
Lithuania,2021-04-23,18,24,13.15,2.03,0.0
Lithuania,2021-04-23,25,49,14.37,4.52,0.0
Lithuania,2021-04-23,50,59,23.2,8.51,0.0
Lithuania,2021-04-23,60,69,42.37,13.91,0.0
Lithuania,2021-04-23,70,79,62.22,28.25,0.0
Lithuania,2021-04-23,80,,48.33,29.98,0.0
Lithuania,2021-04-30,10,14,0.0,0.0,0.0
Lithuania,2021-04-30,15,17,1.12,0.4,0.0
Lithuania,2021-04-30,18,24,14.92,3.94,0.0
Lithuania,2021-04-30,25,49,16.68,5.58,0.0
Lithuania,2021-04-30,50,59,27.33,10.44,0.0
Lithuania,2021-04-30,60,69,46.56,19.53,0.0
Lithuania,2021-04-30,70,79,63.52,34.31,0.0
Lithuania,2021-04-30,80,,49.24,32.3,0.0
Lithuania,2021-05-07,10,14,0.0,0.0,0.0
Lithuania,2021-05-07,15,17,1.26,0.55,0.0
Lithuania,2021-05-07,18,24,17.4,5.93,0.0
Lithuania,2021-05-07,25,49,21.24,7.4,0.0
Lithuania,2021-05-07,50,59,32.79,13.61,0.0
Lithuania,2021-05-07,60,69,50.5,26.46,0.0
Lithuania,2021-05-07,70,79,64.9,40.96,0.0
Lithuania,2021-05-07,80,,50.16,35.82,0.0
Lithuania,2021-05-14,10,14,0.0,0.0,0.0
Lithuania,2021-05-14,15,17,1.42,0.73,0.0
Lithuania,2021-05-14,18,24,19.97,8.2,0.0
Lithuania,2021-05-14,25,49,25.56,9.12,0.0
Lithuania,2021-05-14,50,59,38.26,16.32,0.0
Lithuania,2021-05-14,60,69,54.57,30.64,0.0
Lithuania,2021-05-14,70,79,66.05,44.88,0.0
Lithuania,2021-05-14,80,,51.07,38.78,0.0
Lithuania,2021-05-21,10,14,0.0,0.0,0.0
Lithuania,2021-05-21,15,17,1.64,0.93,0.0
Lithuania,2021-05-21,18,24,22.0,10.02,0.0
Lithuania,2021-05-21,25,49,29.14,11.46,0.0
Lithuania,2021-05-21,50,59,42.77,20.33,0.0
Lithuania,2021-05-21,60,69,57.19,35.17,0.0
Lithuania,2021-05-21,70,79,66.84,48.7,0.0
Lithuania,2021-05-21,80,,51.72,43.57,0.0
Lithuania,2021-05-28,10,14,0.0,0.0,0.0
Lithuania,2021-05-28,15,17,2.32,1.05,0.0
Lithuania,2021-05-28,18,24,24.31,11.43,0.0
Lithuania,2021-05-28,25,49,33.91,14.0,0.0
Lithuania,2021-05-28,50,59,46.42,24.1,0.0
Lithuania,2021-05-28,60,69,59.4,38.86,0.0
Lithuania,2021-05-28,70,79,67.61,53.02,0.0
Lithuania,2021-05-28,80,,52.33,46.25,0.0
Lithuania,2021-06-04,10,14,0.0,0.0,0.0
Lithuania,2021-06-04,15,17,9.6,1.23,0.0
Lithuania,2021-06-04,18,24,34.85,14.15,0.0
Lithuania,2021-06-04,25,49,40.04,17.51,0.0
Lithuania,2021-06-04,50,59,48.79,29.17,0.0
