location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Malta,2021-01-01,18,24,0.01,0.0,0.0
Malta,2021-01-01,25,49,0.02,0.0,0.0
Malta,2021-01-01,50,59,0.03,0.0,0.0
Malta,2021-01-01,60,69,0.01,0.0,0.0
Malta,2021-01-08,18,24,0.43,0.0,0.0
Malta,2021-01-08,25,49,1.11,0.0,0.0
Malta,2021-01-08,50,59,1.7,0.0,0.0
Malta,2021-01-08,60,69,0.74,0.0,0.0
Malta,2021-01-08,70,79,0.33,0.0,0.0
Malta,2021-01-08,80,,2.15,0.01,0.0
Malta,2021-01-15,0,17,0.0,0.0,0.0
Malta,2021-01-15,18,24,0.86,0.01,0.0
Malta,2021-01-15,25,49,1.95,0.02,0.0
Malta,2021-01-15,50,59,2.93,0.03,0.0
Malta,2021-01-15,60,69,1.34,0.01,0.0
Malta,2021-01-15,70,79,0.78,0.0,0.0
Malta,2021-01-15,80,,16.67,0.03,0.0
Malta,2021-01-22,0,17,0.0,0.0,0.0
Malta,2021-01-22,18,24,1.35,0.15,0.0
Malta,2021-01-22,25,49,2.83,0.44,0.0
Malta,2021-01-22,50,59,4.43,0.6,0.0
Malta,2021-01-22,60,69,1.97,0.21,0.0
Malta,2021-01-22,70,79,1.46,0.05,0.0
Malta,2021-01-22,80,,29.21,0.48,0.0
Malta,2021-01-29,0,17,0.0,0.0,0.0
Malta,2021-01-29,18,24,1.68,0.43,0.0
Malta,2021-01-29,25,49,3.69,1.14,0.0
Malta,2021-01-29,50,59,5.79,1.71,0.0
Malta,2021-01-29,60,69,2.6,0.74,0.0
Malta,2021-01-29,70,79,2.0,0.32,0.0
Malta,2021-01-29,80,,35.0,2.05,0.0
Malta,2021-02-05,0,17,0.01,0.0,0.0
Malta,2021-02-05,18,24,2.06,0.84,0.0
Malta,2021-02-05,25,49,4.51,2.05,0.0
Malta,2021-02-05,50,59,7.01,2.92,0.0
Malta,2021-02-05,60,69,3.3,1.32,0.0
Malta,2021-02-05,70,79,2.56,0.73,0.0
Malta,2021-02-05,80,,49.7,16.17,0.0
Malta,2021-02-12,0,17,0.01,0.0,0.0
Malta,2021-02-12,18,24,2.69,1.12,0.0
Malta,2021-02-12,25,49,5.29,2.23,0.0
Malta,2021-02-12,50,59,7.91,4.4,0.0
Malta,2021-02-12,60,69,3.95,1.94,0.0
Malta,2021-02-12,70,79,2.96,1.38,0.0
Malta,2021-02-12,80,,65.01,28.41,0.0
Malta,2021-02-19,0,17,0.01,0.0,0.0
Malta,2021-02-19,18,24,4.13,1.46,0.0
Malta,2021-02-19,25,49,7.83,3.08,0.0
Malta,2021-02-19,50,59,10.26,5.78,0.0
Malta,2021-02-19,60,69,5.76,2.55,0.0
Malta,2021-02-19,70,79,5.09,1.92,0.0
Malta,2021-02-19,80,,74.18,34.06,0.0
Malta,2021-02-26,0,17,0.06,0.0,0.0
Malta,2021-02-26,18,24,7.81,1.85,0.0
Malta,2021-02-26,25,49,12.55,3.91,0.0
Malta,2021-02-26,50,59,14.57,6.99,0.0
Malta,2021-02-26,60,69,9.27,3.26,0.0
Malta,2021-02-26,70,79,8.93,2.5,0.0
Malta,2021-02-26,80,,78.34,47.82,0.0
Malta,2021-03-05,0,17,0.08,0.0,0.0
Malta,2021-03-05,18,24,9.82,2.3,0.0
Malta,2021-03-05,25,49,17.09,4.58,0.0
Malta,2021-03-05,50,59,21.63,7.78,0.0
