location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Netherlands,2021-01-08,18,24,0.06,0.0,0.0
Netherlands,2021-01-08,25,49,0.39,0.0,0.0
Netherlands,2021-01-08,50,59,0.3,0.0,0.0
Netherlands,2021-01-08,60,69,0.23,0.0,0.0
Netherlands,2021-01-08,70,79,0.01,0.0,0.0
Netherlands,2021-01-08,80,,0.0,0.0,0.0
Netherlands,2021-01-15,18,24,0.19,0.0,0.0
Netherlands,2021-01-15,25,49,0.68,0.0,0.0
Netherlands,2021-01-15,50,59,0.78,0.0,0.0
Netherlands,2021-01-15,60,69,0.75,0.0,0.0
Netherlands,2021-01-15,70,79,0.04,0.0,0.0
Netherlands,2021-01-15,80,,0.01,0.0,0.0
Netherlands,2021-01-22,15,17,0.0,0.0,0.0
Netherlands,2021-01-22,18,24,0.54,0.0,0.0
Netherlands,2021-01-22,25,49,1.21,0.0,0.0
Netherlands,2021-01-22,50,59,1.75,0.0,0.0
Netherlands,2021-01-22,60,69,1.81,0.0,0.0
Netherlands,2021-01-22,70,79,0.2,0.0,0.0
Netherlands,2021-01-22,80,,0.21,0.0,0.0
Netherlands,2021-01-29,15,17,0.0,0.0,0.0
Netherlands,2021-01-29,18,24,0.92,0.03,0.0
Netherlands,2021-01-29,25,49,1.81,0.22,0.0
Netherlands,2021-01-29,50,59,2.77,0.18,0.0
Netherlands,2021-01-29,60,69,2.98,0.14,0.0
Netherlands,2021-01-29,70,79,0.58,0.0,0.0
Netherlands,2021-01-29,80,,3.23,0.0,0.0
Netherlands,2021-02-05,15,17,0.0,0.0,0.0
Netherlands,2021-02-05,18,24,1.14,0.15,0.0
Netherlands,2021-02-05,25,49,2.24,0.57,0.0
Netherlands,2021-02-05,50,59,3.39,0.61,0.0
Netherlands,2021-02-05,60,69,3.66,0.57,0.0
Netherlands,2021-02-05,70,79,0.87,0.03,0.0
Netherlands,2021-02-05,80,,11.96,0.0,0.0
Netherlands,2021-02-12,15,17,0.0,0.0,0.0
Netherlands,2021-02-12,18,24,1.17,0.48,0.0
Netherlands,2021-02-12,25,49,2.29,1.05,0.0
Netherlands,2021-02-12,50,59,3.45,1.54,0.0
Netherlands,2021-02-12,60,69,3.74,1.61,0.0
Netherlands,2021-02-12,70,79,0.91,0.17,0.0
Netherlands,2021-02-12,80,,23.7,0.19,0.0
Netherlands,2021-02-19,15,17,0.0,0.0,0.0
Netherlands,2021-02-19,18,24,1.4,0.79,0.0
Netherlands,2021-02-19,25,49,2.72,1.48,0.0
Netherlands,2021-02-19,50,59,4.03,2.33,0.0
Netherlands,2021-02-19,60,69,4.76,2.46,0.0
Netherlands,2021-02-19,70,79,1.01,0.24,0.0
Netherlands,2021-02-19,80,,32.74,0.22,0.0
Netherlands,2021-02-26,15,17,0.0,0.0,0.0
Netherlands,2021-02-26,18,24,1.69,1.03,0.0
Netherlands,2021-02-26,25,49,3.35,1.88,0.0
Netherlands,2021-02-26,50,59,4.84,2.98,0.0
Netherlands,2021-02-26,60,69,7.95,3.2,0.0
Netherlands,2021-02-26,70,79,1.23,0.58,0.0
Netherlands,2021-02-26,80,,42.27,1.8,0.0
Netherlands,2021-03-05,15,17,0.0,0.0,0.0
Netherlands,2021-03-05,18,24,1.8,1.11,0.0
Netherlands,2021-03-05,25,49,3.63,2.15,0.0
Netherlands,2021-03-05,50,59,5.22,3.3,0.0
Netherlands,2021-03-05,60,69,10.27,3.57,0.0
Netherlands,2021-03-05,70,79,1.44,0.84,0.0
Netherlands,2021-03-05,80,,54.32,3.99,0.0
Netherlands,2021-03-12,15,17,0.0,0.0,0.0
Netherlands,2021-03-12,18,24,2.1,1.13,0.0
Netherlands,2021-03-12,25,49,4.12,2.19,0.0
Netherlands,2021-03-12,50,59,5.95,3.34,0.0
Netherlands,2021-03-12,60,69,12.03,3.62,0.0
Netherlands,2021-03-12,70,79,1.64,0.86,0.0
Netherlands,2021-03-12,80,,63.01,11.2,0.0
Netherlands,2021-03-19,15,17,0.0,0.0,0.0
Netherlands,2021-03-19,18,24,2.12,1.16,0.0
Netherlands,2021-03-19,25,49,4.18,2.23,0.0
Netherlands,2021-03-19,50,59,6.02,3.39,0.0
Netherlands,2021-03-19,60,69,12.31,3.68,0.0
Netherlands,2021-03-19,70,79,1.86,0.9,0.0
Netherlands,2021-03-19,80,,71.33,22.4,0.0
Netherlands,2021-03-26,15,17,0.0,0.0,0.0
Netherlands,2021-03-26,18,24,2.32,1.2,0.0
Netherlands,2021-03-26,25,49,4.58,2.33,0.0
Netherlands,2021-03-26,50,59,6.84,3.5,0.0
Netherlands,2021-03-26,60,69,14.79,3.82,0.0
Netherlands,2021-03-26,70,79,2.73,1.03,0.0
Netherlands,2021-03-26,80,,77.63,31.03,0.0
Netherlands,2021-04-02,15,17,0.0,0.0,0.0
Netherlands,2021-04-02,18,24,2.53,1.26,0.0
Netherlands,2021-04-02,25,49,5.12,2.48,0.0
Netherlands,2021-04-02,50,59,7.71,3.67,0.0
Netherlands,2021-04-02,60,69,18.68,4.06,0.0
Netherlands,2021-04-02,70,79,8.72,1.22,0.0
Netherlands,2021-04-02,80,,85.62,40.59,0.0
Netherlands,2021-04-09,15,17,0.0,0.0,0.0
Netherlands,2021-04-09,18,24,2.59,1.29,0.0
Netherlands,2021-04-09,25,49,5.34,2.56,0.0
Netherlands,2021-04-09,50,59,8.05,3.75,0.0
Netherlands,2021-04-09,60,69,23.96,4.24,0.0
Netherlands,2021-04-09,70,79,19.24,1.36,0.0
Netherlands,2021-04-09,80,,91.31,52.09,0.0
Netherlands,2021-04-16,15,17,0.0,0.0,0.0
Netherlands,2021-04-16,18,24,2.67,1.33,0.0
Netherlands,2021-04-16,25,49,5.57,2.64,0.0
Netherlands,2021-04-16,50,59,8.39,3.84,0.0
Netherlands,2021-04-16,60,69,33.48,4.45,0.0
Netherlands,2021-04-16,70,79,40.04,1.53,0.0
Netherlands,2021-04-16,80,,96.8,60.43,0.0
Netherlands,2021-04-23,15,17,0.0,0.0,0.0
Netherlands,2021-04-23,18,24,2.79,1.39,0.0
Netherlands,2021-04-23,25,49,5.93,2.85,0.0
Netherlands,2021-04-23,50,59,8.85,4.12,0.0
Netherlands,2021-04-23,60,69,39.2,4.91,0.0
Netherlands,2021-04-23,70,79,62.58,2.13,0.0
Netherlands,2021-04-23,80,,100.0,69.45,0.0
Netherlands,2021-04-30,15,17,0.0,0.0,0.0
Netherlands,2021-04-30,18,24,3.04,1.53,0.0
Netherlands,2021-04-30,25,49,6.65,3.31,0.0
Netherlands,2021-04-30,50,59,9.89,4.71,0.0
Netherlands,2021-04-30,60,69,45.82,5.53,0.0
Netherlands,2021-04-30,70,79,83.6,2.89,0.0
Netherlands,2021-04-30,80,,101.03,75.51,0.0
Netherlands,2021-05-07,15,17,0.0,0.0,0.0
Netherlands,2021-05-07,18,24,3.37,1.8,0.0
Netherlands,2021-05-07,25,49,7.38,3.96,0.0
Netherlands,2021-05-07,50,59,10.89,5.59,0.0
Netherlands,2021-05-07,60,69,58.06,6.97,0.0
Netherlands,2021-05-07,70,79,93.46,8.07,0.0
Netherlands,2021-05-07,80,,102.06,83.66,0.0
Netherlands,2021-05-14,15,17,0.0,0.0,0.0
Netherlands,2021-05-14,18,24,4.35,2.1,0.0
Netherlands,2021-05-14,25,49,9.49,4.69,0.0
Netherlands,2021-05-14,50,59,15.1,6.48,0.0
Netherlands,2021-05-14,60,69,71.72,8.93,0.0
Netherlands,2021-05-14,70,79,97.72,17.11,0.0
Netherlands,2021-05-14,80,,102.97,89.35,0.0
