location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Romania,2021-05-28,0,17,0.86,0.49,0.0
Romania,2021-05-28,18,24,19.53,13.91,0.0
Romania,2021-05-28,25,49,25.07,20.7,0.0
Romania,2021-05-28,50,59,30.98,26.2,0.0
Romania,2021-05-28,60,69,35.24,31.18,0.0
Romania,2021-05-28,70,79,32.5,29.32,0.0
Romania,2021-05-28,80,,17.86,15.96,0.0
Romania,2021-06-04,0,17,1.19,0.63,0.0
Romania,2021-06-04,18,24,20.56,16.59,0.0
Romania,2021-06-04,25,49,25.95,22.94,0.0
Romania,2021-06-04,50,59,31.9,28.66,0.0
Romania,2021-06-04,60,69,36.01,33.18,0.0
Romania,2021-06-04,70,79,33.1,30.76,0.0
Romania,2021-06-04,80,,18.18,16.74,0.0
Romania,2021-06-11,0,17,1.38,0.75,0.0
Romania,2021-06-11,18,24,21.35,18.36,0.0
Romania,2021-06-11,25,49,26.69,24.45,0.0
Romania,2021-06-11,50,59,32.67,30.35,0.0
Romania,2021-06-11,60,69,36.66,34.59,0.0
Romania,2021-06-11,70,79,33.64,31.89,0.0
Romania,2021-06-11,80,,18.5,17.35,0.0
Romania,2021-06-18,0,17,1.48,0.86,0.0
Romania,2021-06-18,18,24,21.9,19.58,0.0
Romania,2021-06-18,25,49,27.21,25.49,0.0
Romania,2021-06-18,50,59,33.19,31.47,0.0
Romania,2021-06-18,60,69,37.1,35.59,0.0
Romania,2021-06-18,70,79,34.01,32.68,0.0
Romania,2021-06-18,80,,18.73,17.81,0.0
Romania,2021-06-25,0,17,1.57,1.18,0.0
Romania,2021-06-25,18,24,22.35,20.57,0.0
Romania,2021-06-25,25,49,27.63,26.29,0.0
Romania,2021-06-25,50,59,33.62,32.32,0.0
Romania,2021-06-25,60,69,37.48,36.33,0.0
Romania,2021-06-25,70,79,34.31,33.25,0.0
Romania,2021-06-25,80,,18.92,18.14,0.0
Romania,2021-07-02,0,17,1.65,1.37,0.0
Romania,2021-07-02,18,24,22.81,21.3,0.0
Romania,2021-07-02,25,49,28.05,26.91,0.0
Romania,2021-07-02,50,59,34.02,32.93,0.0
Romania,2021-07-02,60,69,37.81,36.84,0.0
Romania,2021-07-02,70,79,34.59,33.67,0.0
Romania,2021-07-02,80,,19.09,18.38,0.0
Romania,2021-07-09,0,17,1.74,1.48,0.0
Romania,2021-07-09,18,24,23.28,21.87,0.0
Romania,2021-07-09,25,49,28.48,27.42,0.0
Romania,2021-07-09,50,59,34.42,33.4,0.0
