location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Slovakia,2021-01-01,18,24,0.0,0.0,0.0
Slovakia,2021-01-01,25,49,0.01,0.0,0.0
Slovakia,2021-01-01,50,59,0.01,0.0,0.0
Slovakia,2021-01-01,60,69,0.0,0.0,0.0
Slovakia,2021-01-01,70,79,0.0,0.0,0.0
Slovakia,2021-01-01,80,,0.0,0.0,0.0
Slovakia,2021-01-08,0,4,0.0,0.0,0.0
Slovakia,2021-01-08,10,14,0.0,0.0,0.0
Slovakia,2021-01-08,15,17,0.01,0.0,0.0
Slovakia,2021-01-08,18,24,0.38,0.0,0.0
Slovakia,2021-01-08,25,49,0.77,0.0,0.0
Slovakia,2021-01-08,50,59,1.05,0.0,0.0
Slovakia,2021-01-08,60,69,0.65,0.0,0.0
Slovakia,2021-01-08,70,79,0.26,0.0,0.0
Slovakia,2021-01-08,80,,0.1,0.0,0.0
Slovakia,2021-01-15,15,17,0.02,0.0,0.0
Slovakia,2021-01-15,18,24,0.88,0.0,0.0
Slovakia,2021-01-15,25,49,1.61,0.0,0.0
Slovakia,2021-01-15,50,59,2.2,0.0,0.0
Slovakia,2021-01-15,60,69,1.36,0.0,0.0
Slovakia,2021-01-15,70,79,0.51,0.0,0.0
Slovakia,2021-01-15,80,,0.19,0.0,0.0
Slovakia,2021-01-22,15,17,0.02,0.0,0.0
Slovakia,2021-01-22,18,24,1.55,0.02,0.0
Slovakia,2021-01-22,25,49,2.46,0.08,0.0
Slovakia,2021-01-22,50,59,3.35,0.1,0.0
Slovakia,2021-01-22,60,69,2.04,0.06,0.0
Slovakia,2021-01-22,70,79,0.88,0.02,0.0
Slovakia,2021-01-22,80,,0.76,0.01,0.0
Slovakia,2021-01-29,15,17,0.03,0.0,0.0
Slovakia,2021-01-29,18,24,2.06,0.09,0.0
Slovakia,2021-01-29,25,49,2.88,0.26,0.0
Slovakia,2021-01-29,50,59,3.91,0.34,0.0
Slovakia,2021-01-29,60,69,2.57,0.22,0.0
Slovakia,2021-01-29,70,79,2.77,0.09,0.0
Slovakia,2021-01-29,80,,8.22,0.03,0.0
Slovakia,2021-02-05,0,4,0.0,0.0,0.0
Slovakia,2021-02-05,15,17,0.03,0.01,0.0
Slovakia,2021-02-05,18,24,2.31,0.38,0.0
Slovakia,2021-02-05,25,49,3.1,0.84,0.0
Slovakia,2021-02-05,50,59,4.2,1.13,0.0
Slovakia,2021-02-05,60,69,3.0,0.71,0.0
Slovakia,2021-02-05,70,79,8.0,0.28,0.0
Slovakia,2021-02-05,80,,15.84,0.11,0.0
Slovakia,2021-02-12,15,17,0.03,0.01,0.0
Slovakia,2021-02-12,18,24,2.76,0.87,0.0
Slovakia,2021-02-12,25,49,3.83,1.62,0.0
Slovakia,2021-02-12,50,59,4.99,2.22,0.0
Slovakia,2021-02-12,60,69,3.53,1.38,0.0
Slovakia,2021-02-12,70,79,11.58,0.54,0.0
Slovakia,2021-02-12,80,,21.16,0.25,0.0
Slovakia,2021-02-19,15,17,0.03,0.02,0.0
Slovakia,2021-02-19,18,24,3.05,1.5,0.0
Slovakia,2021-02-19,25,49,4.59,2.41,0.0
Slovakia,2021-02-19,5,9,0.0,0.0,0.0
Slovakia,2021-02-19,50,59,6.08,3.28,0.0
Slovakia,2021-02-19,60,69,4.34,2.02,0.0
Slovakia,2021-02-19,70,79,13.05,0.91,0.0
Slovakia,2021-02-19,80,,23.15,0.79,0.0
Slovakia,2021-02-26,15,17,0.03,0.02,0.0
Slovakia,2021-02-26,18,24,3.45,1.99,0.0
Slovakia,2021-02-26,25,49,5.58,2.85,0.0
Slovakia,2021-02-26,5,9,0.0,0.0,0.0
Slovakia,2021-02-26,50,59,6.97,3.86,0.0
Slovakia,2021-02-26,60,69,4.71,2.55,0.0
Slovakia,2021-02-26,70,79,14.18,2.55,0.0
Slovakia,2021-02-26,80,,24.85,7.7,0.0
Slovakia,2021-03-05,0,4,0.0,0.0,0.0
Slovakia,2021-03-05,15,17,0.04,0.02,0.0
Slovakia,2021-03-05,18,24,4.04,2.25,0.0
Slovakia,2021-03-05,25,49,6.97,3.07,0.0
Slovakia,2021-03-05,50,59,8.64,4.17,0.0
Slovakia,2021-03-05,60,69,5.53,2.98,0.0
Slovakia,2021-03-05,70,79,14.6,7.76,0.0
Slovakia,2021-03-05,80,,25.56,15.53,0.0
Slovakia,2021-03-12,15,17,0.04,0.02,0.0
Slovakia,2021-03-12,18,24,4.21,2.6,0.0
Slovakia,2021-03-12,25,49,7.3,3.34,0.0
Slovakia,2021-03-12,50,59,9.19,4.56,0.0
Slovakia,2021-03-12,60,69,11.15,3.51,0.0
Slovakia,2021-03-12,70,79,18.55,11.29,0.0
Slovakia,2021-03-12,80,,26.77,20.89,0.0
Slovakia,2021-03-19,15,17,0.05,0.03,0.0
Slovakia,2021-03-19,18,24,4.57,2.8,0.0
Slovakia,2021-03-19,25,49,7.82,3.55,0.0
Slovakia,2021-03-19,5,9,0.0,0.0,0.0
Slovakia,2021-03-19,50,59,10.44,5.21,0.0
Slovakia,2021-03-19,60,69,16.36,4.31,0.0
Slovakia,2021-03-19,70,79,29.56,12.76,0.0
Slovakia,2021-03-19,80,,29.91,22.91,0.0
Slovakia,2021-03-26,15,17,0.05,0.03,0.0
Slovakia,2021-03-26,18,24,4.98,3.0,0.0
Slovakia,2021-03-26,25,49,8.43,3.76,0.0
Slovakia,2021-03-26,5,9,0.0,0.0,0.0
Slovakia,2021-03-26,50,59,12.81,5.54,0.0
Slovakia,2021-03-26,60,69,19.91,4.68,0.0
Slovakia,2021-03-26,70,79,40.97,13.9,0.0
Slovakia,2021-03-26,80,,36.33,24.66,0.0
Slovakia,2021-04-02,15,17,0.06,0.03,0.0
Slovakia,2021-04-02,18,24,5.29,3.06,0.0
Slovakia,2021-04-02,25,49,8.92,3.86,0.0
Slovakia,2021-04-02,50,59,15.72,5.71,0.0
Slovakia,2021-04-02,60,69,25.26,4.89,0.0
Slovakia,2021-04-02,70,79,47.4,14.25,0.0
Slovakia,2021-04-02,80,,38.31,25.23,0.0
Slovakia,2021-04-09,15,17,0.07,0.03,0.0
Slovakia,2021-04-09,18,24,5.69,3.13,0.0
Slovakia,2021-04-09,25,49,9.74,3.99,0.0
Slovakia,2021-04-09,5,9,0.0,0.0,0.0
Slovakia,2021-04-09,50,59,21.34,5.95,0.0
Slovakia,2021-04-09,60,69,30.59,5.34,0.0
Slovakia,2021-04-09,70,79,50.57,18.08,0.0
Slovakia,2021-04-09,80,,39.68,26.43,0.0
Slovakia,2021-04-16,10,14,0.0,0.0,0.0
Slovakia,2021-04-16,15,17,0.07,0.04,0.0
Slovakia,2021-04-16,18,24,6.01,3.23,0.0
Slovakia,2021-04-16,25,49,11.63,4.15,0.0
Slovakia,2021-04-16,5,9,0.0,0.0,0.0
Slovakia,2021-04-16,50,59,24.36,6.26,0.0
Slovakia,2021-04-16,60,69,34.21,5.91,0.0
Slovakia,2021-04-16,70,79,52.68,28.58,0.0
Slovakia,2021-04-16,80,,40.91,29.5,0.0
Slovakia,2021-04-23,15,17,0.07,0.05,0.0
Slovakia,2021-04-23,18,24,6.36,3.41,0.0
Slovakia,2021-04-23,25,49,12.96,4.77,0.0
Slovakia,2021-04-23,50,59,26.21,7.17,0.0
Slovakia,2021-04-23,60,69,37.03,7.05,0.0
Slovakia,2021-04-23,70,79,54.16,39.22,0.0
Slovakia,2021-04-23,80,,41.89,35.87,0.0
Slovakia,2021-04-30,10,14,0.0,0.0,0.0
Slovakia,2021-04-30,15,17,0.49,0.05,0.0
Slovakia,2021-04-30,18,24,7.03,3.54,0.0
Slovakia,2021-04-30,25,49,14.61,5.26,0.0
Slovakia,2021-04-30,5,9,0.0,0.0,0.0
Slovakia,2021-04-30,50,59,27.68,7.84,0.0
Slovakia,2021-04-30,60,69,41.5,11.75,0.0
Slovakia,2021-04-30,70,79,56.19,46.37,0.0
Slovakia,2021-04-30,80,,43.09,37.91,0.0
Slovakia,2021-05-07,0,4,0.0,0.0,0.0
Slovakia,2021-05-07,10,14,0.0,0.0,0.0
Slovakia,2021-05-07,15,17,0.74,0.05,0.0
Slovakia,2021-05-07,18,24,8.39,3.75,0.0
Slovakia,2021-05-07,25,49,16.78,6.16,0.0
Slovakia,2021-05-07,50,59,31.24,8.84,0.0
Slovakia,2021-05-07,60,69,46.51,16.93,0.0
