location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Sweden,2021-01-01,18,24,0.0,0.0,0.0
Sweden,2021-01-01,25,49,0.0,0.0,0.0
Sweden,2021-01-01,50,59,0.01,0.0,0.0
Sweden,2021-01-01,60,69,0.01,0.0,0.0
Sweden,2021-01-01,70,79,0.02,0.0,0.0
Sweden,2021-01-01,80,,0.14,0.0,0.0
Sweden,2021-01-08,18,24,0.06,0.0,0.0
Sweden,2021-01-08,25,49,0.15,0.0,0.0
Sweden,2021-01-08,50,59,0.32,0.0,0.0
Sweden,2021-01-08,60,69,0.34,0.0,0.0
Sweden,2021-01-08,70,79,0.53,0.0,0.0
Sweden,2021-01-08,80,,2.73,0.0,0.0
Sweden,2021-01-15,18,24,0.26,0.0,0.0
Sweden,2021-01-15,25,49,0.69,0.0,0.0
Sweden,2021-01-15,50,59,1.21,0.0,0.0
Sweden,2021-01-15,60,69,1.16,0.0,0.0
Sweden,2021-01-15,70,79,1.16,0.0,0.0
Sweden,2021-01-15,80,,5.67,0.0,0.0
Sweden,2021-01-22,18,24,0.63,0.01,0.0
Sweden,2021-01-22,25,49,1.51,0.02,0.0
Sweden,2021-01-22,50,59,2.49,0.05,0.0
Sweden,2021-01-22,60,69,2.34,0.06,0.0
Sweden,2021-01-22,70,79,2.01,0.12,0.0
Sweden,2021-01-22,80,,9.28,0.65,0.0
Sweden,2021-01-29,18,24,0.9,0.03,0.0
Sweden,2021-01-29,25,49,2.03,0.09,0.0
Sweden,2021-01-29,50,59,3.32,0.2,0.0
Sweden,2021-01-29,60,69,3.1,0.24,0.0
Sweden,2021-01-29,70,79,2.51,0.41,0.0
Sweden,2021-01-29,80,,11.52,2.1,0.0
Sweden,2021-02-05,18,24,1.05,0.16,0.0
Sweden,2021-02-05,25,49,2.28,0.43,0.0
Sweden,2021-02-05,50,59,3.76,0.8,0.0
Sweden,2021-02-05,60,69,3.53,0.79,0.0
Sweden,2021-02-05,70,79,2.94,0.89,0.0
Sweden,2021-02-05,80,,13.24,4.49,0.0
Sweden,2021-02-12,18,24,1.21,0.35,0.0
Sweden,2021-02-12,25,49,2.54,0.91,0.0
Sweden,2021-02-12,50,59,4.14,1.58,0.0
Sweden,2021-02-12,60,69,3.89,1.55,0.0
Sweden,2021-02-12,70,79,3.3,1.59,0.0
Sweden,2021-02-12,80,,14.97,7.69,0.0
Sweden,2021-02-19,18,24,1.57,0.69,0.0
Sweden,2021-02-19,25,49,3.07,1.66,0.0
Sweden,2021-02-19,50,59,4.92,2.77,0.0
Sweden,2021-02-19,60,69,4.57,2.63,0.0
Sweden,2021-02-19,70,79,4.01,2.26,0.0
Sweden,2021-02-19,80,,18.3,10.37,0.0
Sweden,2021-02-26,18,24,2.04,0.94,0.0
Sweden,2021-02-26,25,49,3.78,2.13,0.0
Sweden,2021-02-26,50,59,5.94,3.52,0.0
Sweden,2021-02-26,60,69,5.54,3.31,0.0
Sweden,2021-02-26,70,79,4.98,2.71,0.0
Sweden,2021-02-26,80,,24.05,12.28,0.0
Sweden,2021-03-05,18,24,2.64,1.06,0.0
Sweden,2021-03-05,25,49,4.98,2.36,0.0
Sweden,2021-03-05,50,59,7.51,3.89,0.0
Sweden,2021-03-05,60,69,6.97,3.71,0.0
Sweden,2021-03-05,70,79,6.3,3.16,0.0
Sweden,2021-03-05,80,,32.88,14.32,0.0
Sweden,2021-03-12,18,24,3.21,1.13,0.0
Sweden,2021-03-12,25,49,5.99,2.5,0.0
Sweden,2021-03-12,50,59,8.8,4.11,0.0
Sweden,2021-03-12,60,69,8.34,4.05,0.0
