location,date,vaccine,total_vaccinations
Belgium,2021-01-08,Johnson&Johnson,0
Belgium,2021-04-30,Johnson&Johnson,3173
Belgium,2021-05-07,Johnson&Johnson,24437
Belgium,2021-05-14,Johnson&Johnson,30469
Belgium,2021-05-21,Johnson&Johnson,51470
Belgium,2021-05-28,Johnson&Johnson,75629
Belgium,2021-06-04,Johnson&Johnson,99790
Belgium,2021-06-11,Johnson&Johnson,146486
Belgium,2021-06-18,Johnson&Johnson,216309
Belgium,2021-06-25,Johnson&Johnson,249382
Belgium,2021-07-02,Johnson&Johnson,275379
Belgium,2021-07-09,Johnson&Johnson,291627
Belgium,2021-07-16,Johnson&Johnson,311009
Belgium,2021-07-23,Johnson&Johnson,322266
Belgium,2021-07-30,Johnson&Johnson,332152
Belgium,2021-08-06,Johnson&Johnson,341916
Belgium,2021-08-13,Johnson&Johnson,349598
Belgium,2021-08-20,Johnson&Johnson,356089
Belgium,2021-08-27,Johnson&Johnson,362133
Belgium,2021-09-03,Johnson&Johnson,368364
Belgium,2021-09-10,Johnson&Johnson,373517
Belgium,2021-09-17,Johnson&Johnson,380324
Belgium,2021-09-24,Johnson&Johnson,387440
Belgium,2021-10-01,Johnson&Johnson,392679
Belgium,2021-10-08,Johnson&Johnson,396825
Belgium,2021-10-15,Johnson&Johnson,401043
Belgium,2021-10-22,Johnson&Johnson,404960
Belgium,2021-10-29,Johnson&Johnson,409463
Belgium,2021-11-05,Johnson&Johnson,413856
Belgium,2021-11-12,Johnson&Johnson,417676
Belgium,2021-11-19,Johnson&Johnson,420056
Belgium,2021-11-26,Johnson&Johnson,422063
Belgium,2021-12-03,Johnson&Johnson,423272
Belgium,2021-12-10,Johnson&Johnson,424149
Belgium,2021-12-17,Johnson&Johnson,425159
Belgium,2021-12-24,Johnson&Johnson,425583
Belgium,2021-12-31,Johnson&Johnson,425875
Belgium,2022-01-07,Johnson&Johnson,426215
Belgium,2022-01-14,Johnson&Johnson,426583
Belgium,2022-01-21,Johnson&Johnson,426906
Belgium,2022-01-28,Johnson&Johnson,427159
Belgium,2022-02-04,Johnson&Johnson,427307
Belgium,2022-02-11,Johnson&Johnson,427423
Belgium,2022-02-18,Johnson&Johnson,427506
Belgium,2022-02-25,Johnson&Johnson,427626
Belgium,2022-03-04,Johnson&Johnson,427730
Belgium,2022-03-11,Johnson&Johnson,427776
Belgium,2022-03-18,Johnson&Johnson,427866
Belgium,2022-03-25,Johnson&Johnson,427906
Belgium,2022-04-01,Johnson&Johnson,427928
Belgium,2022-04-08,Johnson&Johnson,427947
Belgium,2022-04-15,Johnson&Johnson,427994
Belgium,2022-04-22,Johnson&Johnson,428034
Belgium,2022-04-29,Johnson&Johnson,428071
Belgium,2022-05-06,Johnson&Johnson,428102
Belgium,2022-05-13,Johnson&Johnson,428134
Belgium,2022-05-20,Johnson&Johnson,428154
Belgium,2022-05-27,Johnson&Johnson,428179
Belgium,2022-06-03,Johnson&Johnson,428198
Belgium,2022-06-10,Johnson&Johnson,428216
Belgium,2022-06-17,Johnson&Johnson,428232
Belgium,2022-06-24,Johnson&Johnson,428243
Belgium,2022-07-01,Johnson&Johnson,428253
Belgium,2022-07-08,Johnson&Johnson,428275
Belgium,2022-07-15,Johnson&Johnson,428297
Belgium,2022-07-22,Johnson&Johnson,428314
Belgium,2022-07-29,Johnson&Johnson,428329
Belgium,2022-08-05,Johnson&Johnson,428339
Belgium,2022-08-12,Johnson&Johnson,428351
Belgium,2022-08-19,Johnson&Johnson,428359
Belgium,2022-08-26,Johnson&Johnson,428384
Belgium,2022-09-02,Johnson&Johnson,428401
Belgium,2022-09-09,Johnson&Johnson,428407
Belgium,2022-09-16,Johnson&Johnson,428424
Belgium,2022-09-23,Johnson&Johnson,428459
Belgium,2022-09-30,Johnson&Johnson,428484
Belgium,2022-10-07,Johnson&Johnson,428499
Belgium,2022-10-14,Johnson&Johnson,428526
Belgium,2022-10-21,Johnson&Johnson,428536
Belgium,2022-10-28,Johnson&Johnson,428555
Belgium,2022-11-04,Johnson&Johnson,428561
Belgium,2022-11-11,Johnson&Johnson,428569
Belgium,2022-11-18,Johnson&Johnson,428577
Belgium,2022-11-25,Johnson&Johnson,428591
Belgium,2022-12-02,Johnson&Johnson,428598
Belgium,2022-12-09,Johnson&Johnson,428602
Belgium,2022-12-16,Johnson&Johnson,428606
Belgium,2022-12-23,Johnson&Johnson,428614
Belgium,2022-12-30,Johnson&Johnson,428617
Belgium,2023-01-06,Johnson&Johnson,428621
Belgium,2023-01-13,Johnson&Johnson,428624
Belgium,2023-01-20,Johnson&Johnson,428629
Belgium,2023-01-27,Johnson&Johnson,428634
Belgium,2023-02-03,Johnson&Johnson,428635
Belgium,2023-02-10,Johnson&Johnson,428636
Belgium,2023-02-17,Johnson&Johnson,428639
Belgium,2023-02-24,Johnson&Johnson,428640
Belgium,2023-03-03,Johnson&Johnson,428641
Belgium,2023-03-17,Johnson&Johnson,428645
Belgium,2023-03-24,Johnson&Johnson,428648
Belgium,2023-04-14,Johnson&Johnson,428650
Belgium,2023-04-21,Johnson&Johnson,428652
Belgium,2023-06-16,Johnson&Johnson,428653
Belgium,2021-01-08,Moderna,0
Belgium,2021-01-15,Moderna,66
Belgium,2021-01-22,Moderna,4582
Belgium,2021-01-29,Moderna,6322
Belgium,2021-02-05,Moderna,16209
Belgium,2021-02-12,Moderna,25915
Belgium,2021-02-19,Moderna,30789
Belgium,2021-02-26,Moderna,33352
Belgium,2021-03-05,Moderna,52375
Belgium,2021-03-12,Moderna,68484
Belgium,2021-03-19,Moderna,91131
Belgium,2021-03-26,Moderna,101655
Belgium,2021-04-02,Moderna,129758
Belgium,2021-04-09,Moderna,177310
Belgium,2021-04-16,Moderna,212282
Belgium,2021-04-23,Moderna,264065
Belgium,2021-04-30,Moderna,291475
Belgium,2021-05-07,Moderna,349746
Belgium,2021-05-14,Moderna,404762
Belgium,2021-05-21,Moderna,507193
Belgium,2021-05-28,Moderna,582029
Belgium,2021-06-04,Moderna,658809
Belgium,2021-06-11,Moderna,745661
Belgium,2021-06-18,Moderna,852786
Belgium,2021-06-25,Moderna,966199
Belgium,2021-07-02,Moderna,1050511
Belgium,2021-07-09,Moderna,1113037
Belgium,2021-07-16,Moderna,1169181
Belgium,2021-07-23,Moderna,1223620
Belgium,2021-07-30,Moderna,1255675
Belgium,2021-08-06,Moderna,1280451
Belgium,2021-08-13,Moderna,1299362
Belgium,2021-08-20,Moderna,1312184
Belgium,2021-08-27,Moderna,1321249
Belgium,2021-09-03,Moderna,1332023
Belgium,2021-09-10,Moderna,1339644
Belgium,2021-09-17,Moderna,1347125
Belgium,2021-09-24,Moderna,1352493
Belgium,2021-10-01,Moderna,1360242
Belgium,2021-10-08,Moderna,1363543
Belgium,2021-10-15,Moderna,1367762
Belgium,2021-10-22,Moderna,1372724
Belgium,2021-10-29,Moderna,1377650
Belgium,2021-11-05,Moderna,1385131
Belgium,2021-11-12,Moderna,1396287
Belgium,2021-11-19,Moderna,1422247
Belgium,2021-11-26,Moderna,1512625
Belgium,2021-12-03,Moderna,1610337
Belgium,2021-12-10,Moderna,1684067
Belgium,2021-12-17,Moderna,1807612
Belgium,2021-12-24,Moderna,2143538
Belgium,2021-12-31,Moderna,2349663
Belgium,2022-01-07,Moderna,3008677
Belgium,2022-01-14,Moderna,3568692
Belgium,2022-01-21,Moderna,3898384
Belgium,2022-01-28,Moderna,4069071
Belgium,2022-02-04,Moderna,4170052
Belgium,2022-02-11,Moderna,4227095
Belgium,2022-02-18,Moderna,4256923
Belgium,2022-02-25,Moderna,4275948
Belgium,2022-03-04,Moderna,4282094
Belgium,2022-03-11,Moderna,4285321
Belgium,2022-03-18,Moderna,4286891
Belgium,2022-03-25,Moderna,4287910
Belgium,2022-04-01,Moderna,4288455
Belgium,2022-04-08,Moderna,4288832
Belgium,2022-04-15,Moderna,4289183
Belgium,2022-04-22,Moderna,4289464
Belgium,2022-04-29,Moderna,4289793
Belgium,2022-05-06,Moderna,4290131
Belgium,2022-05-13,Moderna,4290404
Belgium,2022-05-20,Moderna,4290712
Belgium,2022-05-27,Moderna,4291003
Belgium,2022-06-03,Moderna,4291295
Belgium,2022-06-10,Moderna,4291581
Belgium,2022-06-17,Moderna,4291896
Belgium,2022-06-24,Moderna,4292403
Belgium,2022-07-01,Moderna,4293050
Belgium,2022-07-08,Moderna,4293657
Belgium,2022-07-15,Moderna,4294169
Belgium,2022-07-22,Moderna,4294618
Belgium,2022-07-29,Moderna,4295095
Belgium,2022-08-05,Moderna,4295596
Belgium,2022-08-12,Moderna,4296317
Belgium,2022-08-19,Moderna,4297406
Belgium,2022-08-26,Moderna,4300579
Belgium,2022-09-02,Moderna,4304990
Belgium,2022-09-09,Moderna,4312327
Belgium,2022-09-16,Moderna,4318803
Belgium,2022-09-23,Moderna,4343599
Belgium,2022-09-30,Moderna,4365611
Belgium,2022-10-07,Moderna,4379267
Belgium,2022-10-14,Moderna,4382862
Belgium,2022-10-21,Moderna,4385382
Belgium,2022-10-28,Moderna,4386813
Belgium,2022-11-04,Moderna,4386877
Belgium,2022-11-11,Moderna,4387180
Belgium,2022-11-18,Moderna,4387294
Belgium,2022-11-25,Moderna,4387465
Belgium,2022-12-02,Moderna,4387564
Belgium,2022-12-09,Moderna,4387684
Belgium,2022-12-16,Moderna,4387821
Belgium,2022-12-23,Moderna,4387865
Belgium,2022-12-30,Moderna,4387873
Belgium,2023-01-06,Moderna,4387899
Belgium,2023-01-13,Moderna,4388155
Belgium,2023-01-20,Moderna,4388863
Belgium,2023-01-27,Moderna,4389254
Belgium,2023-02-03,Moderna,4389423
Belgium,2023-02-10,Moderna,4389444
Belgium,2023-02-17,Moderna,4389476
Belgium,2023-02-24,Moderna,4389480
Belgium,2023-03-03,Moderna,4389495
Belgium,2023-03-10,Moderna,4389496
