location,date,vaccine,total_vaccinations
Bulgaria,2021-04-16,Johnson&Johnson,0
Bulgaria,2021-05-14,Johnson&Johnson,398
Bulgaria,2021-05-21,Johnson&Johnson,2629
Bulgaria,2021-05-28,Johnson&Johnson,6276
Bulgaria,2021-06-04,Johnson&Johnson,11142
Bulgaria,2021-06-11,Johnson&Johnson,17995
Bulgaria,2021-06-18,Johnson&Johnson,25960
Bulgaria,2021-06-25,Johnson&Johnson,33133
Bulgaria,2021-07-02,Johnson&Johnson,40028
Bulgaria,2021-07-09,Johnson&Johnson,48458
Bulgaria,2021-07-16,Johnson&Johnson,58464
Bulgaria,2021-07-23,Johnson&Johnson,68142
Bulgaria,2021-07-30,Johnson&Johnson,78474
Bulgaria,2021-08-06,Johnson&Johnson,89994
Bulgaria,2021-08-13,Johnson&Johnson,102584
Bulgaria,2021-08-20,Johnson&Johnson,116879
Bulgaria,2021-08-27,Johnson&Johnson,133038
Bulgaria,2021-09-03,Johnson&Johnson,149801
Bulgaria,2021-09-10,Johnson&Johnson,162922
Bulgaria,2021-09-17,Johnson&Johnson,176011
Bulgaria,2021-09-24,Johnson&Johnson,185898
Bulgaria,2021-10-01,Johnson&Johnson,195813
Bulgaria,2021-10-08,Johnson&Johnson,203836
Bulgaria,2021-10-15,Johnson&Johnson,213953
Bulgaria,2021-10-22,Johnson&Johnson,255378
Bulgaria,2021-10-29,Johnson&Johnson,312759
Bulgaria,2021-11-05,Johnson&Johnson,353234
Bulgaria,2021-11-12,Johnson&Johnson,379027
Bulgaria,2021-11-19,Johnson&Johnson,399308
Bulgaria,2021-11-26,Johnson&Johnson,417244
Bulgaria,2021-12-03,Johnson&Johnson,430658
Bulgaria,2021-12-10,Johnson&Johnson,441050
Bulgaria,2021-12-17,Johnson&Johnson,450804
Bulgaria,2021-12-24,Johnson&Johnson,460037
Bulgaria,2021-12-31,Johnson&Johnson,465771
Bulgaria,2022-01-07,Johnson&Johnson,474859
Bulgaria,2022-01-14,Johnson&Johnson,483911
Bulgaria,2022-01-21,Johnson&Johnson,491097
Bulgaria,2022-01-28,Johnson&Johnson,495847
Bulgaria,2022-02-04,Johnson&Johnson,499873
Bulgaria,2022-02-11,Johnson&Johnson,503015
Bulgaria,2022-02-18,Johnson&Johnson,505783
Bulgaria,2022-02-25,Johnson&Johnson,507940
Bulgaria,2022-03-04,Johnson&Johnson,509151
Bulgaria,2022-03-11,Johnson&Johnson,510369
Bulgaria,2022-03-18,Johnson&Johnson,511702
Bulgaria,2022-03-25,Johnson&Johnson,512657
Bulgaria,2022-04-01,Johnson&Johnson,513640
Bulgaria,2022-04-08,Johnson&Johnson,514556
Bulgaria,2022-04-15,Johnson&Johnson,515710
Bulgaria,2022-04-22,Johnson&Johnson,516452
Bulgaria,2022-04-29,Johnson&Johnson,517267
Bulgaria,2022-05-06,Johnson&Johnson,517842
Bulgaria,2022-05-13,Johnson&Johnson,518512
Bulgaria,2022-05-20,Johnson&Johnson,519038
Bulgaria,2022-05-27,Johnson&Johnson,519513
Bulgaria,2022-06-03,Johnson&Johnson,519962
Bulgaria,2022-06-10,Johnson&Johnson,520295
Bulgaria,2022-06-17,Johnson&Johnson,520647
Bulgaria,2022-06-24,Johnson&Johnson,520992
Bulgaria,2022-07-01,Johnson&Johnson,521434
Bulgaria,2022-07-08,Johnson&Johnson,521910
Bulgaria,2022-07-15,Johnson&Johnson,522522
Bulgaria,2022-07-22,Johnson&Johnson,523125
Bulgaria,2022-07-29,Johnson&Johnson,523819
Bulgaria,2022-08-05,Johnson&Johnson,524501
Bulgaria,2022-08-12,Johnson&Johnson,525164
Bulgaria,2022-08-19,Johnson&Johnson,525805
Bulgaria,2022-08-26,Johnson&Johnson,526350
Bulgaria,2022-09-02,Johnson&Johnson,526818
Bulgaria,2022-09-09,Johnson&Johnson,527164
Bulgaria,2022-09-16,Johnson&Johnson,527470
Bulgaria,2022-09-23,Johnson&Johnson,527663
Bulgaria,2022-09-30,Johnson&Johnson,527896
Bulgaria,2022-10-07,Johnson&Johnson,528059
Bulgaria,2022-10-14,Johnson&Johnson,528274
Bulgaria,2022-10-21,Johnson&Johnson,528391
Bulgaria,2022-10-28,Johnson&Johnson,528521
Bulgaria,2022-11-04,Johnson&Johnson,528660
Bulgaria,2022-11-11,Johnson&Johnson,528766
Bulgaria,2022-11-18,Johnson&Johnson,528900
Bulgaria,2022-11-25,Johnson&Johnson,528981
Bulgaria,2022-12-02,Johnson&Johnson,529075
Bulgaria,2022-12-09,Johnson&Johnson,529164
Bulgaria,2022-12-16,Johnson&Johnson,529255
Bulgaria,2022-12-23,Johnson&Johnson,529350
Bulgaria,2022-12-30,Johnson&Johnson,529532
Bulgaria,2023-01-06,Johnson&Johnson,529653
Bulgaria,2023-01-13,Johnson&Johnson,529800
Bulgaria,2023-01-20,Johnson&Johnson,529924
Bulgaria,2023-01-27,Johnson&Johnson,530022
Bulgaria,2023-02-03,Johnson&Johnson,530124
Bulgaria,2023-02-10,Johnson&Johnson,530219
Bulgaria,2023-02-17,Johnson&Johnson,530315
Bulgaria,2023-02-24,Johnson&Johnson,530406
Bulgaria,2023-03-03,Johnson&Johnson,530463
Bulgaria,2023-03-10,Johnson&Johnson,530557
Bulgaria,2023-03-17,Johnson&Johnson,530670
Bulgaria,2023-03-24,Johnson&Johnson,530750
Bulgaria,2023-03-31,Johnson&Johnson,530868
Bulgaria,2023-04-07,Johnson&Johnson,530986
Bulgaria,2023-04-14,Johnson&Johnson,531082
Bulgaria,2023-04-21,Johnson&Johnson,531230
Bulgaria,2023-04-28,Johnson&Johnson,531485
Bulgaria,2023-05-05,Johnson&Johnson,531592
Bulgaria,2023-05-12,Johnson&Johnson,531629
Bulgaria,2023-05-19,Johnson&Johnson,531656
Bulgaria,2023-05-26,Johnson&Johnson,531673
Bulgaria,2023-06-02,Johnson&Johnson,531690
Bulgaria,2023-06-09,Johnson&Johnson,531701
Bulgaria,2023-06-16,Johnson&Johnson,531726
Bulgaria,2023-06-23,Johnson&Johnson,531743
Bulgaria,2023-06-30,Johnson&Johnson,531760
Bulgaria,2023-07-07,Johnson&Johnson,531777
Bulgaria,2023-07-14,Johnson&Johnson,531785
Bulgaria,2023-07-21,Johnson&Johnson,531791
Bulgaria,2023-07-28,Johnson&Johnson,531802
Bulgaria,2023-08-04,Johnson&Johnson,531805
Bulgaria,2021-01-08,Moderna,0
Bulgaria,2021-01-15,Moderna,491
Bulgaria,2021-01-22,Moderna,843
Bulgaria,2021-01-29,Moderna,1053
Bulgaria,2021-02-05,Moderna,2207
Bulgaria,2021-02-12,Moderna,3333
Bulgaria,2021-02-19,Moderna,6446
Bulgaria,2021-02-26,Moderna,10475
Bulgaria,2021-03-05,Moderna,14820
Bulgaria,2021-03-12,Moderna,16988
Bulgaria,2021-03-19,Moderna,20921
Bulgaria,2021-03-26,Moderna,34004
Bulgaria,2021-04-02,Moderna,44809
Bulgaria,2021-04-09,Moderna,59160
Bulgaria,2021-04-16,Moderna,74318
Bulgaria,2021-04-23,Moderna,93241
Bulgaria,2021-04-30,Moderna,108865
Bulgaria,2021-05-07,Moderna,122688
Bulgaria,2021-05-14,Moderna,145571
Bulgaria,2021-05-21,Moderna,165767
Bulgaria,2021-05-28,Moderna,181502
Bulgaria,2021-06-04,Moderna,190457
Bulgaria,2021-06-11,Moderna,202790
Bulgaria,2021-06-18,Moderna,216449
Bulgaria,2021-06-25,Moderna,225764
Bulgaria,2021-07-02,Moderna,234086
Bulgaria,2021-07-09,Moderna,241903
Bulgaria,2021-07-16,Moderna,248001
Bulgaria,2021-07-23,Moderna,252810
Bulgaria,2021-07-30,Moderna,258129
Bulgaria,2021-08-06,Moderna,263950
Bulgaria,2021-08-13,Moderna,269401
Bulgaria,2021-08-20,Moderna,274759
Bulgaria,2021-08-27,Moderna,280393
Bulgaria,2021-09-03,Moderna,286004
Bulgaria,2021-09-10,Moderna,290475
Bulgaria,2021-09-17,Moderna,295088
Bulgaria,2021-09-24,Moderna,298771
Bulgaria,2021-10-01,Moderna,302454
Bulgaria,2021-10-08,Moderna,305331
Bulgaria,2021-10-15,Moderna,308556
Bulgaria,2021-10-22,Moderna,315021
Bulgaria,2021-10-29,Moderna,324072
Bulgaria,2021-11-05,Moderna,332428
Bulgaria,2021-11-12,Moderna,340090
Bulgaria,2021-11-19,Moderna,350165
Bulgaria,2021-11-26,Moderna,363268
Bulgaria,2021-12-03,Moderna,376850
Bulgaria,2021-12-10,Moderna,388824
Bulgaria,2021-12-17,Moderna,400862
Bulgaria,2021-12-24,Moderna,408650
Bulgaria,2021-12-31,Moderna,414300
Bulgaria,2022-01-07,Moderna,435287
Bulgaria,2022-01-14,Moderna,455844
Bulgaria,2022-01-21,Moderna,467316
Bulgaria,2022-01-28,Moderna,473069
Bulgaria,2022-02-04,Moderna,478158
Bulgaria,2022-02-11,Moderna,482349
Bulgaria,2022-02-18,Moderna,485755
Bulgaria,2022-02-25,Moderna,487978
Bulgaria,2022-03-04,Moderna,489241
Bulgaria,2022-03-11,Moderna,490516
Bulgaria,2022-03-18,Moderna,491663
Bulgaria,2022-03-25,Moderna,492733
Bulgaria,2022-04-01,Moderna,493580
Bulgaria,2022-04-08,Moderna,494428
Bulgaria,2022-04-15,Moderna,495290
Bulgaria,2022-04-22,Moderna,495639
Bulgaria,2022-04-29,Moderna,496060
