location,date,vaccine,total_vaccinations
Croatia,2021-01-15,Johnson&Johnson,1
Croatia,2021-01-29,Johnson&Johnson,2
Croatia,2021-02-05,Johnson&Johnson,4
Croatia,2021-02-12,Johnson&Johnson,5
Croatia,2021-02-19,Johnson&Johnson,7
Croatia,2021-03-05,Johnson&Johnson,11
Croatia,2021-03-12,Johnson&Johnson,28
Croatia,2021-03-19,Johnson&Johnson,43
Croatia,2021-03-26,Johnson&Johnson,55
Croatia,2021-04-02,Johnson&Johnson,74
Croatia,2021-04-09,Johnson&Johnson,120
Croatia,2021-04-16,Johnson&Johnson,131
Croatia,2021-04-23,Johnson&Johnson,132
Croatia,2021-04-30,Johnson&Johnson,858
Croatia,2021-05-07,Johnson&Johnson,3669
Croatia,2021-05-14,Johnson&Johnson,6289
Croatia,2021-05-21,Johnson&Johnson,9730
Croatia,2021-05-28,Johnson&Johnson,13068
Croatia,2021-06-04,Johnson&Johnson,15380
Croatia,2021-06-11,Johnson&Johnson,18378
Croatia,2021-06-18,Johnson&Johnson,20909
Croatia,2021-06-25,Johnson&Johnson,23058
Croatia,2021-07-02,Johnson&Johnson,26106
Croatia,2021-07-09,Johnson&Johnson,31780
Croatia,2021-07-16,Johnson&Johnson,39437
Croatia,2021-07-23,Johnson&Johnson,47045
Croatia,2021-07-30,Johnson&Johnson,54396
Croatia,2021-08-06,Johnson&Johnson,58222
Croatia,2021-08-13,Johnson&Johnson,62196
Croatia,2021-08-20,Johnson&Johnson,66628
Croatia,2021-08-27,Johnson&Johnson,71737
Croatia,2021-09-03,Johnson&Johnson,77362
Croatia,2021-09-10,Johnson&Johnson,81705
Croatia,2021-09-17,Johnson&Johnson,88110
Croatia,2021-09-24,Johnson&Johnson,94642
Croatia,2021-10-01,Johnson&Johnson,100737
Croatia,2021-10-08,Johnson&Johnson,106621
Croatia,2021-10-15,Johnson&Johnson,110561
Croatia,2021-10-22,Johnson&Johnson,114120
Croatia,2021-10-29,Johnson&Johnson,119859
Croatia,2021-11-05,Johnson&Johnson,127635
Croatia,2021-11-12,Johnson&Johnson,146219
Croatia,2021-11-19,Johnson&Johnson,164533
Croatia,2021-11-26,Johnson&Johnson,176129
Croatia,2021-12-03,Johnson&Johnson,181443
Croatia,2021-12-10,Johnson&Johnson,184782
Croatia,2021-12-17,Johnson&Johnson,187409
Croatia,2021-12-24,Johnson&Johnson,188902
Croatia,2021-12-31,Johnson&Johnson,190323
Croatia,2022-01-07,Johnson&Johnson,191999
Croatia,2022-01-14,Johnson&Johnson,194137
Croatia,2022-01-21,Johnson&Johnson,195879
Croatia,2022-01-28,Johnson&Johnson,197165
Croatia,2022-02-04,Johnson&Johnson,198188
Croatia,2022-02-11,Johnson&Johnson,199086
Croatia,2022-02-18,Johnson&Johnson,199973
Croatia,2022-02-25,Johnson&Johnson,200637
Croatia,2022-03-04,Johnson&Johnson,200984
Croatia,2022-03-11,Johnson&Johnson,201287
Croatia,2022-03-18,Johnson&Johnson,201484
Croatia,2022-03-25,Johnson&Johnson,201685
Croatia,2022-04-01,Johnson&Johnson,201862
Croatia,2022-04-08,Johnson&Johnson,202075
Croatia,2022-04-15,Johnson&Johnson,202218
Croatia,2022-04-22,Johnson&Johnson,202357
Croatia,2022-04-29,Johnson&Johnson,202527
Croatia,2022-05-06,Johnson&Johnson,202654
Croatia,2022-05-13,Johnson&Johnson,202791
Croatia,2022-05-20,Johnson&Johnson,202893
Croatia,2022-05-27,Johnson&Johnson,202993
Croatia,2022-06-03,Johnson&Johnson,203097
Croatia,2022-06-10,Johnson&Johnson,203180
Croatia,2022-06-17,Johnson&Johnson,203267
Croatia,2022-06-24,Johnson&Johnson,203341
Croatia,2022-07-01,Johnson&Johnson,203446
Croatia,2022-07-08,Johnson&Johnson,203523
Croatia,2022-07-15,Johnson&Johnson,203637
Croatia,2022-07-22,Johnson&Johnson,203740
Croatia,2022-07-29,Johnson&Johnson,203822
Croatia,2022-08-05,Johnson&Johnson,203921
Croatia,2022-08-12,Johnson&Johnson,204029
Croatia,2022-08-19,Johnson&Johnson,204107
Croatia,2022-08-26,Johnson&Johnson,204187
Croatia,2022-09-02,Johnson&Johnson,204302
Croatia,2022-09-09,Johnson&Johnson,204382
Croatia,2022-09-16,Johnson&Johnson,204458
Croatia,2022-09-23,Johnson&Johnson,204534
Croatia,2022-09-30,Johnson&Johnson,204599
Croatia,2022-10-07,Johnson&Johnson,204684
Croatia,2022-10-14,Johnson&Johnson,204755
Croatia,2022-10-21,Johnson&Johnson,204797
Croatia,2022-10-28,Johnson&Johnson,204851
Croatia,2022-11-04,Johnson&Johnson,204883
Croatia,2022-11-11,Johnson&Johnson,204935
Croatia,2022-11-18,Johnson&Johnson,204980
Croatia,2022-11-25,Johnson&Johnson,205032
Croatia,2022-12-02,Johnson&Johnson,205071
Croatia,2022-12-09,Johnson&Johnson,205122
Croatia,2022-12-16,Johnson&Johnson,205149
Croatia,2022-12-23,Johnson&Johnson,205176
Croatia,2022-12-30,Johnson&Johnson,205199
Croatia,2023-01-06,Johnson&Johnson,205214
