location,date,vaccine,total_vaccinations
Cyprus,2021-04-16,Johnson&Johnson,0
Cyprus,2021-04-30,Johnson&Johnson,1188
Cyprus,2021-05-07,Johnson&Johnson,2249
Cyprus,2021-05-14,Johnson&Johnson,5662
Cyprus,2021-06-11,Johnson&Johnson,6062
Cyprus,2021-06-18,Johnson&Johnson,12893
Cyprus,2021-06-25,Johnson&Johnson,14120
Cyprus,2021-07-02,Johnson&Johnson,14538
Cyprus,2021-07-09,Johnson&Johnson,14983
Cyprus,2021-07-16,Johnson&Johnson,16069
Cyprus,2021-07-23,Johnson&Johnson,17238
Cyprus,2021-07-30,Johnson&Johnson,17941
Cyprus,2021-08-06,Johnson&Johnson,18413
Cyprus,2021-08-13,Johnson&Johnson,18707
Cyprus,2021-08-20,Johnson&Johnson,19289
Cyprus,2021-08-27,Johnson&Johnson,19609
Cyprus,2021-09-03,Johnson&Johnson,19899
Cyprus,2021-09-10,Johnson&Johnson,20125
Cyprus,2021-09-17,Johnson&Johnson,20396
Cyprus,2021-09-24,Johnson&Johnson,20497
Cyprus,2021-10-01,Johnson&Johnson,20824
Cyprus,2021-10-08,Johnson&Johnson,20854
Cyprus,2021-10-15,Johnson&Johnson,20884
Cyprus,2021-10-22,Johnson&Johnson,20992
Cyprus,2021-10-29,Johnson&Johnson,21082
Cyprus,2021-11-05,Johnson&Johnson,21171
Cyprus,2021-11-12,Johnson&Johnson,21316
Cyprus,2021-11-19,Johnson&Johnson,21521
Cyprus,2021-11-26,Johnson&Johnson,21906
Cyprus,2021-12-03,Johnson&Johnson,22656
Cyprus,2021-12-10,Johnson&Johnson,23569
Cyprus,2021-12-17,Johnson&Johnson,24767
Cyprus,2021-12-24,Johnson&Johnson,25849
Cyprus,2021-12-31,Johnson&Johnson,26550
Cyprus,2022-01-07,Johnson&Johnson,26780
Cyprus,2022-01-14,Johnson&Johnson,27670
Cyprus,2022-01-21,Johnson&Johnson,28415
Cyprus,2022-01-28,Johnson&Johnson,29058
Cyprus,2022-02-04,Johnson&Johnson,29481
Cyprus,2022-02-11,Johnson&Johnson,29758
Cyprus,2022-02-18,Johnson&Johnson,30029
Cyprus,2022-02-25,Johnson&Johnson,30283
Cyprus,2022-03-04,Johnson&Johnson,30429
Cyprus,2022-03-11,Johnson&Johnson,30513
Cyprus,2022-03-18,Johnson&Johnson,30595
Cyprus,2022-03-25,Johnson&Johnson,30615
Cyprus,2022-04-01,Johnson&Johnson,30623
Cyprus,2022-04-08,Johnson&Johnson,30713
Cyprus,2022-04-15,Johnson&Johnson,30748
Cyprus,2022-04-22,Johnson&Johnson,30755
Cyprus,2022-04-29,Johnson&Johnson,30780
Cyprus,2022-05-06,Johnson&Johnson,30791
Cyprus,2022-05-13,Johnson&Johnson,30809
Cyprus,2022-05-20,Johnson&Johnson,30818
Cyprus,2022-05-27,Johnson&Johnson,30824
Cyprus,2022-06-10,Johnson&Johnson,30833
Cyprus,2022-06-17,Johnson&Johnson,30844
Cyprus,2022-06-24,Johnson&Johnson,30859
Cyprus,2022-07-01,Johnson&Johnson,30869
Cyprus,2022-07-08,Johnson&Johnson,30877
Cyprus,2022-07-15,Johnson&Johnson,30884
Cyprus,2022-07-22,Johnson&Johnson,30896
Cyprus,2022-07-29,Johnson&Johnson,30908
Cyprus,2022-08-05,Johnson&Johnson,30917
Cyprus,2022-08-12,Johnson&Johnson,30923
Cyprus,2022-08-19,Johnson&Johnson,30930
Cyprus,2022-08-26,Johnson&Johnson,30936
Cyprus,2022-09-02,Johnson&Johnson,30942
Cyprus,2022-09-09,Johnson&Johnson,30945
Cyprus,2022-09-16,Johnson&Johnson,30953
Cyprus,2022-09-23,Johnson&Johnson,30959
Cyprus,2022-09-30,Johnson&Johnson,30965
Cyprus,2022-10-07,Johnson&Johnson,30967
Cyprus,2022-10-14,Johnson&Johnson,30970
Cyprus,2022-10-21,Johnson&Johnson,30974
Cyprus,2022-11-04,Johnson&Johnson,30978
Cyprus,2022-11-11,Johnson&Johnson,30984
Cyprus,2022-11-18,Johnson&Johnson,30989
Cyprus,2022-11-25,Johnson&Johnson,30990
Cyprus,2022-12-02,Johnson&Johnson,30993
Cyprus,2022-12-09,Johnson&Johnson,30998
Cyprus,2022-12-16,Johnson&Johnson,31003
Cyprus,2022-12-23,Johnson&Johnson,31005
Cyprus,2022-12-30,Johnson&Johnson,31008
Cyprus,2023-01-20,Johnson&Johnson,31009
Cyprus,2023-01-27,Johnson&Johnson,31012
Cyprus,2023-02-03,Johnson&Johnson,31016
Cyprus,2023-02-10,Johnson&Johnson,31022
Cyprus,2023-02-17,Johnson&Johnson,31024
Cyprus,2023-02-24,Johnson&Johnson,31029
Cyprus,2023-03-03,Johnson&Johnson,31035
Cyprus,2023-03-10,Johnson&Johnson,31041
Cyprus,2023-03-17,Johnson&Johnson,31042
Cyprus,2023-03-24,Johnson&Johnson,31047
Cyprus,2023-03-31,Johnson&Johnson,31049
Cyprus,2023-04-07,Johnson&Johnson,31052
Cyprus,2023-04-14,Johnson&Johnson,31053
Cyprus,2023-04-21,Johnson&Johnson,31055
Cyprus,2023-06-09,Johnson&Johnson,31056
Cyprus,2023-06-23,Johnson&Johnson,31064
Cyprus,2023-07-07,Johnson&Johnson,31066
Cyprus,2021-01-15,Moderna,0
Cyprus,2021-01-22,Moderna,210
Cyprus,2021-01-29,Moderna,420
Cyprus,2021-02-12,Moderna,421
Cyprus,2021-02-19,Moderna,741
Cyprus,2021-02-26,Moderna,951
Cyprus,2021-03-05,Moderna,1301
Cyprus,2021-03-12,Moderna,4195
Cyprus,2021-03-19,Moderna,4304
Cyprus,2021-04-02,Moderna,6547
Cyprus,2021-04-09,Moderna,12456
Cyprus,2021-04-16,Moderna,13236
Cyprus,2021-04-30,Moderna,15635
Cyprus,2021-05-07,Moderna,21442
Cyprus,2021-05-14,Moderna,28322
Cyprus,2021-05-21,Moderna,37412
Cyprus,2021-05-28,Moderna,44461
Cyprus,2021-06-04,Moderna,48348
Cyprus,2021-06-11,Moderna,54602
Cyprus,2021-06-18,Moderna,63102
Cyprus,2021-06-25,Moderna,70093
Cyprus,2021-07-02,Moderna,72330
Cyprus,2021-07-09,Moderna,73098
Cyprus,2021-07-16,Moderna,74634
