location,date,vaccine,total_vaccinations
Denmark,2021-01-08,Johnson&Johnson,3
Denmark,2021-01-15,Johnson&Johnson,4
Denmark,2021-01-22,Johnson&Johnson,5
Denmark,2021-02-19,Johnson&Johnson,6
Denmark,2021-03-05,Johnson&Johnson,12
Denmark,2021-03-12,Johnson&Johnson,21
Denmark,2021-03-19,Johnson&Johnson,78
Denmark,2021-03-26,Johnson&Johnson,122
Denmark,2021-04-02,Johnson&Johnson,179
Denmark,2021-04-09,Johnson&Johnson,318
Denmark,2021-04-16,Johnson&Johnson,336
Denmark,2021-04-23,Johnson&Johnson,338
Denmark,2021-04-30,Johnson&Johnson,382
Denmark,2021-05-07,Johnson&Johnson,438
Denmark,2021-05-14,Johnson&Johnson,532
Denmark,2021-05-21,Johnson&Johnson,689
Denmark,2021-05-28,Johnson&Johnson,1613
Denmark,2021-06-04,Johnson&Johnson,10856
Denmark,2021-06-11,Johnson&Johnson,29071
Denmark,2021-06-18,Johnson&Johnson,38384
Denmark,2021-06-25,Johnson&Johnson,41865
Denmark,2021-07-02,Johnson&Johnson,43546
Denmark,2021-07-09,Johnson&Johnson,44102
Denmark,2021-07-16,Johnson&Johnson,44391
Denmark,2021-07-23,Johnson&Johnson,44616
Denmark,2021-07-30,Johnson&Johnson,44737
Denmark,2021-08-06,Johnson&Johnson,44844
Denmark,2021-08-13,Johnson&Johnson,44921
Denmark,2021-08-20,Johnson&Johnson,44975
Denmark,2021-08-27,Johnson&Johnson,45043
Denmark,2021-09-03,Johnson&Johnson,45073
Denmark,2021-09-10,Johnson&Johnson,45083
Denmark,2021-09-17,Johnson&Johnson,45100
Denmark,2021-09-24,Johnson&Johnson,45112
Denmark,2021-10-01,Johnson&Johnson,45135
Denmark,2021-10-08,Johnson&Johnson,45155
Denmark,2021-10-15,Johnson&Johnson,45174
Denmark,2021-10-22,Johnson&Johnson,45197
Denmark,2021-10-29,Johnson&Johnson,45215
Denmark,2021-11-05,Johnson&Johnson,45225
Denmark,2021-11-12,Johnson&Johnson,45243
Denmark,2021-11-19,Johnson&Johnson,45269
Denmark,2021-11-26,Johnson&Johnson,45291
Denmark,2021-12-03,Johnson&Johnson,45336
Denmark,2021-12-10,Johnson&Johnson,45359
Denmark,2021-12-17,Johnson&Johnson,45377
Denmark,2021-12-24,Johnson&Johnson,45392
Denmark,2021-12-31,Johnson&Johnson,45399
Denmark,2022-01-07,Johnson&Johnson,45415
Denmark,2022-01-14,Johnson&Johnson,45422
Denmark,2022-01-21,Johnson&Johnson,45428
Denmark,2022-01-28,Johnson&Johnson,45436
Denmark,2022-02-04,Johnson&Johnson,45440
Denmark,2022-02-11,Johnson&Johnson,45441
Denmark,2022-02-25,Johnson&Johnson,45447
Denmark,2022-03-04,Johnson&Johnson,45450
Denmark,2022-03-11,Johnson&Johnson,45457
Denmark,2022-03-18,Johnson&Johnson,45459
Denmark,2022-03-25,Johnson&Johnson,45463
Denmark,2022-04-01,Johnson&Johnson,45465
Denmark,2022-04-08,Johnson&Johnson,45471
Denmark,2022-04-15,Johnson&Johnson,45475
Denmark,2022-04-22,Johnson&Johnson,45479
Denmark,2022-04-29,Johnson&Johnson,45482
Denmark,2022-05-06,Johnson&Johnson,45485
Denmark,2022-05-13,Johnson&Johnson,45488
Denmark,2022-05-20,Johnson&Johnson,45492
Denmark,2022-05-27,Johnson&Johnson,45497
Denmark,2022-06-03,Johnson&Johnson,45503
Denmark,2022-06-10,Johnson&Johnson,45507
Denmark,2022-06-17,Johnson&Johnson,45511
Denmark,2022-06-24,Johnson&Johnson,45514
Denmark,2022-07-08,Johnson&Johnson,45520
Denmark,2022-07-15,Johnson&Johnson,45526
Denmark,2022-07-29,Johnson&Johnson,45527
Denmark,2022-08-05,Johnson&Johnson,45531
Denmark,2022-08-12,Johnson&Johnson,45534
Denmark,2022-08-19,Johnson&Johnson,45540
Denmark,2022-08-26,Johnson&Johnson,45542
Denmark,2022-09-02,Johnson&Johnson,45547
Denmark,2022-09-09,Johnson&Johnson,45552
Denmark,2022-09-16,Johnson&Johnson,45561
Denmark,2022-09-23,Johnson&Johnson,45566
Denmark,2022-09-30,Johnson&Johnson,45570
Denmark,2022-10-07,Johnson&Johnson,45582
Denmark,2022-10-14,Johnson&Johnson,45586
Denmark,2022-10-21,Johnson&Johnson,45591
Denmark,2022-11-04,Johnson&Johnson,45593
Denmark,2022-11-11,Johnson&Johnson,45596
Denmark,2022-11-18,Johnson&Johnson,45600
Denmark,2022-11-25,Johnson&Johnson,45605
Denmark,2022-12-16,Johnson&Johnson,45606
Denmark,2022-12-23,Johnson&Johnson,45607
Denmark,2022-12-30,Johnson&Johnson,45608
Denmark,2023-01-13,Johnson&Johnson,45612
Denmark,2023-02-10,Johnson&Johnson,45614
Denmark,2023-02-17,Johnson&Johnson,45615
Denmark,2023-02-24,Johnson&Johnson,45621
Denmark,2023-03-03,Johnson&Johnson,45622
Denmark,2023-03-10,Johnson&Johnson,45623
Denmark,2023-03-17,Johnson&Johnson,45624
Denmark,2023-03-24,Johnson&Johnson,45625
Denmark,2023-03-31,Johnson&Johnson,45626
Denmark,2023-04-07,Johnson&Johnson,45627
Denmark,2023-04-14,Johnson&Johnson,45628
Denmark,2023-04-21,Johnson&Johnson,45629
Denmark,2023-06-02,Johnson&Johnson,45630
Denmark,2021-01-01,Moderna,1
Denmark,2021-01-08,Moderna,20
Denmark,2021-01-15,Moderna,978
Denmark,2021-01-22,Moderna,2378
Denmark,2021-01-29,Moderna,2440
Denmark,2021-02-05,Moderna,4962
Denmark,2021-02-12,Moderna,9897
Denmark,2021-02-19,Moderna,11480
Denmark,2021-02-26,Moderna,12973
