location,date,vaccine,total_vaccinations
Estonia,2021-04-16,Johnson&Johnson,0
Estonia,2021-04-30,Johnson&Johnson,35
Estonia,2021-05-07,Johnson&Johnson,346
Estonia,2021-05-14,Johnson&Johnson,1082
Estonia,2021-05-21,Johnson&Johnson,5771
Estonia,2021-05-28,Johnson&Johnson,11205
Estonia,2021-06-04,Johnson&Johnson,15068
Estonia,2021-06-11,Johnson&Johnson,16364
Estonia,2021-06-18,Johnson&Johnson,18944
Estonia,2021-06-25,Johnson&Johnson,20441
Estonia,2021-07-02,Johnson&Johnson,23682
Estonia,2021-07-09,Johnson&Johnson,25874
Estonia,2021-07-16,Johnson&Johnson,29736
Estonia,2021-07-23,Johnson&Johnson,33973
Estonia,2021-07-30,Johnson&Johnson,36869
Estonia,2021-08-06,Johnson&Johnson,40528
Estonia,2021-08-13,Johnson&Johnson,43642
Estonia,2021-08-20,Johnson&Johnson,44668
Estonia,2021-08-27,Johnson&Johnson,45225
Estonia,2021-09-03,Johnson&Johnson,45726
Estonia,2021-09-10,Johnson&Johnson,45974
Estonia,2021-09-17,Johnson&Johnson,47370
Estonia,2021-09-24,Johnson&Johnson,49668
Estonia,2021-10-01,Johnson&Johnson,51622
Estonia,2021-10-08,Johnson&Johnson,53148
Estonia,2021-10-15,Johnson&Johnson,55105
Estonia,2021-10-22,Johnson&Johnson,59208
Estonia,2021-10-29,Johnson&Johnson,63461
Estonia,2021-11-05,Johnson&Johnson,66541
Estonia,2021-11-12,Johnson&Johnson,68350
Estonia,2021-11-19,Johnson&Johnson,69849
Estonia,2021-11-26,Johnson&Johnson,71128
Estonia,2021-12-03,Johnson&Johnson,72268
Estonia,2021-12-10,Johnson&Johnson,73319
Estonia,2021-12-17,Johnson&Johnson,74148
Estonia,2021-12-24,Johnson&Johnson,74690
Estonia,2021-12-31,Johnson&Johnson,75268
Estonia,2022-01-07,Johnson&Johnson,75929
Estonia,2022-01-14,Johnson&Johnson,76383
Estonia,2022-01-21,Johnson&Johnson,76759
Estonia,2022-01-28,Johnson&Johnson,77012
Estonia,2022-02-04,Johnson&Johnson,77183
Estonia,2022-02-11,Johnson&Johnson,77307
Estonia,2022-02-18,Johnson&Johnson,77401
Estonia,2022-02-25,Johnson&Johnson,77508
Estonia,2022-03-04,Johnson&Johnson,77580
Estonia,2022-03-11,Johnson&Johnson,77658
Estonia,2022-03-18,Johnson&Johnson,77711
Estonia,2022-03-25,Johnson&Johnson,77757
Estonia,2022-04-01,Johnson&Johnson,77802
Estonia,2022-04-08,Johnson&Johnson,77827
Estonia,2022-04-15,Johnson&Johnson,77856
Estonia,2022-04-22,Johnson&Johnson,77899
Estonia,2022-04-29,Johnson&Johnson,77932
Estonia,2022-05-06,Johnson&Johnson,77986
Estonia,2022-05-13,Johnson&Johnson,78033
Estonia,2022-05-20,Johnson&Johnson,78067
Estonia,2022-05-27,Johnson&Johnson,78109
Estonia,2022-06-03,Johnson&Johnson,78133
Estonia,2022-06-10,Johnson&Johnson,78162
Estonia,2022-06-17,Johnson&Johnson,78194
Estonia,2022-06-24,Johnson&Johnson,78215
Estonia,2022-07-01,Johnson&Johnson,78244
Estonia,2022-07-08,Johnson&Johnson,78282
Estonia,2022-07-15,Johnson&Johnson,78318
Estonia,2022-07-22,Johnson&Johnson,78371
Estonia,2022-07-29,Johnson&Johnson,78422
Estonia,2022-08-05,Johnson&Johnson,78480
Estonia,2022-08-12,Johnson&Johnson,78545
Estonia,2022-08-19,Johnson&Johnson,78608
Estonia,2022-08-26,Johnson&Johnson,78649
Estonia,2022-09-02,Johnson&Johnson,78694
Estonia,2022-09-09,Johnson&Johnson,78734
Estonia,2022-09-16,Johnson&Johnson,78776
Estonia,2022-09-23,Johnson&Johnson,78794
Estonia,2022-09-30,Johnson&Johnson,78825
Estonia,2022-10-07,Johnson&Johnson,78846
Estonia,2022-10-14,Johnson&Johnson,78866
Estonia,2022-10-21,Johnson&Johnson,78876
Estonia,2022-10-28,Johnson&Johnson,78888
Estonia,2022-11-04,Johnson&Johnson,78897
Estonia,2022-11-11,Johnson&Johnson,78909
Estonia,2022-11-18,Johnson&Johnson,78922
Estonia,2022-11-25,Johnson&Johnson,78932
Estonia,2022-12-02,Johnson&Johnson,78942
Estonia,2022-12-09,Johnson&Johnson,78956
Estonia,2022-12-16,Johnson&Johnson,78962
Estonia,2022-12-23,Johnson&Johnson,78965
Estonia,2022-12-30,Johnson&Johnson,78971
Estonia,2023-01-06,Johnson&Johnson,78996
Estonia,2023-01-13,Johnson&Johnson,79014
Estonia,2023-01-20,Johnson&Johnson,79025
Estonia,2023-01-27,Johnson&Johnson,79032
Estonia,2023-02-03,Johnson&Johnson,79040
Estonia,2023-02-10,Johnson&Johnson,79051
Estonia,2023-02-17,Johnson&Johnson,79054
Estonia,2023-03-03,Johnson&Johnson,79059
Estonia,2023-03-10,Johnson&Johnson,79063
Estonia,2023-03-17,Johnson&Johnson,79071
Estonia,2023-03-24,Johnson&Johnson,79077
Estonia,2023-03-31,Johnson&Johnson,79086
Estonia,2023-04-07,Johnson&Johnson,79087
Estonia,2023-04-14,Johnson&Johnson,79089
Estonia,2023-04-21,Johnson&Johnson,79094
Estonia,2023-04-28,Johnson&Johnson,79095
Estonia,2023-05-05,Johnson&Johnson,79100
Estonia,2023-05-12,Johnson&Johnson,79101
Estonia,2023-07-14,Johnson&Johnson,79102
Estonia,2023-07-28,Johnson&Johnson,79103
Estonia,2021-01-15,Moderna,0
Estonia,2021-01-22,Moderna,438
Estonia,2021-01-29,Moderna,810
Estonia,2021-02-05,Moderna,1346
Estonia,2021-02-12,Moderna,2105
Estonia,2021-02-19,Moderna,2587
Estonia,2021-02-26,Moderna,3341
Estonia,2021-03-05,Moderna,5798
Estonia,2021-03-12,Moderna,9386
Estonia,2021-03-19,Moderna,11975
Estonia,2021-03-26,Moderna,14257
Estonia,2021-04-02,Moderna,17609
Estonia,2021-04-09,Moderna,22663
Estonia,2021-04-16,Moderna,26407
Estonia,2021-04-23,Moderna,31174
Estonia,2021-04-30,Moderna,36201
Estonia,2021-05-07,Moderna,40985
Estonia,2021-05-14,Moderna,46708
Estonia,2021-05-21,Moderna,57634
Estonia,2021-05-28,Moderna,66175
Estonia,2021-06-04,Moderna,71677
Estonia,2021-06-11,Moderna,78874
Estonia,2021-06-18,Moderna,87255
Estonia,2021-06-25,Moderna,91093
Estonia,2021-07-02,Moderna,95669
Estonia,2021-07-09,Moderna,99232
Estonia,2021-07-16,Moderna,101527
Estonia,2021-07-23,Moderna,103735
Estonia,2021-07-30,Moderna,106804
Estonia,2021-08-06,Moderna,109931
Estonia,2021-08-13,Moderna,114630
Estonia,2021-08-20,Moderna,119362
Estonia,2021-08-27,Moderna,125128
Estonia,2021-09-03,Moderna,129362
Estonia,2021-09-10,Moderna,134351
Estonia,2021-09-17,Moderna,139188
Estonia,2021-09-24,Moderna,143773
Estonia,2021-10-01,Moderna,146986
Estonia,2021-10-08,Moderna,149482
Estonia,2021-10-15,Moderna,151792
Estonia,2021-10-22,Moderna,154267
Estonia,2021-10-29,Moderna,156677
Estonia,2021-11-05,Moderna,160601
Estonia,2021-11-12,Moderna,165786
Estonia,2021-11-19,Moderna,172314
Estonia,2021-11-26,Moderna,177644
Estonia,2021-12-03,Moderna,182793
Estonia,2021-12-10,Moderna,187582
Estonia,2021-12-17,Moderna,193513
Estonia,2021-12-24,Moderna,198281
Estonia,2021-12-31,Moderna,204116
Estonia,2022-01-07,Moderna,210578
Estonia,2022-01-14,Moderna,217221
Estonia,2022-01-21,Moderna,222157
Estonia,2022-01-28,Moderna,226008
Estonia,2022-02-04,Moderna,228424
Estonia,2022-02-11,Moderna,229961
Estonia,2022-02-18,Moderna,231104
Estonia,2022-02-25,Moderna,232216
Estonia,2022-03-04,Moderna,233176
Estonia,2022-03-11,Moderna,233902
Estonia,2022-03-18,Moderna,234388
Estonia,2022-03-25,Moderna,234851
Estonia,2022-04-01,Moderna,235320
Estonia,2022-04-08,Moderna,235660
Estonia,2022-04-15,Moderna,235986
Estonia,2022-04-22,Moderna,236264
Estonia,2022-04-29,Moderna,236528
Estonia,2022-05-06,Moderna,236736
Estonia,2022-05-13,Moderna,236921
Estonia,2022-05-20,Moderna,237095
Estonia,2022-05-27,Moderna,237258
Estonia,2022-06-03,Moderna,237405
Estonia,2022-06-10,Moderna,237532
Estonia,2022-06-17,Moderna,237647
Estonia,2022-06-24,Moderna,237710
Estonia,2022-07-01,Moderna,237810
Estonia,2022-07-08,Moderna,237913
Estonia,2022-07-15,Moderna,238025
Estonia,2022-07-22,Moderna,238218
Estonia,2022-07-29,Moderna,238314
Estonia,2022-08-05,Moderna,238398
Estonia,2022-08-12,Moderna,238468
Estonia,2022-08-19,Moderna,238506
Estonia,2022-09-02,Moderna,238509
Estonia,2022-09-16,Moderna,238550
Estonia,2022-09-23,Moderna,238990
Estonia,2022-09-30,Moderna,239696
Estonia,2022-10-07,Moderna,240350
Estonia,2022-10-14,Moderna,240784
Estonia,2022-10-21,Moderna,241217
Estonia,2022-10-28,Moderna,241611
Estonia,2022-11-04,Moderna,242119
Estonia,2022-11-11,Moderna,242530
Estonia,2022-11-18,Moderna,242764
Estonia,2022-11-25,Moderna,242992
Estonia,2022-12-02,Moderna,243162
Estonia,2022-12-09,Moderna,243308
Estonia,2022-12-16,Moderna,243471
Estonia,2022-12-23,Moderna,243613
Estonia,2022-12-30,Moderna,243699
Estonia,2023-01-06,Moderna,243757
Estonia,2023-01-13,Moderna,243892
Estonia,2023-01-20,Moderna,244028
Estonia,2023-01-27,Moderna,244134
Estonia,2023-02-03,Moderna,244205
Estonia,2023-02-10,Moderna,244274
Estonia,2023-02-17,Moderna,244321
Estonia,2023-02-24,Moderna,244345
Estonia,2023-03-03,Moderna,244386
Estonia,2023-03-10,Moderna,244432
Estonia,2023-03-17,Moderna,244459
Estonia,2023-03-24,Moderna,244499
Estonia,2023-03-31,Moderna,244521
Estonia,2023-04-07,Moderna,244532
Estonia,2023-04-14,Moderna,244555
Estonia,2023-04-21,Moderna,244559
Estonia,2023-04-28,Moderna,244581
Estonia,2023-05-05,Moderna,244592
Estonia,2023-05-12,Moderna,244598
Estonia,2023-05-19,Moderna,244600
Estonia,2023-05-26,Moderna,244611
Estonia,2023-06-02,Moderna,244618
Estonia,2023-06-09,Moderna,244623
Estonia,2023-06-16,Moderna,244625
Estonia,2023-06-23,Moderna,244628
Estonia,2023-06-30,Moderna,244630
Estonia,2023-07-21,Moderna,244632
Estonia,2023-07-28,Moderna,244634
Estonia,2023-08-04,Moderna,244636
Estonia,2023-08-18,Moderna,244644
Estonia,2023-08-25,Moderna,244650
Estonia,2023-09-01,Moderna,244651
Estonia,2022-02-25,Novavax,0
Estonia,2022-03-04,Novavax,1
Estonia,2022-03-11,Novavax,62
Estonia,2022-03-18,Novavax,151
Estonia,2022-03-25,Novavax,229
Estonia,2022-04-01,Novavax,349
Estonia,2022-04-08,Novavax,443
Estonia,2022-04-15,Novavax,507
Estonia,2022-04-22,Novavax,580
Estonia,2022-04-29,Novavax,652
Estonia,2022-05-06,Novavax,704
Estonia,2022-05-13,Novavax,763
Estonia,2022-05-20,Novavax,805
Estonia,2022-05-27,Novavax,855
Estonia,2022-06-03,Novavax,877
Estonia,2022-06-10,Novavax,910
Estonia,2022-06-17,Novavax,928
Estonia,2022-06-24,Novavax,941
Estonia,2022-07-01,Novavax,974
Estonia,2022-07-08,Novavax,1009
Estonia,2022-07-15,Novavax,1059
Estonia,2022-07-22,Novavax,1115
Estonia,2022-07-29,Novavax,1211
Estonia,2022-08-05,Novavax,1337
Estonia,2022-08-12,Novavax,1441
Estonia,2022-08-19,Novavax,1553
Estonia,2022-08-26,Novavax,1679
Estonia,2022-09-02,Novavax,1787
Estonia,2022-09-09,Novavax,1972
Estonia,2022-09-16,Novavax,2037
Estonia,2022-09-23,Novavax,2081
Estonia,2022-09-30,Novavax,2115
Estonia,2022-10-07,Novavax,2116
Estonia,2022-10-14,Novavax,2125
Estonia,2022-10-21,Novavax,2130
Estonia,2022-10-28,Novavax,2134
Estonia,2022-11-04,Novavax,2135
Estonia,2022-11-11,Novavax,2136
Estonia,2022-11-18,Novavax,2138
Estonia,2022-12-02,Novavax,2144
Estonia,2022-12-09,Novavax,2149
Estonia,2022-12-16,Novavax,2152
Estonia,2022-12-23,Novavax,2154
Estonia,2023-01-27,Novavax,2155
Estonia,2023-02-10,Novavax,2157
Estonia,2023-03-03,Novavax,2159
Estonia,2023-03-17,Novavax,2161
Estonia,2023-03-31,Novavax,2162
Estonia,2023-04-07,Novavax,2163
Estonia,2023-04-14,Novavax,2165
Estonia,2023-04-21,Novavax,2166
Estonia,2023-04-28,Novavax,2167
Estonia,2021-02-12,Oxford/AstraZeneca,0
Estonia,2021-02-19,Oxford/AstraZeneca,8083
Estonia,2021-02-26,Oxford/AstraZeneca,20656
Estonia,2021-03-05,Oxford/AstraZeneca,38999
Estonia,2021-03-12,Oxford/AstraZeneca,63852
Estonia,2021-03-19,Oxford/AstraZeneca,80119
Estonia,2021-03-26,Oxford/AstraZeneca,89547
Estonia,2021-04-02,Oxford/AstraZeneca,108391
Estonia,2021-04-09,Oxford/AstraZeneca,118415
Estonia,2021-04-16,Oxford/AstraZeneca,127820
Estonia,2021-04-23,Oxford/AstraZeneca,138023
Estonia,2021-04-30,Oxford/AstraZeneca,153834
Estonia,2021-05-07,Oxford/AstraZeneca,171231
Estonia,2021-05-14,Oxford/AstraZeneca,177990
Estonia,2021-05-21,Oxford/AstraZeneca,180883
Estonia,2021-05-28,Oxford/AstraZeneca,183007
Estonia,2021-06-04,Oxford/AstraZeneca,190427
Estonia,2021-06-11,Oxford/AstraZeneca,208215
Estonia,2021-06-18,Oxford/AstraZeneca,219369
Estonia,2021-06-25,Oxford/AstraZeneca,226475
Estonia,2021-07-02,Oxford/AstraZeneca,233986
Estonia,2021-07-09,Oxford/AstraZeneca,235651
Estonia,2021-07-16,Oxford/AstraZeneca,236158
Estonia,2021-07-23,Oxford/AstraZeneca,236473
Estonia,2021-07-30,Oxford/AstraZeneca,236852
Estonia,2021-08-06,Oxford/AstraZeneca,237142
Estonia,2021-08-13,Oxford/AstraZeneca,237364
Estonia,2021-08-20,Oxford/AstraZeneca,237545
Estonia,2021-08-27,Oxford/AstraZeneca,237722
Estonia,2021-09-03,Oxford/AstraZeneca,237802
Estonia,2021-09-10,Oxford/AstraZeneca,237855
Estonia,2021-09-17,Oxford/AstraZeneca,237898
Estonia,2021-09-24,Oxford/AstraZeneca,237925
Estonia,2021-10-01,Oxford/AstraZeneca,237939
