location,date,vaccine,total_vaccinations
Finland,2021-01-01,Johnson&Johnson,0
Finland,2021-01-01,Moderna,2
Finland,2021-01-08,Moderna,18
Finland,2021-01-15,Moderna,20
Finland,2021-01-22,Moderna,951
Finland,2021-01-29,Moderna,3523
Finland,2021-02-05,Moderna,4395
Finland,2021-02-12,Moderna,5760
Finland,2021-02-19,Moderna,10410
Finland,2021-02-26,Moderna,19206
Finland,2021-03-05,Moderna,27115
Finland,2021-03-12,Moderna,38940
Finland,2021-03-19,Moderna,42792
Finland,2021-03-26,Moderna,52886
Finland,2021-04-02,Moderna,69791
Finland,2021-04-09,Moderna,81852
Finland,2021-04-16,Moderna,104118
Finland,2021-04-23,Moderna,119124
Finland,2021-04-30,Moderna,138602
Finland,2021-05-07,Moderna,163090
Finland,2021-05-14,Moderna,189336
Finland,2021-05-21,Moderna,223225
Finland,2021-05-28,Moderna,259887
Finland,2021-06-04,Moderna,298243
Finland,2021-06-11,Moderna,327341
Finland,2021-06-18,Moderna,360316
Finland,2021-06-25,Moderna,385701
Finland,2021-07-02,Moderna,411873
Finland,2021-07-09,Moderna,443942
Finland,2021-07-16,Moderna,470054
Finland,2021-07-23,Moderna,501951
Finland,2021-07-30,Moderna,539063
Finland,2021-08-06,Moderna,584817
Finland,2021-08-13,Moderna,647266
Finland,2021-08-20,Moderna,716955
Finland,2021-08-27,Moderna,765486
Finland,2021-09-03,Moderna,801355
Finland,2021-09-10,Moderna,835252
Finland,2021-09-17,Moderna,866822
Finland,2021-09-24,Moderna,910710
Finland,2021-10-01,Moderna,950694
Finland,2021-10-08,Moderna,982035
Finland,2021-10-15,Moderna,1000221
Finland,2021-10-22,Moderna,1015572
Finland,2021-10-29,Moderna,1032988
Finland,2021-11-05,Moderna,1045430
Finland,2021-11-12,Moderna,1056460
Finland,2021-11-19,Moderna,1066871
Finland,2021-11-26,Moderna,1077282
Finland,2021-12-03,Moderna,1091454
Finland,2021-12-10,Moderna,1110871
Finland,2021-12-17,Moderna,1152582
Finland,2021-12-24,Moderna,1199162
Finland,2021-12-31,Moderna,1298122
Finland,2022-01-07,Moderna,1429942
Finland,2022-01-14,Moderna,1582979
Finland,2022-01-21,Moderna,1726691
Finland,2022-01-28,Moderna,1815024
Finland,2022-02-04,Moderna,1852457
Finland,2022-02-11,Moderna,1869693
Finland,2022-02-18,Moderna,1878960
Finland,2022-02-25,Moderna,1884699
Finland,2022-03-04,Moderna,1887963
Finland,2022-03-11,Moderna,1890699
Finland,2022-03-18,Moderna,1893044
Finland,2022-03-25,Moderna,1896073
Finland,2022-04-01,Moderna,1904782
Finland,2022-04-08,Moderna,1916875
Finland,2022-04-15,Moderna,1925054
Finland,2022-04-22,Moderna,1931577
Finland,2022-04-29,Moderna,1938221
Finland,2022-05-06,Moderna,1942817
Finland,2022-05-13,Moderna,1947601
Finland,2022-05-20,Moderna,1951697
Finland,2022-05-27,Moderna,1954368
Finland,2022-06-03,Moderna,1957546
Finland,2022-06-10,Moderna,1963048
Finland,2022-06-17,Moderna,1968440
Finland,2022-06-24,Moderna,1971204
Finland,2022-07-01,Moderna,1973620
Finland,2022-07-08,Moderna,1975986
Finland,2022-07-15,Moderna,1978993
Finland,2022-07-22,Moderna,1983250
Finland,2022-07-29,Moderna,1990266
Finland,2022-08-05,Moderna,2001074
Finland,2022-08-12,Moderna,2015807
Finland,2022-08-19,Moderna,2032386
Finland,2022-08-26,Moderna,2043722
Finland,2022-09-02,Moderna,2053684
Finland,2022-09-09,Moderna,2060646
Finland,2022-09-16,Moderna,2064224
Finland,2022-09-23,Moderna,2066118
Finland,2022-09-30,Moderna,2067197
Finland,2022-10-07,Moderna,2067827
Finland,2022-10-14,Moderna,2068253
Finland,2022-10-21,Moderna,2068379
Finland,2022-10-28,Moderna,2068405
Finland,2022-11-04,Moderna,2068409
Finland,2022-11-11,Moderna,2068461
Finland,2022-11-25,Moderna,2068463
Finland,2022-12-09,Moderna,2068469
Finland,2022-12-16,Moderna,2068470
Finland,2022-12-23,Moderna,2068471
Finland,2023-01-13,Moderna,2068472
Finland,2023-02-03,Moderna,2068473
Finland,2023-04-21,Moderna,2068474
Finland,2021-01-01,Novavax,0
Finland,2021-01-01,Oxford/AstraZeneca,0
Finland,2021-01-08,Oxford/AstraZeneca,9
Finland,2021-01-15,Oxford/AstraZeneca,11
Finland,2021-01-22,Oxford/AstraZeneca,13
Finland,2021-01-29,Oxford/AstraZeneca,15
Finland,2021-02-05,Oxford/AstraZeneca,22
Finland,2021-02-12,Oxford/AstraZeneca,4036
Finland,2021-02-19,Oxford/AstraZeneca,24317
Finland,2021-02-26,Oxford/AstraZeneca,56082
Finland,2021-03-05,Oxford/AstraZeneca,96342
Finland,2021-03-12,Oxford/AstraZeneca,140881
Finland,2021-03-19,Oxford/AstraZeneca,185349
Finland,2021-03-26,Oxford/AstraZeneca,185374
Finland,2021-04-02,Oxford/AstraZeneca,202684
Finland,2021-04-09,Oxford/AstraZeneca,243610
Finland,2021-04-16,Oxford/AstraZeneca,299826
Finland,2021-04-23,Oxford/AstraZeneca,337196
Finland,2021-04-30,Oxford/AstraZeneca,354635
Finland,2021-05-07,Oxford/AstraZeneca,360381
Finland,2021-05-14,Oxford/AstraZeneca,368034
Finland,2021-05-21,Oxford/AstraZeneca,381109
Finland,2021-05-28,Oxford/AstraZeneca,392789
Finland,2021-06-04,Oxford/AstraZeneca,405363
Finland,2021-06-11,Oxford/AstraZeneca,422333
Finland,2021-06-18,Oxford/AstraZeneca,426285
Finland,2021-06-25,Oxford/AstraZeneca,439150
Finland,2021-07-02,Oxford/AstraZeneca,471582
Finland,2021-07-09,Oxford/AstraZeneca,508186
Finland,2021-07-16,Oxford/AstraZeneca,536389
Finland,2021-07-23,Oxford/AstraZeneca,549687
Finland,2021-07-30,Oxford/AstraZeneca,552505
Finland,2021-08-06,Oxford/AstraZeneca,553201
Finland,2021-08-13,Oxford/AstraZeneca,553325
Finland,2021-08-20,Oxford/AstraZeneca,553444
Finland,2021-08-27,Oxford/AstraZeneca,553503
Finland,2021-09-03,Oxford/AstraZeneca,553532
Finland,2021-09-10,Oxford/AstraZeneca,553561
Finland,2021-09-17,Oxford/AstraZeneca,553586
Finland,2021-09-24,Oxford/AstraZeneca,553617
Finland,2021-10-01,Oxford/AstraZeneca,553662
Finland,2021-10-08,Oxford/AstraZeneca,553695
Finland,2021-10-15,Oxford/AstraZeneca,553720
Finland,2021-10-22,Oxford/AstraZeneca,553753
Finland,2021-10-29,Oxford/AstraZeneca,553763
Finland,2021-11-05,Oxford/AstraZeneca,553785
Finland,2021-11-12,Oxford/AstraZeneca,553797
Finland,2021-11-19,Oxford/AstraZeneca,553833
Finland,2021-11-26,Oxford/AstraZeneca,553895
