location,date,vaccine,total_vaccinations
Hungary,2021-04-16,Johnson&Johnson,0
Hungary,2021-05-07,Johnson&Johnson,3022
Hungary,2021-05-14,Johnson&Johnson,20224
Hungary,2021-05-21,Johnson&Johnson,48840
Hungary,2021-05-28,Johnson&Johnson,61253
Hungary,2021-06-04,Johnson&Johnson,74656
Hungary,2021-06-11,Johnson&Johnson,84534
Hungary,2021-06-18,Johnson&Johnson,91904
Hungary,2021-06-25,Johnson&Johnson,96881
Hungary,2021-07-02,Johnson&Johnson,99609
Hungary,2021-07-09,Johnson&Johnson,104340
Hungary,2021-07-16,Johnson&Johnson,110168
Hungary,2021-07-23,Johnson&Johnson,116247
Hungary,2021-07-30,Johnson&Johnson,122677
Hungary,2021-08-06,Johnson&Johnson,127199
Hungary,2021-08-13,Johnson&Johnson,133928
Hungary,2021-08-20,Johnson&Johnson,139952
Hungary,2021-08-27,Johnson&Johnson,151170
Hungary,2021-09-03,Johnson&Johnson,157534
Hungary,2021-09-10,Johnson&Johnson,165116
Hungary,2021-09-17,Johnson&Johnson,172268
Hungary,2021-09-24,Johnson&Johnson,178696
Hungary,2021-10-01,Johnson&Johnson,185598
Hungary,2021-10-08,Johnson&Johnson,191711
Hungary,2021-10-15,Johnson&Johnson,197798
Hungary,2021-10-22,Johnson&Johnson,203946
Hungary,2021-10-29,Johnson&Johnson,211505
Hungary,2021-11-05,Johnson&Johnson,220792
Hungary,2021-11-12,Johnson&Johnson,232751
Hungary,2021-11-19,Johnson&Johnson,243570
Hungary,2021-11-26,Johnson&Johnson,278393
Hungary,2021-12-03,Johnson&Johnson,292092
Hungary,2021-12-10,Johnson&Johnson,302565
Hungary,2021-12-17,Johnson&Johnson,304210
Hungary,2021-12-24,Johnson&Johnson,306382
Hungary,2021-12-31,Johnson&Johnson,308082
Hungary,2022-01-07,Johnson&Johnson,312996
Hungary,2022-01-14,Johnson&Johnson,317632
Hungary,2022-01-21,Johnson&Johnson,322802
Hungary,2022-01-28,Johnson&Johnson,328158
Hungary,2022-02-04,Johnson&Johnson,330787
Hungary,2022-02-11,Johnson&Johnson,332731
Hungary,2022-02-18,Johnson&Johnson,334183
Hungary,2022-02-25,Johnson&Johnson,335592
Hungary,2022-03-04,Johnson&Johnson,336413
Hungary,2022-03-11,Johnson&Johnson,337037
Hungary,2022-03-18,Johnson&Johnson,337388
Hungary,2022-03-25,Johnson&Johnson,338008
Hungary,2022-04-01,Johnson&Johnson,338522
Hungary,2022-04-08,Johnson&Johnson,338954
Hungary,2022-04-15,Johnson&Johnson,339281
Hungary,2022-04-22,Johnson&Johnson,339689
Hungary,2022-04-29,Johnson&Johnson,340068
Hungary,2022-05-06,Johnson&Johnson,340396
Hungary,2022-05-13,Johnson&Johnson,340724
Hungary,2022-05-20,Johnson&Johnson,340996
Hungary,2022-05-27,Johnson&Johnson,341265
Hungary,2022-06-03,Johnson&Johnson,341504
Hungary,2022-06-10,Johnson&Johnson,341714
Hungary,2022-06-17,Johnson&Johnson,341904
Hungary,2022-06-24,Johnson&Johnson,342098
Hungary,2022-07-01,Johnson&Johnson,342176
Hungary,2022-07-08,Johnson&Johnson,342317
Hungary,2022-07-15,Johnson&Johnson,342458
Hungary,2022-07-22,Johnson&Johnson,342675
Hungary,2022-07-29,Johnson&Johnson,342835
Hungary,2022-08-05,Johnson&Johnson,342986
Hungary,2022-08-12,Johnson&Johnson,343198
Hungary,2022-08-19,Johnson&Johnson,343348
Hungary,2022-08-26,Johnson&Johnson,343518
Hungary,2022-09-02,Johnson&Johnson,343701
Hungary,2022-09-09,Johnson&Johnson,343857
Hungary,2022-09-16,Johnson&Johnson,344019
Hungary,2022-09-23,Johnson&Johnson,344179
Hungary,2022-09-30,Johnson&Johnson,344293
Hungary,2022-10-07,Johnson&Johnson,344394
Hungary,2022-10-14,Johnson&Johnson,344499
Hungary,2022-10-21,Johnson&Johnson,344590
Hungary,2022-10-28,Johnson&Johnson,344658
Hungary,2022-11-04,Johnson&Johnson,344712
Hungary,2022-11-11,Johnson&Johnson,344765
Hungary,2022-11-18,Johnson&Johnson,344851
Hungary,2022-11-25,Johnson&Johnson,344917
Hungary,2022-12-02,Johnson&Johnson,344974
Hungary,2022-12-09,Johnson&Johnson,345016
Hungary,2022-12-16,Johnson&Johnson,345069
Hungary,2022-12-23,Johnson&Johnson,345099
Hungary,2022-12-30,Johnson&Johnson,345106
Hungary,2023-01-06,Johnson&Johnson,345172
Hungary,2023-01-13,Johnson&Johnson,345247
Hungary,2023-01-20,Johnson&Johnson,345313
Hungary,2023-01-27,Johnson&Johnson,345364
Hungary,2023-02-03,Johnson&Johnson,345438
Hungary,2023-02-10,Johnson&Johnson,345480
Hungary,2023-02-17,Johnson&Johnson,345528
Hungary,2023-02-24,Johnson&Johnson,345578
Hungary,2023-03-03,Johnson&Johnson,345627
Hungary,2023-03-17,Johnson&Johnson,345662
Hungary,2023-03-24,Johnson&Johnson,345702
Hungary,2023-03-31,Johnson&Johnson,345729
Hungary,2023-04-07,Johnson&Johnson,345744
Hungary,2023-04-14,Johnson&Johnson,345781
Hungary,2023-04-21,Johnson&Johnson,345832
Hungary,2023-04-28,Johnson&Johnson,345871
Hungary,2023-05-05,Johnson&Johnson,345893
Hungary,2023-05-12,Johnson&Johnson,345902
Hungary,2023-05-19,Johnson&Johnson,345910
Hungary,2023-05-26,Johnson&Johnson,345930
Hungary,2023-06-02,Johnson&Johnson,345934
Hungary,2023-06-09,Johnson&Johnson,345940
Hungary,2023-06-16,Johnson&Johnson,345946
Hungary,2023-06-23,Johnson&Johnson,345955
Hungary,2023-06-30,Johnson&Johnson,345957
Hungary,2023-07-07,Johnson&Johnson,345961
Hungary,2023-07-14,Johnson&Johnson,345965
Hungary,2023-07-21,Johnson&Johnson,345974
Hungary,2023-07-28,Johnson&Johnson,345981
Hungary,2021-01-15,Moderna,3045
Hungary,2021-01-22,Moderna,3110
Hungary,2021-01-29,Moderna,3289
Hungary,2021-02-05,Moderna,14413
Hungary,2021-02-12,Moderna,17526
Hungary,2021-02-19,Moderna,21249
Hungary,2021-02-26,Moderna,22501
Hungary,2021-03-05,Moderna,59086
Hungary,2021-03-12,Moderna,74445
Hungary,2021-03-19,Moderna,79115
Hungary,2021-03-26,Moderna,84172
Hungary,2021-04-02,Moderna,149942
Hungary,2021-04-09,Moderna,203839
Hungary,2021-04-16,Moderna,206499
Hungary,2021-04-23,Moderna,269215
Hungary,2021-04-30,Moderna,314650
Hungary,2021-05-07,Moderna,358591
Hungary,2021-05-14,Moderna,400402
Hungary,2021-05-21,Moderna,487077
Hungary,2021-05-28,Moderna,522677
Hungary,2021-06-04,Moderna,543091
Hungary,2021-06-11,Moderna,588126
Hungary,2021-06-18,Moderna,619992
Hungary,2021-06-25,Moderna,650048
Hungary,2021-07-02,Moderna,663308
Hungary,2021-07-09,Moderna,671489
Hungary,2021-07-16,Moderna,675312
Hungary,2021-07-23,Moderna,676977
Hungary,2021-07-30,Moderna,677801
Hungary,2021-08-06,Moderna,679577
Hungary,2021-08-13,Moderna,683324
