location,date,vaccine,total_vaccinations
Ireland,2021-01-08,Johnson&Johnson,6
Ireland,2021-01-22,Johnson&Johnson,7
Ireland,2021-02-05,Johnson&Johnson,12
Ireland,2021-02-12,Johnson&Johnson,15
Ireland,2021-02-19,Johnson&Johnson,29
Ireland,2021-02-26,Johnson&Johnson,46
Ireland,2021-03-05,Johnson&Johnson,68
Ireland,2021-03-12,Johnson&Johnson,96
Ireland,2021-03-19,Johnson&Johnson,123
Ireland,2021-03-26,Johnson&Johnson,139
Ireland,2021-04-02,Johnson&Johnson,178
Ireland,2021-04-09,Johnson&Johnson,267
Ireland,2021-04-16,Johnson&Johnson,289
Ireland,2021-04-23,Johnson&Johnson,303
Ireland,2021-04-30,Johnson&Johnson,379
Ireland,2021-05-07,Johnson&Johnson,730
Ireland,2021-05-14,Johnson&Johnson,1654
Ireland,2021-05-21,Johnson&Johnson,40919
Ireland,2021-05-28,Johnson&Johnson,58514
Ireland,2021-06-04,Johnson&Johnson,71844
Ireland,2021-06-11,Johnson&Johnson,73376
Ireland,2021-06-18,Johnson&Johnson,75564
Ireland,2021-06-25,Johnson&Johnson,80200
Ireland,2021-07-02,Johnson&Johnson,84336
Ireland,2021-07-09,Johnson&Johnson,119291
Ireland,2021-07-16,Johnson&Johnson,168583
Ireland,2021-07-23,Johnson&Johnson,205308
Ireland,2021-07-30,Johnson&Johnson,222039
Ireland,2021-08-06,Johnson&Johnson,228270
Ireland,2021-08-13,Johnson&Johnson,232332
Ireland,2021-08-20,Johnson&Johnson,235549
Ireland,2021-08-27,Johnson&Johnson,237533
Ireland,2021-09-03,Johnson&Johnson,238502
Ireland,2021-09-10,Johnson&Johnson,239249
Ireland,2021-09-17,Johnson&Johnson,239797
Ireland,2021-09-24,Johnson&Johnson,240242
Ireland,2021-10-01,Johnson&Johnson,240632
Ireland,2021-10-08,Johnson&Johnson,240879
Ireland,2021-10-15,Johnson&Johnson,240967
Ireland,2021-10-22,Johnson&Johnson,241004
Ireland,2021-10-29,Johnson&Johnson,241030
Ireland,2021-11-05,Johnson&Johnson,241062
Ireland,2021-11-12,Johnson&Johnson,241090
Ireland,2021-11-19,Johnson&Johnson,241124
Ireland,2021-11-26,Johnson&Johnson,241177
Ireland,2021-12-03,Johnson&Johnson,241217
Ireland,2021-12-10,Johnson&Johnson,241247
Ireland,2021-12-17,Johnson&Johnson,241310
Ireland,2021-12-24,Johnson&Johnson,241366
Ireland,2021-12-31,Johnson&Johnson,241395
Ireland,2022-01-07,Johnson&Johnson,241433
Ireland,2022-01-14,Johnson&Johnson,241469
Ireland,2022-01-21,Johnson&Johnson,241487
Ireland,2022-01-28,Johnson&Johnson,241501
Ireland,2022-02-04,Johnson&Johnson,241517
Ireland,2022-02-11,Johnson&Johnson,241529
Ireland,2022-02-18,Johnson&Johnson,241544
Ireland,2022-02-25,Johnson&Johnson,241554
Ireland,2022-03-04,Johnson&Johnson,241571
Ireland,2022-03-11,Johnson&Johnson,241588
Ireland,2022-03-18,Johnson&Johnson,241590
Ireland,2022-03-25,Johnson&Johnson,241598
Ireland,2022-04-01,Johnson&Johnson,241610
Ireland,2022-04-08,Johnson&Johnson,241612
Ireland,2022-04-15,Johnson&Johnson,241619
Ireland,2022-04-22,Johnson&Johnson,241626
Ireland,2022-04-29,Johnson&Johnson,241629
Ireland,2022-05-06,Johnson&Johnson,241632
Ireland,2022-05-13,Johnson&Johnson,241633
Ireland,2022-05-20,Johnson&Johnson,241636
Ireland,2022-05-27,Johnson&Johnson,241645
Ireland,2022-06-03,Johnson&Johnson,241650
Ireland,2022-06-10,Johnson&Johnson,241657
Ireland,2022-06-17,Johnson&Johnson,241669
Ireland,2022-06-24,Johnson&Johnson,241675
Ireland,2022-07-01,Johnson&Johnson,241680
Ireland,2022-07-08,Johnson&Johnson,241682
Ireland,2022-07-15,Johnson&Johnson,241684
Ireland,2022-07-29,Johnson&Johnson,241686
Ireland,2022-08-05,Johnson&Johnson,241688
Ireland,2022-08-12,Johnson&Johnson,241689
Ireland,2022-08-26,Johnson&Johnson,241692
Ireland,2022-09-02,Johnson&Johnson,241694
Ireland,2022-09-09,Johnson&Johnson,241696
Ireland,2022-09-30,Johnson&Johnson,241701
Ireland,2022-10-14,Johnson&Johnson,241702
Ireland,2022-10-21,Johnson&Johnson,241707
Ireland,2022-11-11,Johnson&Johnson,241709
Ireland,2022-11-18,Johnson&Johnson,241710
Ireland,2022-12-02,Johnson&Johnson,241714
Ireland,2022-12-09,Johnson&Johnson,241715
Ireland,2023-01-06,Johnson&Johnson,241716
Ireland,2023-01-20,Johnson&Johnson,241719
Ireland,2023-03-03,Johnson&Johnson,241720
Ireland,2023-03-24,Johnson&Johnson,241721
Ireland,2023-03-31,Johnson&Johnson,241722
Ireland,2023-04-21,Johnson&Johnson,241725
Ireland,2023-06-02,Johnson&Johnson,241726
Ireland,2021-01-08,Moderna,45
Ireland,2021-01-15,Moderna,1993
Ireland,2021-01-22,Moderna,2040
Ireland,2021-01-29,Moderna,2078
Ireland,2021-02-05,Moderna,2137
Ireland,2021-02-12,Moderna,4143
Ireland,2021-02-19,Moderna,5403
Ireland,2021-02-26,Moderna,9985
Ireland,2021-03-05,Moderna,17524
Ireland,2021-03-12,Moderna,21631
Ireland,2021-03-19,Moderna,23477
Ireland,2021-03-26,Moderna,31638
Ireland,2021-04-02,Moderna,44583
Ireland,2021-04-09,Moderna,53205
Ireland,2021-04-16,Moderna,58225
Ireland,2021-04-23,Moderna,71792
Ireland,2021-04-30,Moderna,86078
Ireland,2021-05-07,Moderna,96087
Ireland,2021-05-14,Moderna,122371
Ireland,2021-05-21,Moderna,161935
Ireland,2021-05-28,Moderna,198005
Ireland,2021-06-04,Moderna,237432
Ireland,2021-06-11,Moderna,277544
Ireland,2021-06-18,Moderna,321011
Ireland,2021-06-25,Moderna,360724
Ireland,2021-07-02,Moderna,407038
Ireland,2021-07-09,Moderna,440837
Ireland,2021-07-16,Moderna,478114
Ireland,2021-07-23,Moderna,505513
Ireland,2021-07-30,Moderna,520960
Ireland,2021-08-06,Moderna,541464
Ireland,2021-08-13,Moderna,557510
Ireland,2021-08-20,Moderna,565635
Ireland,2021-08-27,Moderna,571422
Ireland,2021-09-03,Moderna,576280
Ireland,2021-09-10,Moderna,578159
Ireland,2021-09-17,Moderna,578758
Ireland,2021-09-24,Moderna,579399
Ireland,2021-10-01,Moderna,579717
Ireland,2021-10-08,Moderna,579885
Ireland,2021-10-15,Moderna,580004
Ireland,2021-10-22,Moderna,580074
Ireland,2021-10-29,Moderna,580136
Ireland,2021-11-05,Moderna,580216
Ireland,2021-11-12,Moderna,580307
Ireland,2021-11-19,Moderna,580433
Ireland,2021-11-26,Moderna,580555
