location,date,vaccine,total_vaccinations
Lithuania,2021-04-23,Johnson&Johnson,3
Lithuania,2021-04-30,Johnson&Johnson,247
Lithuania,2021-05-07,Johnson&Johnson,2063
Lithuania,2021-05-14,Johnson&Johnson,4283
Lithuania,2021-05-21,Johnson&Johnson,8706
Lithuania,2021-05-28,Johnson&Johnson,17171
Lithuania,2021-06-04,Johnson&Johnson,24025
Lithuania,2021-06-11,Johnson&Johnson,36644
Lithuania,2021-06-18,Johnson&Johnson,42995
Lithuania,2021-06-25,Johnson&Johnson,45314
Lithuania,2021-07-02,Johnson&Johnson,52117
Lithuania,2021-07-09,Johnson&Johnson,60005
Lithuania,2021-07-16,Johnson&Johnson,69392
Lithuania,2021-07-23,Johnson&Johnson,77262
Lithuania,2021-07-30,Johnson&Johnson,82298
Lithuania,2021-08-06,Johnson&Johnson,111611
Lithuania,2021-08-13,Johnson&Johnson,140022
Lithuania,2021-08-20,Johnson&Johnson,160092
Lithuania,2021-08-27,Johnson&Johnson,172671
Lithuania,2021-09-03,Johnson&Johnson,178960
Lithuania,2021-09-10,Johnson&Johnson,182404
Lithuania,2021-09-17,Johnson&Johnson,185178
Lithuania,2021-09-24,Johnson&Johnson,190364
Lithuania,2021-10-01,Johnson&Johnson,198187
Lithuania,2021-10-08,Johnson&Johnson,204887
Lithuania,2021-10-15,Johnson&Johnson,211566
Lithuania,2021-10-22,Johnson&Johnson,218705
Lithuania,2021-10-29,Johnson&Johnson,226222
Lithuania,2021-11-05,Johnson&Johnson,231070
Lithuania,2021-11-12,Johnson&Johnson,237084
Lithuania,2021-11-19,Johnson&Johnson,243791
Lithuania,2021-11-26,Johnson&Johnson,250947
Lithuania,2021-12-03,Johnson&Johnson,258114
Lithuania,2021-12-10,Johnson&Johnson,265159
Lithuania,2021-12-17,Johnson&Johnson,271113
Lithuania,2021-12-24,Johnson&Johnson,275902
Lithuania,2021-12-31,Johnson&Johnson,281798
Lithuania,2022-01-07,Johnson&Johnson,287762
Lithuania,2022-01-14,Johnson&Johnson,290687
Lithuania,2022-01-21,Johnson&Johnson,291475
Lithuania,2022-01-28,Johnson&Johnson,292623
Lithuania,2022-02-04,Johnson&Johnson,293416
Lithuania,2022-02-11,Johnson&Johnson,293872
Lithuania,2022-02-18,Johnson&Johnson,294106
Lithuania,2022-02-25,Johnson&Johnson,294283
Lithuania,2022-03-04,Johnson&Johnson,294437
Lithuania,2022-03-11,Johnson&Johnson,294563
Lithuania,2022-03-18,Johnson&Johnson,294701
Lithuania,2022-03-25,Johnson&Johnson,294811
Lithuania,2022-04-01,Johnson&Johnson,294925
Lithuania,2022-04-08,Johnson&Johnson,295023
Lithuania,2022-04-15,Johnson&Johnson,295125
Lithuania,2022-04-22,Johnson&Johnson,295192
Lithuania,2022-04-29,Johnson&Johnson,295255
Lithuania,2022-05-06,Johnson&Johnson,295313
Lithuania,2022-05-13,Johnson&Johnson,295352
Lithuania,2022-05-20,Johnson&Johnson,295387
Lithuania,2022-05-27,Johnson&Johnson,295434
Lithuania,2022-06-03,Johnson&Johnson,295474
Lithuania,2022-06-10,Johnson&Johnson,295498
Lithuania,2022-06-17,Johnson&Johnson,295521
Lithuania,2022-06-24,Johnson&Johnson,295534
Lithuania,2022-07-01,Johnson&Johnson,295548
Lithuania,2022-07-08,Johnson&Johnson,295566
Lithuania,2022-07-15,Johnson&Johnson,295607
Lithuania,2022-07-22,Johnson&Johnson,295624
Lithuania,2022-07-29,Johnson&Johnson,295650
Lithuania,2022-08-05,Johnson&Johnson,295675
Lithuania,2022-08-12,Johnson&Johnson,295697
Lithuania,2022-08-19,Johnson&Johnson,295709
Lithuania,2022-08-26,Johnson&Johnson,295726
Lithuania,2022-09-02,Johnson&Johnson,295736
Lithuania,2022-09-09,Johnson&Johnson,295761
Lithuania,2022-09-16,Johnson&Johnson,295772
Lithuania,2022-09-23,Johnson&Johnson,295788
Lithuania,2022-09-30,Johnson&Johnson,295798
Lithuania,2022-10-07,Johnson&Johnson,295807
Lithuania,2022-10-14,Johnson&Johnson,295813
Lithuania,2022-10-21,Johnson&Johnson,295821
Lithuania,2022-10-28,Johnson&Johnson,295830
Lithuania,2022-11-04,Johnson&Johnson,295835
Lithuania,2022-11-11,Johnson&Johnson,295840
Lithuania,2022-11-18,Johnson&Johnson,295851
Lithuania,2022-11-25,Johnson&Johnson,295859
Lithuania,2022-12-02,Johnson&Johnson,295863
Lithuania,2022-12-09,Johnson&Johnson,295866
Lithuania,2022-12-23,Johnson&Johnson,295870
Lithuania,2023-01-06,Johnson&Johnson,295874
Lithuania,2023-01-13,Johnson&Johnson,295880
Lithuania,2023-01-20,Johnson&Johnson,295881
Lithuania,2023-01-27,Johnson&Johnson,295884
Lithuania,2023-02-03,Johnson&Johnson,295890
Lithuania,2023-02-10,Johnson&Johnson,295897
Lithuania,2023-02-17,Johnson&Johnson,295898
Lithuania,2023-02-24,Johnson&Johnson,295900
Lithuania,2023-03-03,Johnson&Johnson,295904
Lithuania,2023-03-10,Johnson&Johnson,295908
Lithuania,2023-03-17,Johnson&Johnson,295909
Lithuania,2023-03-24,Johnson&Johnson,295913
Lithuania,2023-04-07,Johnson&Johnson,295915
Lithuania,2023-04-21,Johnson&Johnson,295917
Lithuania,2023-04-28,Johnson&Johnson,295918
Lithuania,2023-05-19,Johnson&Johnson,295920
Lithuania,2023-06-16,Johnson&Johnson,295921
Lithuania,2021-01-15,Moderna,1044
Lithuania,2021-01-22,Moderna,2375
Lithuania,2021-02-05,Moderna,4054
Lithuania,2021-02-12,Moderna,5753
Lithuania,2021-02-19,Moderna,9374
Lithuania,2021-02-26,Moderna,12306
Lithuania,2021-03-05,Moderna,21240
Lithuania,2021-03-12,Moderna,23139
Lithuania,2021-03-19,Moderna,26434
Lithuania,2021-03-26,Moderna,36646
Lithuania,2021-04-02,Moderna,53694
Lithuania,2021-04-09,Moderna,59608
Lithuania,2021-04-16,Moderna,61082
Lithuania,2021-04-23,Moderna,74183
Lithuania,2021-04-30,Moderna,82925
Lithuania,2021-05-07,Moderna,102664
Lithuania,2021-05-14,Moderna,114280
Lithuania,2021-05-21,Moderna,135021
Lithuania,2021-05-28,Moderna,145217
Lithuania,2021-06-04,Moderna,160683
Lithuania,2021-06-11,Moderna,173876
Lithuania,2021-06-18,Moderna,191894
Lithuania,2021-06-25,Moderna,199061
Lithuania,2021-07-02,Moderna,206752
Lithuania,2021-07-09,Moderna,210801
Lithuania,2021-07-16,Moderna,215106
Lithuania,2021-07-23,Moderna,219769
Lithuania,2021-07-30,Moderna,224845
Lithuania,2021-08-06,Moderna,229995
Lithuania,2021-08-13,Moderna,234012
Lithuania,2021-08-20,Moderna,239826
Lithuania,2021-08-27,Moderna,245589
Lithuania,2021-09-03,Moderna,250047
Lithuania,2021-09-10,Moderna,254482
Lithuania,2021-09-17,Moderna,259006
Lithuania,2021-09-24,Moderna,262405
Lithuania,2021-10-01,Moderna,265428
Lithuania,2021-10-08,Moderna,268113
Lithuania,2021-10-15,Moderna,270485
Lithuania,2021-10-22,Moderna,271840
Lithuania,2021-10-29,Moderna,272962
Lithuania,2021-11-05,Moderna,273717
Lithuania,2021-11-12,Moderna,274345
Lithuania,2021-11-19,Moderna,275885
Lithuania,2021-11-26,Moderna,279525
Lithuania,2021-12-03,Moderna,283134
Lithuania,2021-12-10,Moderna,287849
Lithuania,2021-12-17,Moderna,293638
Lithuania,2021-12-24,Moderna,297925
Lithuania,2021-12-31,Moderna,304289
Lithuania,2022-01-07,Moderna,312845
Lithuania,2022-01-14,Moderna,319307
Lithuania,2022-01-21,Moderna,322973
Lithuania,2022-01-28,Moderna,325228
Lithuania,2022-02-04,Moderna,326230
Lithuania,2022-02-11,Moderna,326736
Lithuania,2022-02-18,Moderna,327053
Lithuania,2022-02-25,Moderna,327322
Lithuania,2022-03-04,Moderna,327525
