location,date,vaccine,total_vaccinations
Luxembourg,2021-04-09,Johnson&Johnson,1
Luxembourg,2021-04-16,Johnson&Johnson,2160
Luxembourg,2021-04-23,Johnson&Johnson,2355
Luxembourg,2021-05-07,Johnson&Johnson,5810
Luxembourg,2021-05-14,Johnson&Johnson,7689
Luxembourg,2021-05-21,Johnson&Johnson,10803
Luxembourg,2021-05-28,Johnson&Johnson,11298
Luxembourg,2021-06-04,Johnson&Johnson,12724
Luxembourg,2021-06-11,Johnson&Johnson,16817
Luxembourg,2021-06-18,Johnson&Johnson,17738
Luxembourg,2021-06-25,Johnson&Johnson,26382
Luxembourg,2021-07-02,Johnson&Johnson,27909
Luxembourg,2021-07-09,Johnson&Johnson,28337
Luxembourg,2021-07-16,Johnson&Johnson,30594
Luxembourg,2021-07-23,Johnson&Johnson,31398
Luxembourg,2021-07-30,Johnson&Johnson,32311
Luxembourg,2021-08-06,Johnson&Johnson,32799
Luxembourg,2021-08-13,Johnson&Johnson,33351
Luxembourg,2021-08-20,Johnson&Johnson,34177
Luxembourg,2021-08-27,Johnson&Johnson,34758
Luxembourg,2021-09-03,Johnson&Johnson,35291
Luxembourg,2021-09-10,Johnson&Johnson,36013
Luxembourg,2021-09-17,Johnson&Johnson,36456
Luxembourg,2021-09-24,Johnson&Johnson,36860
Luxembourg,2021-10-01,Johnson&Johnson,37192
Luxembourg,2021-10-08,Johnson&Johnson,37520
Luxembourg,2021-10-15,Johnson&Johnson,38088
Luxembourg,2021-10-22,Johnson&Johnson,38569
Luxembourg,2021-10-29,Johnson&Johnson,38886
Luxembourg,2021-11-05,Johnson&Johnson,39185
Luxembourg,2021-11-12,Johnson&Johnson,39409
Luxembourg,2021-11-19,Johnson&Johnson,39557
Luxembourg,2021-11-26,Johnson&Johnson,39703
Luxembourg,2021-12-03,Johnson&Johnson,40064
Luxembourg,2021-12-10,Johnson&Johnson,40359
Luxembourg,2021-12-17,Johnson&Johnson,40588
Luxembourg,2021-12-24,Johnson&Johnson,40737
Luxembourg,2021-12-31,Johnson&Johnson,40886
