location,date,vaccine,total_vaccinations
Malta,2021-02-26,Johnson&Johnson,5
Malta,2021-03-12,Johnson&Johnson,6
Malta,2021-03-19,Johnson&Johnson,7
Malta,2021-04-09,Johnson&Johnson,9
Malta,2021-04-30,Johnson&Johnson,11
Malta,2021-05-07,Johnson&Johnson,2428
Malta,2021-05-14,Johnson&Johnson,3524
Malta,2021-05-21,Johnson&Johnson,9034
Malta,2021-05-28,Johnson&Johnson,9459
Malta,2021-06-04,Johnson&Johnson,9784
Malta,2021-06-11,Johnson&Johnson,11279
Malta,2021-06-18,Johnson&Johnson,12335
Malta,2021-06-25,Johnson&Johnson,13500
Malta,2021-07-02,Johnson&Johnson,15331
Malta,2021-07-09,Johnson&Johnson,16370
Malta,2021-07-16,Johnson&Johnson,18103
Malta,2021-07-23,Johnson&Johnson,21726
Malta,2021-07-30,Johnson&Johnson,25013
Malta,2021-08-06,Johnson&Johnson,28077
Malta,2021-08-13,Johnson&Johnson,29688
Malta,2021-08-20,Johnson&Johnson,30021
Malta,2021-08-27,Johnson&Johnson,30420
Malta,2021-09-03,Johnson&Johnson,30505
Malta,2021-09-10,Johnson&Johnson,30514
Malta,2021-09-17,Johnson&Johnson,30611
Malta,2021-09-24,Johnson&Johnson,30690
Malta,2021-10-01,Johnson&Johnson,30812
Malta,2021-10-08,Johnson&Johnson,30914
Malta,2021-10-15,Johnson&Johnson,31004
Malta,2021-10-22,Johnson&Johnson,31043
Malta,2021-10-29,Johnson&Johnson,31111
Malta,2021-11-05,Johnson&Johnson,31220
Malta,2021-11-12,Johnson&Johnson,31323
Malta,2021-11-19,Johnson&Johnson,31507
Malta,2021-11-26,Johnson&Johnson,31624
Malta,2021-12-03,Johnson&Johnson,31716
Malta,2021-12-10,Johnson&Johnson,31824
Malta,2021-12-17,Johnson&Johnson,31848
Malta,2021-12-24,Johnson&Johnson,31890
Malta,2021-12-31,Johnson&Johnson,31899
Malta,2022-01-07,Johnson&Johnson,31927
Malta,2022-01-14,Johnson&Johnson,32042
Malta,2022-01-21,Johnson&Johnson,32122
Malta,2022-01-28,Johnson&Johnson,32191
Malta,2022-02-04,Johnson&Johnson,32192
Malta,2022-02-11,Johnson&Johnson,32245
Malta,2022-02-18,Johnson&Johnson,32282
Malta,2022-02-25,Johnson&Johnson,32292
Malta,2022-03-04,Johnson&Johnson,32295
Malta,2022-03-11,Johnson&Johnson,32303
Malta,2022-03-18,Johnson&Johnson,32305
Malta,2022-03-25,Johnson&Johnson,32308
Malta,2022-04-01,Johnson&Johnson,32311
Malta,2022-04-15,Johnson&Johnson,32315
Malta,2022-04-22,Johnson&Johnson,32317
Malta,2022-05-06,Johnson&Johnson,32329
Malta,2022-05-20,Johnson&Johnson,32334
Malta,2022-05-27,Johnson&Johnson,32339
Malta,2022-06-03,Johnson&Johnson,32340
Malta,2022-06-10,Johnson&Johnson,32343
Malta,2022-06-24,Johnson&Johnson,32353
Malta,2022-07-01,Johnson&Johnson,32358
Malta,2022-07-08,Johnson&Johnson,32361
Malta,2022-07-15,Johnson&Johnson,32383
Malta,2022-07-22,Johnson&Johnson,32391
Malta,2022-07-29,Johnson&Johnson,32396
Malta,2022-08-05,Johnson&Johnson,32398
Malta,2022-08-26,Johnson&Johnson,32400
Malta,2022-09-09,Johnson&Johnson,32402
Malta,2022-09-23,Johnson&Johnson,32403
Malta,2022-09-30,Johnson&Johnson,32404
Malta,2022-10-07,Johnson&Johnson,32413
Malta,2022-11-25,Johnson&Johnson,32414
Malta,2022-12-09,Johnson&Johnson,32415
Malta,2022-12-16,Johnson&Johnson,32417
Malta,2022-12-23,Johnson&Johnson,32420
Malta,2023-01-06,Johnson&Johnson,32421
Malta,2021-01-15,Moderna,2
Malta,2021-01-22,Moderna,3
Malta,2021-02-05,Moderna,48
Malta,2021-02-12,Moderna,431
Malta,2021-02-19,Moderna,950
Malta,2021-02-26,Moderna,1480
Malta,2021-03-05,Moderna,1577
Malta,2021-03-12,Moderna,1951
Malta,2021-03-19,Moderna,3573
Malta,2021-03-26,Moderna,9665
Malta,2021-04-02,Moderna,11107
Malta,2021-04-09,Moderna,11667
Malta,2021-04-16,Moderna,13650
Malta,2021-04-23,Moderna,18956
Malta,2021-04-30,Moderna,20297
Malta,2021-05-07,Moderna,21945
Malta,2021-05-14,Moderna,24682
Malta,2021-05-21,Moderna,27088
Malta,2021-05-28,Moderna,30382
Malta,2021-06-04,Moderna,32368
Malta,2021-06-11,Moderna,34748
Malta,2021-06-18,Moderna,37302
Malta,2021-06-25,Moderna,40809
Malta,2021-07-02,Moderna,41747
Malta,2021-07-09,Moderna,42012
Malta,2021-07-16,Moderna,42334
Malta,2021-07-23,Moderna,42539
Malta,2021-07-30,Moderna,42705
Malta,2021-08-06,Moderna,42805
Malta,2021-08-13,Moderna,42862
Malta,2021-08-20,Moderna,42916
Malta,2021-08-27,Moderna,42982
Malta,2021-09-03,Moderna,42994
Malta,2021-09-17,Moderna,43002
Malta,2021-09-24,Moderna,43004
Malta,2021-10-01,Moderna,43012
Malta,2021-10-08,Moderna,43019
