location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-04-23,Johnson&Johnson,9181
Netherlands,2021-04-30,Johnson&Johnson,42225
Netherlands,2021-05-07,Johnson&Johnson,58113
Netherlands,2021-05-14,Johnson&Johnson,77167
Netherlands,2021-05-21,Johnson&Johnson,96404
Netherlands,2021-05-28,Johnson&Johnson,191529
Netherlands,2021-06-04,Johnson&Johnson,340460
Netherlands,2021-06-11,Johnson&Johnson,386934
Netherlands,2021-06-18,Johnson&Johnson,392499
Netherlands,2021-06-25,Johnson&Johnson,460885
Netherlands,2021-07-02,Johnson&Johnson,586080
Netherlands,2021-07-09,Johnson&Johnson,650973
Netherlands,2021-07-16,Johnson&Johnson,663534
Netherlands,2021-07-23,Johnson&Johnson,671245
Netherlands,2021-07-30,Johnson&Johnson,677152
Netherlands,2021-08-06,Johnson&Johnson,681392
Netherlands,2021-08-13,Johnson&Johnson,685222
Netherlands,2021-08-20,Johnson&Johnson,688356
Netherlands,2021-08-27,Johnson&Johnson,691189
Netherlands,2021-09-03,Johnson&Johnson,694005
Netherlands,2021-09-10,Johnson&Johnson,696793
Netherlands,2021-09-17,Johnson&Johnson,703021
Netherlands,2021-09-24,Johnson&Johnson,708741
Netherlands,2021-10-01,Johnson&Johnson,714112
Netherlands,2021-10-08,Johnson&Johnson,717913
Netherlands,2021-10-15,Johnson&Johnson,721088
Netherlands,2021-10-22,Johnson&Johnson,723805
Netherlands,2021-10-29,Johnson&Johnson,727769
Netherlands,2021-11-05,Johnson&Johnson,735340
Netherlands,2021-11-12,Johnson&Johnson,739377
Netherlands,2021-11-19,Johnson&Johnson,741803
Netherlands,2021-11-26,Johnson&Johnson,743487
Netherlands,2021-12-03,Johnson&Johnson,744404
Netherlands,2021-12-10,Johnson&Johnson,745108
Netherlands,2021-12-17,Johnson&Johnson,745573
Netherlands,2021-12-24,Johnson&Johnson,745701
Netherlands,2021-12-31,Johnson&Johnson,745879
Netherlands,2022-01-07,Johnson&Johnson,746058
Netherlands,2022-01-14,Johnson&Johnson,746258
Netherlands,2022-01-21,Johnson&Johnson,746371
Netherlands,2022-01-28,Johnson&Johnson,746492
Netherlands,2022-02-04,Johnson&Johnson,746572
Netherlands,2022-02-11,Johnson&Johnson,746648
Netherlands,2022-02-18,Johnson&Johnson,746666
Netherlands,2022-02-25,Johnson&Johnson,746701
Netherlands,2022-03-04,Johnson&Johnson,746751
Netherlands,2022-03-11,Johnson&Johnson,746795
Netherlands,2022-03-18,Johnson&Johnson,746831
Netherlands,2022-03-25,Johnson&Johnson,746884
Netherlands,2022-04-01,Johnson&Johnson,746946
Netherlands,2022-04-08,Johnson&Johnson,747005
Netherlands,2022-04-15,Johnson&Johnson,747080
Netherlands,2022-04-22,Johnson&Johnson,747139
Netherlands,2022-04-29,Johnson&Johnson,747194
