location,date,vaccine,total_vaccinations
Portugal,2021-01-08,Covaxin,1
Portugal,2021-01-15,Covaxin,2
Portugal,2021-01-22,Covaxin,3
Portugal,2021-01-29,Covaxin,6
Portugal,2021-02-19,Covaxin,8
Portugal,2021-02-26,Covaxin,11
Portugal,2021-03-05,Covaxin,12
Portugal,2021-03-19,Covaxin,13
Portugal,2021-03-26,Covaxin,17
Portugal,2021-04-02,Covaxin,19
Portugal,2021-04-09,Covaxin,20
Portugal,2021-04-16,Covaxin,23
Portugal,2021-04-23,Covaxin,27
Portugal,2021-04-30,Covaxin,29
Portugal,2021-05-07,Covaxin,32
Portugal,2021-05-14,Covaxin,35
Portugal,2021-05-21,Covaxin,39
Portugal,2021-05-28,Covaxin,47
Portugal,2021-06-04,Covaxin,50
Portugal,2021-06-11,Covaxin,58
Portugal,2021-06-18,Covaxin,61
Portugal,2021-06-25,Covaxin,71
Portugal,2021-07-02,Covaxin,75
Portugal,2021-07-09,Covaxin,78
Portugal,2021-07-16,Covaxin,83
Portugal,2021-07-23,Covaxin,88
Portugal,2021-07-30,Covaxin,90
Portugal,2021-08-06,Covaxin,95
Portugal,2021-08-13,Covaxin,105
Portugal,2021-08-20,Covaxin,111
Portugal,2021-08-27,Covaxin,114
Portugal,2021-09-03,Covaxin,117
Portugal,2021-09-10,Covaxin,119
Portugal,2021-09-17,Covaxin,121
Portugal,2021-09-24,Covaxin,122
Portugal,2021-10-08,Covaxin,125
Portugal,2021-10-15,Covaxin,127
Portugal,2021-10-22,Covaxin,130
Portugal,2021-10-29,Covaxin,132
Portugal,2021-11-05,Covaxin,133
Portugal,2021-11-12,Covaxin,134
Portugal,2021-11-19,Covaxin,135
Portugal,2021-11-26,Covaxin,138
Portugal,2021-12-03,Covaxin,140
Portugal,2021-12-10,Covaxin,141
Portugal,2021-12-17,Covaxin,142
Portugal,2021-12-31,Covaxin,143
Portugal,2022-01-14,Covaxin,145
Portugal,2022-01-28,Covaxin,146
Portugal,2022-02-04,Covaxin,147
Portugal,2022-02-11,Covaxin,148
Portugal,2022-03-04,Covaxin,150
Portugal,2022-03-11,Covaxin,151
Portugal,2022-03-18,Covaxin,152
Portugal,2022-03-25,Covaxin,153
Portugal,2022-04-29,Covaxin,154
Portugal,2022-06-10,Covaxin,155
Portugal,2022-07-15,Covaxin,157
Portugal,2022-09-09,Covaxin,160
Portugal,2022-09-30,Covaxin,161
Portugal,2023-02-03,Covaxin,162
Portugal,2021-01-08,Johnson&Johnson,27
Portugal,2021-01-15,Johnson&Johnson,33
Portugal,2021-01-22,Johnson&Johnson,36
Portugal,2021-01-29,Johnson&Johnson,41
Portugal,2021-02-05,Johnson&Johnson,70
Portugal,2021-02-12,Johnson&Johnson,78
Portugal,2021-02-19,Johnson&Johnson,84
Portugal,2021-02-26,Johnson&Johnson,92
Portugal,2021-03-05,Johnson&Johnson,161
Portugal,2021-03-12,Johnson&Johnson,265
Portugal,2021-03-19,Johnson&Johnson,353
Portugal,2021-03-26,Johnson&Johnson,420
Portugal,2021-04-02,Johnson&Johnson,537
Portugal,2021-04-09,Johnson&Johnson,766
Portugal,2021-04-16,Johnson&Johnson,848
Portugal,2021-04-23,Johnson&Johnson,871
Portugal,2021-04-30,Johnson&Johnson,2349
Portugal,2021-05-07,Johnson&Johnson,15000
Portugal,2021-05-14,Johnson&Johnson,33048
Portugal,2021-05-21,Johnson&Johnson,57303
Portugal,2021-05-28,Johnson&Johnson,107167
Portugal,2021-06-04,Johnson&Johnson,164317
Portugal,2021-06-11,Johnson&Johnson,192984
Portugal,2021-06-18,Johnson&Johnson,229146
Portugal,2021-06-25,Johnson&Johnson,274512
Portugal,2021-07-02,Johnson&Johnson,301610
Portugal,2021-07-09,Johnson&Johnson,341390
Portugal,2021-07-16,Johnson&Johnson,457945
Portugal,2021-07-23,Johnson&Johnson,591838
Portugal,2021-07-30,Johnson&Johnson,694717
Portugal,2021-08-06,Johnson&Johnson,812197
Portugal,2021-08-13,Johnson&Johnson,955608
Portugal,2021-08-20,Johnson&Johnson,1065218
Portugal,2021-08-27,Johnson&Johnson,1106779
Portugal,2021-09-03,Johnson&Johnson,1122695
Portugal,2021-09-10,Johnson&Johnson,1126572
Portugal,2021-09-17,Johnson&Johnson,1129595
Portugal,2021-09-24,Johnson&Johnson,1131520
Portugal,2021-10-01,Johnson&Johnson,1133141
Portugal,2021-10-08,Johnson&Johnson,1135337
Portugal,2021-10-15,Johnson&Johnson,1135605
Portugal,2021-10-22,Johnson&Johnson,1135818
Portugal,2021-10-29,Johnson&Johnson,1135973
Portugal,2021-11-05,Johnson&Johnson,1136103
Portugal,2021-11-12,Johnson&Johnson,1136216
Portugal,2021-11-19,Johnson&Johnson,1136292
Portugal,2021-11-26,Johnson&Johnson,1136394
Portugal,2021-12-03,Johnson&Johnson,1136510
Portugal,2021-12-10,Johnson&Johnson,1136675
Portugal,2021-12-17,Johnson&Johnson,1136866
Portugal,2021-12-24,Johnson&Johnson,1136995
Portugal,2021-12-31,Johnson&Johnson,1137082
Portugal,2022-01-07,Johnson&Johnson,1137235
Portugal,2022-01-14,Johnson&Johnson,1137343
Portugal,2022-01-21,Johnson&Johnson,1137431
Portugal,2022-01-28,Johnson&Johnson,1137497
Portugal,2022-02-04,Johnson&Johnson,1137589
Portugal,2022-02-11,Johnson&Johnson,1137705
Portugal,2022-02-18,Johnson&Johnson,1137823
Portugal,2022-02-25,Johnson&Johnson,1137935
Portugal,2022-03-04,Johnson&Johnson,1138037
Portugal,2022-03-11,Johnson&Johnson,1138140
Portugal,2022-03-18,Johnson&Johnson,1138264
Portugal,2022-03-25,Johnson&Johnson,1138346
Portugal,2022-04-01,Johnson&Johnson,1138457
Portugal,2022-04-08,Johnson&Johnson,1138627
Portugal,2022-04-15,Johnson&Johnson,1138726
Portugal,2022-04-22,Johnson&Johnson,1138819
Portugal,2022-04-29,Johnson&Johnson,1138944
Portugal,2022-05-06,Johnson&Johnson,1139029
Portugal,2022-05-13,Johnson&Johnson,1139118
Portugal,2022-05-20,Johnson&Johnson,1139203
Portugal,2022-05-27,Johnson&Johnson,1139274
Portugal,2022-06-03,Johnson&Johnson,1139351
Portugal,2022-06-10,Johnson&Johnson,1139493
Portugal,2022-06-17,Johnson&Johnson,1139561
Portugal,2022-06-24,Johnson&Johnson,1139639
Portugal,2022-07-01,Johnson&Johnson,1139692
Portugal,2022-07-08,Johnson&Johnson,1139720
Portugal,2022-07-15,Johnson&Johnson,1139748
Portugal,2022-07-22,Johnson&Johnson,1139769
Portugal,2022-07-29,Johnson&Johnson,1139800
Portugal,2022-08-05,Johnson&Johnson,1139814
Portugal,2022-08-12,Johnson&Johnson,1139828
Portugal,2022-08-19,Johnson&Johnson,1139839
Portugal,2022-08-26,Johnson&Johnson,1139851
Portugal,2022-09-02,Johnson&Johnson,1139856
Portugal,2022-09-09,Johnson&Johnson,1139872
Portugal,2022-09-16,Johnson&Johnson,1139880
Portugal,2022-09-23,Johnson&Johnson,1139887
Portugal,2022-09-30,Johnson&Johnson,1139889
Portugal,2022-10-07,Johnson&Johnson,1139900
Portugal,2022-10-14,Johnson&Johnson,1139905
Portugal,2022-10-21,Johnson&Johnson,1139914
Portugal,2022-10-28,Johnson&Johnson,1139926
Portugal,2022-11-04,Johnson&Johnson,1139930
Portugal,2022-11-11,Johnson&Johnson,1139955
Portugal,2022-11-18,Johnson&Johnson,1139973
Portugal,2022-11-25,Johnson&Johnson,1139996
Portugal,2022-12-02,Johnson&Johnson,1140003
Portugal,2022-12-09,Johnson&Johnson,1140022
Portugal,2022-12-16,Johnson&Johnson,1140027
Portugal,2022-12-23,Johnson&Johnson,1140029
Portugal,2022-12-30,Johnson&Johnson,1140030
Portugal,2023-01-06,Johnson&Johnson,1140035
Portugal,2023-01-13,Johnson&Johnson,1140037
Portugal,2023-01-20,Johnson&Johnson,1140043
Portugal,2023-01-27,Johnson&Johnson,1140051
Portugal,2023-02-03,Johnson&Johnson,1140053
Portugal,2023-02-10,Johnson&Johnson,1140057
Portugal,2023-02-17,Johnson&Johnson,1140060
Portugal,2023-02-24,Johnson&Johnson,1140064
Portugal,2023-03-03,Johnson&Johnson,1140066
Portugal,2023-03-10,Johnson&Johnson,1140067
Portugal,2023-03-17,Johnson&Johnson,1140068
