location,date,vaccine,total_vaccinations
Slovakia,2021-03-05,Johnson&Johnson,2
Slovakia,2021-03-12,Johnson&Johnson,3
Slovakia,2021-03-19,Johnson&Johnson,4
Slovakia,2021-04-02,Johnson&Johnson,5
Slovakia,2021-04-09,Johnson&Johnson,7
Slovakia,2021-04-16,Johnson&Johnson,9
Slovakia,2021-04-30,Johnson&Johnson,22
Slovakia,2021-05-14,Johnson&Johnson,24
Slovakia,2021-05-21,Johnson&Johnson,26
Slovakia,2021-06-04,Johnson&Johnson,27
Slovakia,2021-06-11,Johnson&Johnson,28
Slovakia,2021-06-18,Johnson&Johnson,150
Slovakia,2021-06-25,Johnson&Johnson,263
Slovakia,2021-07-02,Johnson&Johnson,5374
Slovakia,2021-07-09,Johnson&Johnson,13951
Slovakia,2021-07-16,Johnson&Johnson,23195
Slovakia,2021-07-23,Johnson&Johnson,29373
Slovakia,2021-07-30,Johnson&Johnson,34863
Slovakia,2021-08-06,Johnson&Johnson,42764
Slovakia,2021-08-13,Johnson&Johnson,50685
Slovakia,2021-08-20,Johnson&Johnson,59695
Slovakia,2021-08-27,Johnson&Johnson,65738
Slovakia,2021-09-03,Johnson&Johnson,70372
Slovakia,2021-09-10,Johnson&Johnson,73385
Slovakia,2021-09-17,Johnson&Johnson,77817
Slovakia,2021-09-24,Johnson&Johnson,82599
Slovakia,2021-10-01,Johnson&Johnson,87638
Slovakia,2021-10-08,Johnson&Johnson,91493
Slovakia,2021-10-15,Johnson&Johnson,94331
Slovakia,2021-10-22,Johnson&Johnson,97593
Slovakia,2021-10-29,Johnson&Johnson,101325
Slovakia,2021-11-05,Johnson&Johnson,106392
Slovakia,2021-11-12,Johnson&Johnson,117888
Slovakia,2021-11-19,Johnson&Johnson,133494
Slovakia,2021-11-26,Johnson&Johnson,151933
Slovakia,2021-12-03,Johnson&Johnson,159314
Slovakia,2021-12-10,Johnson&Johnson,163592
Slovakia,2021-12-17,Johnson&Johnson,166410
Slovakia,2021-12-24,Johnson&Johnson,167667
Slovakia,2021-12-31,Johnson&Johnson,168621
Slovakia,2022-01-07,Johnson&Johnson,171348
Slovakia,2022-01-14,Johnson&Johnson,175918
Slovakia,2022-01-21,Johnson&Johnson,179381
Slovakia,2022-01-28,Johnson&Johnson,181676
Slovakia,2022-02-04,Johnson&Johnson,183258
Slovakia,2022-02-11,Johnson&Johnson,184073
Slovakia,2022-02-18,Johnson&Johnson,184498
Slovakia,2022-02-25,Johnson&Johnson,184770
