location,date,vaccine,total_vaccinations
Slovenia,2021-04-30,Johnson&Johnson,72
Slovenia,2021-05-07,Johnson&Johnson,1650
Slovenia,2021-05-14,Johnson&Johnson,9870
Slovenia,2021-05-21,Johnson&Johnson,15973
Slovenia,2021-05-28,Johnson&Johnson,20876
Slovenia,2021-06-04,Johnson&Johnson,32803
Slovenia,2021-06-11,Johnson&Johnson,38011
Slovenia,2021-06-18,Johnson&Johnson,43626
Slovenia,2021-06-25,Johnson&Johnson,46826
Slovenia,2021-07-02,Johnson&Johnson,50028
Slovenia,2021-07-09,Johnson&Johnson,54982
Slovenia,2021-07-16,Johnson&Johnson,63630
Slovenia,2021-07-23,Johnson&Johnson,72036
Slovenia,2021-07-30,Johnson&Johnson,79205
Slovenia,2021-08-06,Johnson&Johnson,84076
Slovenia,2021-08-13,Johnson&Johnson,88147
Slovenia,2021-08-20,Johnson&Johnson,92667
Slovenia,2021-08-27,Johnson&Johnson,96791
Slovenia,2021-09-03,Johnson&Johnson,100334
Slovenia,2021-09-10,Johnson&Johnson,106795
Slovenia,2021-09-17,Johnson&Johnson,124837
Slovenia,2021-09-24,Johnson&Johnson,132565
Slovenia,2021-10-01,Johnson&Johnson,135271
Slovenia,2021-10-15,Johnson&Johnson,135282
Slovenia,2021-10-22,Johnson&Johnson,135293
Slovenia,2021-10-29,Johnson&Johnson,135303
Slovenia,2021-11-05,Johnson&Johnson,135313
Slovenia,2021-11-12,Johnson&Johnson,135316
Slovenia,2021-11-19,Johnson&Johnson,135320
Slovenia,2021-11-26,Johnson&Johnson,135322
Slovenia,2021-12-10,Johnson&Johnson,135324
Slovenia,2021-12-17,Johnson&Johnson,135329
Slovenia,2021-12-24,Johnson&Johnson,135336
Slovenia,2021-12-31,Johnson&Johnson,135338
Slovenia,2022-01-07,Johnson&Johnson,135341
Slovenia,2022-01-14,Johnson&Johnson,135349
Slovenia,2022-01-21,Johnson&Johnson,135350
Slovenia,2022-01-28,Johnson&Johnson,135352
Slovenia,2022-02-04,Johnson&Johnson,135359
Slovenia,2022-02-18,Johnson&Johnson,135360
Slovenia,2022-02-25,Johnson&Johnson,135361
Slovenia,2022-03-25,Johnson&Johnson,135362
Slovenia,2022-04-01,Johnson&Johnson,135364
Slovenia,2022-04-08,Johnson&Johnson,135365
Slovenia,2022-04-15,Johnson&Johnson,135368
Slovenia,2022-04-22,Johnson&Johnson,135369
Slovenia,2022-05-13,Johnson&Johnson,135370
Slovenia,2022-05-20,Johnson&Johnson,135372
Slovenia,2022-05-27,Johnson&Johnson,135374
Slovenia,2022-06-03,Johnson&Johnson,135375
Slovenia,2022-06-10,Johnson&Johnson,135376
Slovenia,2022-07-08,Johnson&Johnson,135378
Slovenia,2022-07-15,Johnson&Johnson,135379
Slovenia,2022-07-22,Johnson&Johnson,135381
Slovenia,2022-07-29,Johnson&Johnson,135383
Slovenia,2022-08-05,Johnson&Johnson,135384
Slovenia,2022-08-19,Johnson&Johnson,135385
Slovenia,2022-08-26,Johnson&Johnson,135386
Slovenia,2022-09-02,Johnson&Johnson,135387
Slovenia,2022-10-07,Johnson&Johnson,135388
Slovenia,2022-11-04,Johnson&Johnson,135389
Slovenia,2022-11-18,Johnson&Johnson,135390
Slovenia,2022-12-09,Johnson&Johnson,135391
Slovenia,2022-12-16,Johnson&Johnson,135392
Slovenia,2023-01-20,Johnson&Johnson,135393
