location,date,vaccine,total_vaccinations
Sweden,2021-01-01,Moderna,0
Sweden,2021-02-19,Moderna,14451
Sweden,2021-02-26,Moderna,22888
Sweden,2021-03-05,Moderna,35135
Sweden,2021-03-12,Moderna,56605
Sweden,2021-03-19,Moderna,82440
Sweden,2021-03-26,Moderna,116206
Sweden,2021-04-02,Moderna,134872
Sweden,2021-04-09,Moderna,171967
Sweden,2021-04-16,Moderna,199807
Sweden,2021-04-23,Moderna,238081
Sweden,2021-04-30,Moderna,268283
Sweden,2021-05-07,Moderna,316426
Sweden,2021-05-14,Moderna,353718
Sweden,2021-05-21,Moderna,417429
Sweden,2021-05-28,Moderna,475183
Sweden,2021-06-04,Moderna,542640
Sweden,2021-06-11,Moderna,609129
Sweden,2021-06-18,Moderna,673187
Sweden,2021-06-25,Moderna,728599
Sweden,2021-07-02,Moderna,800857
Sweden,2021-07-09,Moderna,877423
Sweden,2021-07-16,Moderna,974762
Sweden,2021-07-23,Moderna,1057539
Sweden,2021-07-30,Moderna,1129828
Sweden,2021-08-06,Moderna,1199146
Sweden,2021-08-13,Moderna,1274739
Sweden,2021-08-20,Moderna,1362039
Sweden,2021-08-27,Moderna,1442076
Sweden,2021-09-03,Moderna,1522707
Sweden,2021-09-10,Moderna,1590471
Sweden,2021-09-17,Moderna,1655723
Sweden,2021-09-24,Moderna,1704796
Sweden,2021-10-01,Moderna,1744931
Sweden,2021-10-08,Moderna,1771320
Sweden,2021-10-15,Moderna,1791631
Sweden,2021-10-22,Moderna,1813940
Sweden,2021-10-29,Moderna,1835203
Sweden,2021-11-05,Moderna,1855150
Sweden,2021-11-12,Moderna,1894691
Sweden,2021-11-19,Moderna,1943183
Sweden,2021-11-26,Moderna,1997242
Sweden,2021-12-03,Moderna,2062712
Sweden,2021-12-10,Moderna,2137824
Sweden,2021-12-17,Moderna,2245013
Sweden,2021-12-24,Moderna,2297815
Sweden,2021-12-31,Moderna,2338596
Sweden,2022-01-07,Moderna,2400211
Sweden,2022-01-14,Moderna,2557972
Sweden,2022-01-21,Moderna,2767368
Sweden,2022-01-28,Moderna,2985761
Sweden,2022-02-04,Moderna,3151327
Sweden,2022-02-11,Moderna,3260464
Sweden,2022-02-18,Moderna,3329915
Sweden,2022-02-25,Moderna,3382229
Sweden,2022-03-04,Moderna,3428062
Sweden,2022-03-11,Moderna,3466757
Sweden,2022-03-18,Moderna,3514133
Sweden,2022-03-25,Moderna,3545672
Sweden,2022-04-01,Moderna,3569452
Sweden,2022-04-08,Moderna,3636255
Sweden,2022-04-15,Moderna,3702794
Sweden,2022-04-22,Moderna,3775666
Sweden,2022-04-29,Moderna,3843573
Sweden,2022-05-06,Moderna,3890774
Sweden,2022-05-13,Moderna,3926283
Sweden,2022-05-20,Moderna,3955769
Sweden,2022-05-27,Moderna,3972958
Sweden,2022-06-03,Moderna,3986886
Sweden,2022-06-10,Moderna,3996379
Sweden,2022-06-17,Moderna,4004542
Sweden,2022-06-24,Moderna,4009842
Sweden,2022-07-01,Moderna,4015173
Sweden,2022-07-08,Moderna,4020401
Sweden,2022-07-15,Moderna,4026290
Sweden,2022-07-22,Moderna,4029984
Sweden,2022-07-29,Moderna,4033382
Sweden,2022-08-05,Moderna,4036663
Sweden,2022-08-12,Moderna,4039239
Sweden,2022-08-19,Moderna,4041793
Sweden,2022-08-26,Moderna,4045743
Sweden,2022-09-02,Moderna,4066164
Sweden,2022-09-09,Moderna,4092475
Sweden,2022-09-16,Moderna,4108051
Sweden,2022-09-23,Moderna,4120861
Sweden,2022-09-30,Moderna,4129581
Sweden,2022-10-07,Moderna,4136108
Sweden,2022-10-14,Moderna,4141950
Sweden,2022-10-21,Moderna,4145605
Sweden,2022-10-28,Moderna,4146393
Sweden,2022-11-04,Moderna,4146647
Sweden,2022-11-11,Moderna,4146718
Sweden,2022-11-18,Moderna,4146782
Sweden,2022-11-25,Moderna,4146853
Sweden,2022-12-02,Moderna,4147041
Sweden,2022-12-09,Moderna,4147453
Sweden,2022-12-16,Moderna,4148304
Sweden,2022-12-23,Moderna,4148799
Sweden,2022-12-30,Moderna,4149126
Sweden,2023-01-06,Moderna,4149341
Sweden,2023-01-13,Moderna,4149842
