location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Cuba,2021-05-12,Abdala,https://salud.msp.gob.cu/comenzo-satisfactoriamente-intervencion-sanitaria-en-grupos-de-riesgo-y-territorios-del-pais/,,70000,0,
Cuba,2021-05-16,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-17-de-mayo-a-las-12-de-la-noche-2/,,455908,0,
Cuba,2021-05-17,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-18-de-mayo-a-las-12-de-la-noche-2/,,540002,0,
Cuba,2021-05-18,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-19-de-mayo-a-las-12-de-la-noche/,,612376,0,
Cuba,2021-05-20,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-21-de-mayo-a-las-12-de-la-noche-2/,,717997,0,
Cuba,2021-05-22,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-23-de-mayo-a-las-12-de-la-noche-2/,,774212,0,
Cuba,2021-05-23,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-24-de-mayo-a-las-12-de-la-noche-2/,,782791,0,
Cuba,2021-05-24,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-25-de-mayo-a-las-12-de-la-noche-2/,,793009,0,
Cuba,2021-05-25,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-26-de-mayo-a-las-12-de-la-noche-2/,,798655,0,
Cuba,2021-05-26,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-27-de-mayo-a-las-12-de-la-noche-2/,,803958,0,
Cuba,2021-05-27,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-28-de-mayo-a-las-12-de-la-noche-2/,,809697,0,
Cuba,2021-05-28,"Abdala, Soberana02",https://salud.msp.gob.cu/parte-de-cierre-del-dia-29-de-mayo-a-las-12-de-la-noche-2/,,813867,0,
Cuba,2021-05-31,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,2037745,1185218,147135,
Cuba,2021-06-01,"Abdala, Soberana02",https://twitter.com/MINSAPCuba/status/1400459240297226246,2223826,1304698,148738,
Cuba,2021-06-02,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,2408135,1431827,150897,
Cuba,2021-06-03,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,2592575,1558013,154116,
Cuba,2021-06-04,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,2734854,1668071,156579,
Cuba,2021-06-05,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,2844682,1745588,157625,
Cuba,2021-06-06,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,2882587,1772586,157637,
Cuba,2021-06-07,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,2946572,1810895,173704,
Cuba,2021-06-08,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,3016266,1833775,213372,
Cuba,2021-06-09,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,3128573,1845189,307667,
Cuba,2021-06-10,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,3272579,1884592,406973,
Cuba,2021-06-11,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,3419657,1930901,500472,
Cuba,2021-06-12,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,3583709,1970250,578385,
Cuba,2021-06-13,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,3632080,2005691,591072,
Cuba,2021-06-14,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,3848406,2050296,666617,
Cuba,2021-06-15,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,4084278,2094260,733460,
Cuba,2021-06-16,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,4328291,2145685,793126,
Cuba,2021-06-17,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,4536882,2187097,835812,
Cuba,2021-06-18,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,4721599,2223404,873690,
Cuba,2021-06-19,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,4855270,2244336,905692,
Cuba,2021-06-20,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,4892044,2244350,913057,
Cuba,2021-06-21,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,4979420,2277657,924789,
Cuba,2021-06-22,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,5113926,2372246,940185,
Cuba,2021-06-23,"Abdala, Soberana02",https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/,5229916,2467275,947660,
