location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Niger,2021-03-28,Sinopharm/Beijing,https://www.niameyetles2jours.com/l-uemoa/sante/2603-6631-covid-19-niger-la-campagne-de-vaccination-debute-le-29-mars,0,0,,
Niger,2021-04-17,Sinopharm/Beijing,https://www.rfi.fr/fr/afrique/20210417-au-niger-les-centres-de-vaccinations-pris-d-assaut-pour-le-petit-p%C3%A8lerinage-%C3%A0-la-mecque,1366,1366,,
Niger,2021-05-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,74106,68158,5948,
Niger,2021-05-18,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,121626,115112,6514,
Niger,2021-05-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,159525,152582,6943,
Niger,2021-06-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,180987,170716,10271,
Niger,2021-06-14,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,186207,172812,13395,
Niger,2021-06-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,255587,224803,30784,
Niger,2021-08-09,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,425483,393293,32190,
Niger,2021-08-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,485954,401272,84682,
Niger,2021-08-23,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,490549,404104,86445,
Niger,2021-09-22,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,512294,405918,106376,
Niger,2021-09-29,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,533899,405978,127921,
Niger,2021-10-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,646086,429471,216615,
Niger,2021-10-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,803146,479613,323533,
Niger,2021-10-27,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,896106,498894,397212,
Niger,2021-11-14,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,963041,506083,456958,
Niger,2021-11-28,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,971636,507223,464413,
Niger,2022-01-10,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1778173,1424863,1010152,
Niger,2022-01-31,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1798575,1442884,1025950,
Niger,2022-02-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1804760,1447985,1030514,
Niger,2022-02-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://africacdc.org/covid-19-vaccination/,,,,0
Niger,2022-02-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,1840055,1474560,1049867,
Niger,2022-03-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2674381,2175283,1541167,
Niger,2022-03-24,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2681673,2180972,1545630,
Niger,2022-04-08,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2689995,2188727,1547552,
Niger,2022-04-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2692524,2190527,1549016,
Niger,2022-05-01,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2692524,2190790,1549279,
Niger,2022-05-15,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,,2190790,1549987,
Niger,2022-05-22,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2694418,2192163,1550910,
Niger,2022-06-05,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2703493,2198758,1556817,
Niger,2022-06-19,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,2703493,2198758,1556817,0
Niger,2022-06-26,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,3530154,3330202,2603341,0
Niger,2022-07-03,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,4364000,3619801,2861058,
Niger,2022-07-17,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,4394310,3647695,2888988,
Niger,2022-08-28,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,4531782,3740079,2978762,
Niger,2022-09-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,4534313,3740079,2980972,
Niger,2022-10-02,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,4534315,3740079,2980972,
Niger,2022-10-16,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,4544735,3742019,2990498,
Niger,2022-10-30,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,7042134,5935299,5176311,
Niger,2022-12-11,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,7187711,6072321,5308074,
Niger,2023-01-29,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,7241942,6124474,5360404,
Niger,2023-03-12,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,7339299,6217508,5454196,
Niger,2023-07-30,"Oxford/AstraZeneca, Sinopharm/Beijing",https://covid19.who.int/,7372208,6248483,5483001,
