location,success,skipped,error,error_short,timestamp
Afghanistan,True,False,,,2023-11-11T07:04:06
Albania,True,False,,,2023-11-11T07:04:06
Algeria,True,False,,,2023-11-11T07:04:06
Andorra,True,False,,,2023-11-11T07:04:06
Angola,True,False,,,2023-11-11T07:04:06
Anguilla,True,False,,,2023-11-11T07:04:06
Antigua and Barbuda,True,False,,,2023-11-11T07:04:06
Argentina,True,False,,,2023-11-11T07:04:06
Armenia,True,False,,,2023-11-11T07:04:06
Aruba,True,False,,,2023-11-11T07:04:06
Australia,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 72, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 252, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 169, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 185, in _check_metrics_monotonic
    raise ValueError(
ValueError: Australia -- Column people_vaccinated must be monotonically increasing! Check:
      location       date  ... people_fully_vaccinated total_boosters
567  Australia 2023-07-06  ...                21627933           <NA>
568  Australia 2023-08-03  ...                21619793           <NA>
569  Australia 2023-09-07  ...                21610412           <NA>
570  Australia 2023-10-05  ...                21602288           <NA>

[4 rows x 8 columns]
","Australia -- Column people_vaccinated must be monotonically increasing! Check:
      location       date  ... people_fully_vaccinated total_boosters
567  Australia 2023-07-06  ...                21627933           <NA>
568  Australia 2023-08-03  ...                21619793           <NA>
569  Australia 2023-09-07  ...                21610412           <NA>
570  Australia 2023-10-05  ...                21602288           <NA>

[4 rows x 8 columns]",2023-11-11T07:04:06
Austria,True,False,,,2023-11-11T07:04:06
Azerbaijan,True,False,,,2023-11-11T07:04:06
Bahamas,True,False,,,2023-11-11T07:04:06
Bahrain,True,False,,,2023-11-11T07:04:06
Bangladesh,True,False,,,2023-11-11T07:04:06
Barbados,True,False,,,2023-11-11T07:04:06
Belarus,True,False,,,2023-11-11T07:04:06
Belgium,True,False,,,2023-11-11T07:04:06
Belize,True,False,,,2023-11-11T07:04:06
Benin,True,False,,,2023-11-11T07:04:06
Bermuda,True,False,,,2023-11-11T07:04:06
Bhutan,True,False,,,2023-11-11T07:04:06
Bolivia,True,False,,,2023-11-11T07:04:06
Bonaire Sint Eustatius and Saba,True,False,,,2023-11-11T07:04:06
Bosnia and Herzegovina,True,False,,,2023-11-11T07:04:07
Botswana,True,False,,,2023-11-11T07:04:07
Brazil,True,False,,,2023-11-11T07:04:07
British Virgin Islands,True,False,,,2023-11-11T07:04:07
Brunei,True,False,,,2023-11-11T07:04:07
Bulgaria,True,False,,,2023-11-11T07:04:07
Burkina Faso,True,False,,,2023-11-11T07:04:07
Burundi,True,False,,,2023-11-11T07:04:07
Cambodia,True,False,,,2023-11-11T07:04:07
Cameroon,True,False,,,2023-11-11T07:04:07
Canada,True,False,,,2023-11-11T07:04:07
Cape Verde,True,False,,,2023-11-11T07:04:07
Cayman Islands,True,False,,,2023-11-11T07:04:07
Central African Republic,True,False,,,2023-11-11T07:04:07
Chad,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 72, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 252, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 169, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 185, in _check_metrics_monotonic
    raise ValueError(
ValueError: Chad -- Column people_vaccinated must be monotonically increasing! Check:
   location       date  ... people_fully_vaccinated total_boosters
64     Chad 2023-08-13  ...                 4805867        4042573

[1 rows x 8 columns]
","Chad -- Column people_vaccinated must be monotonically increasing! Check:
   location       date  ... people_fully_vaccinated total_boosters
64     Chad 2023-08-13  ...                 4805867        4042573

[1 rows x 8 columns]",2023-11-11T07:04:07
Chile,True,False,,,2023-11-11T07:04:07
China,True,False,,,2023-11-11T07:04:07
Colombia,True,False,,,2023-11-11T07:04:07
Comoros,True,False,,,2023-11-11T07:04:07
Congo,True,False,,,2023-11-11T07:04:07
Cook Islands,True,False,,,2023-11-11T07:04:07
Costa Rica,True,False,,,2023-11-11T07:04:07
Cote d'Ivoire,True,False,,,2023-11-11T07:04:07
Croatia,True,False,,,2023-11-11T07:04:07
Cuba,True,False,,,2023-11-11T07:04:07
Curacao,True,False,,,2023-11-11T07:04:07
Cyprus,True,False,,,2023-11-11T07:04:07
Czechia,True,False,,,2023-11-11T07:04:08
Democratic Republic of Congo,True,False,,,2023-11-11T07:04:08
Denmark,True,False,,,2023-11-11T07:04:08
Djibouti,True,False,,,2023-11-11T07:04:08
Dominica,True,False,,,2023-11-11T07:04:08
Dominican Republic,True,False,,,2023-11-11T07:04:08
Ecuador,True,False,,,2023-11-11T07:04:08
Egypt,True,False,,,2023-11-11T07:04:08
El Salvador,True,False,,,2023-11-11T07:04:08
England,True,False,,,2023-11-11T07:04:08
Equatorial Guinea,True,False,,,2023-11-11T07:04:08
Estonia,True,False,,,2023-11-11T07:04:08
Eswatini,True,False,,,2023-11-11T07:04:08
Ethiopia,True,False,,,2023-11-11T07:04:08
Faeroe Islands,True,False,,,2023-11-11T07:04:08
Falkland Islands,True,False,,,2023-11-11T07:04:08
Fiji,True,False,,,2023-11-11T07:04:08
Finland,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 72, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 252, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 169, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 185, in _check_metrics_monotonic
    raise ValueError(
ValueError: Finland -- Column total_vaccinations must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
183  Finland 2023-09-06  ...                 4347391        4343589
185  Finland 2023-09-13  ...                 4347204        4343508
187  Finland 2023-09-20  ...                 4346934        4343398
189  Finland 2023-09-28  ...                 4346790        4343369
191  Finland 2023-10-04  ...                 4346683        4343335
193  Finland 2023-10-11  ...                 4346522        4343312
195  Finland 2023-10-18  ...                 4346423        4343387

[7 rows x 8 columns]
","Finland -- Column total_vaccinations must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
183  Finland 2023-09-06  ...                 4347391        4343589
185  Finland 2023-09-13  ...                 4347204        4343508
187  Finland 2023-09-20  ...                 4346934        4343398
189  Finland 2023-09-28  ...                 4346790        4343369
191  Finland 2023-10-04  ...                 4346683        4343335
193  Finland 2023-10-11  ...                 4346522        4343312
195  Finland 2023-10-18  ...                 4346423        4343387

[7 rows x 8 columns]",2023-11-11T07:04:08
France,True,False,,,2023-11-11T07:04:08
French Polynesia,True,False,,,2023-11-11T07:04:08
Gabon,True,False,,,2023-11-11T07:04:08
Gambia,True,False,,,2023-11-11T07:04:08
Georgia,True,False,,,2023-11-11T07:04:08
Germany,True,False,,,2023-11-11T07:04:08
Ghana,True,False,,,2023-11-11T07:04:08
Gibraltar,True,False,,,2023-11-11T07:04:08
Greece,True,False,,,2023-11-11T07:04:08
Greenland,True,False,,,2023-11-11T07:04:09
Grenada,True,False,,,2023-11-11T07:04:09
Guatemala,True,False,,,2023-11-11T07:04:09
Guernsey,True,False,,,2023-11-11T07:04:09
Guinea,True,False,,,2023-11-11T07:04:09
Guinea-Bissau,True,False,,,2023-11-11T07:04:09
Guyana,True,False,,,2023-11-11T07:04:09
Haiti,True,False,,,2023-11-11T07:04:09
Honduras,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 72, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 252, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 169, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 185, in _check_metrics_monotonic
    raise ValueError(
ValueError: Honduras -- Column people_vaccinated must be monotonically increasing! Check:
     location       date  ... people_fully_vaccinated total_boosters
105  Honduras 2023-06-02  ...                 5751048        4665196

[1 rows x 8 columns]
","Honduras -- Column people_vaccinated must be monotonically increasing! Check:
     location       date  ... people_fully_vaccinated total_boosters
105  Honduras 2023-06-02  ...                 5751048        4665196

[1 rows x 8 columns]",2023-11-11T07:04:09
Hong Kong,True,False,,,2023-11-11T07:04:09
Hungary,True,False,,,2023-11-11T07:04:09
Iceland,True,False,,,2023-11-11T07:04:09
India,True,False,,,2023-11-11T07:04:09
Indonesia,True,False,,,2023-11-11T07:04:09
Iran,True,False,,,2023-11-11T07:04:09
Iraq,True,False,,,2023-11-11T07:04:09
Ireland,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 72, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 252, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 169, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 185, in _check_metrics_monotonic
    raise ValueError(
ValueError: Ireland -- Column total_vaccinations must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
719  Ireland 2022-12-25  ...                       0              0
945  Ireland 2023-09-09  ...                 4064219              0
946  Ireland 2023-09-10  ...                       0        3195653
948  Ireland 2023-09-12  ...                       0        3195657
958  Ireland 2023-09-23  ...                       0        3195787
979  Ireland 2023-10-14  ...                       0        3199375
990  Ireland 2023-10-25  ...                       0        3201905

[7 rows x 8 columns]
","Ireland -- Column total_vaccinations must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
719  Ireland 2022-12-25  ...                       0              0
945  Ireland 2023-09-09  ...                 4064219              0
946  Ireland 2023-09-10  ...                       0        3195653
948  Ireland 2023-09-12  ...                       0        3195657
958  Ireland 2023-09-23  ...                       0        3195787
979  Ireland 2023-10-14  ...                       0        3199375
990  Ireland 2023-10-25  ...                       0        3201905

[7 rows x 8 columns]",2023-11-11T07:04:09
Isle of Man,True,False,,,2023-11-11T07:04:09
Israel,True,False,,,2023-11-11T07:04:09
Italy,True,False,,,2023-11-11T07:04:09
Jamaica,True,False,,,2023-11-11T07:04:09
